date,year,body,title,reason,source_url
2017-01-03,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/281765.pdf
2017-01-17,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/278141.pdf
2017-02-07,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/285995.pdf
2017-02-21,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/288879.pdf
2017-03-07,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/290569.pdf
2017-03-21,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/290573.pdf
2017-03-28,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/311493.pdf
2017-04-04,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/311495.pdf
2017-04-18,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/311497.pdf
2017-05-02,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/311499.pdf
2017-05-16,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/324465.pdf
2017-06-06,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/324467.pdf
2017-06-20,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/324469.pdf
2017-06-29,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/338093.pdf
2017-07-18,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/324471.pdf
2017-08-01,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/338095.pdf
2017-08-15,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/338097.pdf
2017-09-05,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/338099.pdf
2017-09-19,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/338101.pdf
2017-10-03,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/353267.pdf
2017-10-17,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/353269.pdf
2017-11-07,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/358935.pdf
2017-11-14,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/361109.pdf
2017-11-28,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/361113.pdf
2017-12-12,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/361115.pdf
2017-12-26,2017,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/361121.pdf
2018-01-23,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/380905.pdf
2018-02-13,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/395145.pdf
2018-02-27,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/395147.pdf
2018-03-13,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/395149.pdf
2018-03-27,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/395155.pdf
2018-04-10,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/406481.pdf
2018-04-24,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/406483.pdf
2018-05-08,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/406485.pdf
2018-06-12,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/413343.pdf
2018-06-26,2018,Council,Magna Council Meeting,PMN listing references minutes PDF but file returns HTTP 404 (attachment purged from archive); no Wayback copy; legacy township site blocks scraping,https://www.utah.gov/pmn/files/413347.pdf
2020-09-22,2020,Council,Magna Council Meeting,"PMN body 5803 posted an agenda (and audio) for this COVID-era township council meeting but NO minutes document was ever posted — not attached to the meeting notice, not carried as an approval item in any later meeting's packet (checked 09-22->01-12-2021 chain incl. the 11-10 'Total packet' and 01-26-2021 packet); verified 2026-07-17",https://www.utah.gov/pmn/sitemap/notice/630052.html
2020-10-13,2020,Council,Magna Council Meeting,"PMN body 5803 posted an agenda (and audio) for this COVID-era township council meeting but NO minutes document was ever posted — not attached to the meeting notice, not carried as an approval item in any later meeting's packet (checked 09-22->01-12-2021 chain incl. the 11-10 'Total packet' and 01-26-2021 packet); verified 2026-07-17",https://www.utah.gov/pmn/sitemap/notice/634081.html
2020-11-24,2020,Council,Magna Council Meeting,"PMN body 5803 posted an agenda (and audio) for this COVID-era township council meeting but NO minutes document was ever posted — not attached to the meeting notice, not carried as an approval item in any later meeting's packet (checked 09-22->01-12-2021 chain incl. the 11-10 'Total packet' and 01-26-2021 packet); verified 2026-07-17",https://www.utah.gov/pmn/sitemap/notice/642347.html
2020-12-08,2020,Council,Magna Council Meeting,"PMN body 5803 posted an agenda (and audio) for this COVID-era township council meeting but NO minutes document was ever posted — not attached to the meeting notice, not carried as an approval item in any later meeting's packet (checked 09-22->01-12-2021 chain incl. the 11-10 'Total packet' and 01-26-2021 packet); verified 2026-07-17",https://www.utah.gov/pmn/sitemap/notice/644801.html
2020-12-15,2020,Council,Magna Council Meeting,"PMN body 5803 posted an agenda (and audio) for this COVID-era township council meeting but NO minutes document was ever posted — not attached to the meeting notice, not carried as an approval item in any later meeting's packet (checked 09-22->01-12-2021 chain incl. the 11-10 'Total packet' and 01-26-2021 packet); verified 2026-07-17",https://www.utah.gov/pmn/sitemap/notice/646113.html
2022-08-16,2022,Council,Magna City Council Special Workshop Meeting,"PMN body 5803 (agenda+packet) AND CivicPlus AgendaCenter (agenda) both noticed this special workshop but NO minutes document was ever published on either portal (verified at source 2026-07-19, Q3-2026 crosscheck flag resolution); workshops are study sessions — 0 motions expected even if recovered",https://www.utah.gov/pmn/sitemap/notice/775189.html
2024-06-18,2024,Council,Magna City Council Special Meeting,"PMN body 5803 (agenda+packet+audio) and CivicPlus AgendaCenter (agenda) both noticed this special meeting but NO minutes document was ever published on either portal (verified at source 2026-07-19, Q3-2026 crosscheck flag resolution)",https://www.utah.gov/pmn/sitemap/notice/921549.html
2024-09-24,2024,Council,Magna City Council Meeting,"Regular 4th-Tuesday meeting: PMN body 5803 (agenda+packet+audio) and CivicPlus AgendaCenter (agenda) both noticed it but NO minutes document was ever published on either portal (verified at source 2026-07-19, Q3-2026 crosscheck flag resolution); repo council record jumps 2024-09-10 -> 2024-10-08",https://www.utah.gov/pmn/sitemap/notice/941589.html
2025-09-09,2025,Council,Magna City Council Meeting (Ordinance 2025-O-14),"Regular 2nd-Tuesday meeting (Ord 2025-O-14 noticed): CivicPlus AgendaCenter posted an agenda and PMN posted the ordinance PDF but NO minutes document was ever published on either portal (verified at source 2026-07-19, Q3-2026 crosscheck flag resolution); repo council record jumps 2025-08 -> 2025-09-23",https://www.utah.gov/pmn/sitemap/notice/1025157.html
