name,role,district,first_seen,last_seen,meetings_present
Mick Sudbury,"Mayor (2026+, non-voting) / prior Council Member",(at-large/Mayor),2024-01-09,2026-05-26,48
Dan Peay,"Council Member / Chair (titled ""Mayor"", voting)",(chair),2018-07-17,2025-12-09,120
Eric Ferguson,Council Member,(interim),2018-07-17,2019-07-09,24
Steve Prokopis,Council Member,D1,2018-07-17,2026-05-26,163
Brint Peel,Council Member,D2,2018-07-17,2021-12-14,70
Eric Barney,"Council Member / Chair (titled ""Mayor"", voting)",D2,2022-01-11,2025-12-09,86
Megan Olsen,Council Member,D2,2024-09-10,2026-05-26,11
Michael Jensen,Council Member,D3,2025-11-18,2026-05-26,10
Terry George,Council Member,D4,2025-08-26,2026-05-26,11
Trish Hull,Council Member,D4,2018-07-17,2025-12-09,156
Audrey Pierce,Council Member,D5,2019-09-10,2026-05-26,136
