date,year,title,body,body_slug,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2015-01-08,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,they will continue the public hearing until Feb 5 th,,Pass,Clyde,Wharton,Henrie,Nay,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
2015-01-13,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the minutes of the November 18, 2014, Snyderville Basin Planning Commission meeting as written",,,Franklin,Peck,DeFord,Abstain,land_use/minutes/2015/2015-01-13_snyderville_basin_pc.md
2015-01-15,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,"have Staff map the Kamas Valley prior to 2004 HC zone standards, and that this be titled the AG-1 zone",,Pass,Vernon,Wharton,Hanson,Nay,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-01-15,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,"have Staff map the Kamas Valley prior to 2004 HC zone standards, and that this be titled the AG-1 zone",,Pass,Vernon,Wharton,Clyde,Nay,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-02-05,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,6,approve the minutes as corrected,,Pass,Hanson,Ure,Wharton,Abstain,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-03-03,2015,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the minutes of the January 13, 2015, Snyderville Basin Planning Commission meeting as written",,Pass,Lawson,Peck,Barnes,Abstain,land_use/minutes/2015/2015-03-03_snyderville_basin_pc.md
2015-03-05,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as written,,Pass,Hanson,,Brown,Abstain,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md
2015-03-19,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the minutes as corrected,,Pass,Ure,Clyde,Brown,Abstain,land_use/minutes/2015/2015-03-19_eastern_summit_pc.md
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,send a positive recommendation to the County Council that they approve amendment 11-7-5.1 as outlined and d-1 as outlined,,Fail,Hanson,Clyde,Willoughby,Nay,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
2015-04-02,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,send a positive recommendation to the County Council that they approve amendment 11-7-5.1 as outlined and d-1 as outlined,,Fail,Hanson,Clyde,Henrie,Nay,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md
