date,body,body_slug,motion_no,motion,result,tally,yes,no,mover,seconder,names_recorded,source
2015-01-08,Eastern Summit County Planning Commission,eastern_summit_pc,1,they will continue the public hearing until Feb 5 th,Pass,(5 - 1),5,1,Clyde,Wharton,true,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
2015-01-08,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as written,Pass,(4 - 0),4,0,Vernon,Clyde,false,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
2015-01-08,Eastern Summit County Planning Commission,eastern_summit_pc,3,approve the minutes as corrected,Pass,(6 - 0),6,0,Henrie,Wharton,false,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
2015-01-08,Eastern Summit County Planning Commission,eastern_summit_pc,4,adjourn,Pass,(5 - 0),5,0,Hanson,,false,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md
2015-01-13,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the minutes of the November 18, 2014, Snyderville Basin Planning Commission meeting as written",,,,,Franklin,Peck,true,land_use/minutes/2015/2015-01-13_snyderville_basin_pc.md
2015-01-15,Eastern Summit County Planning Commission,eastern_summit_pc,1,look at both ends of the County separately,Pass,(6 – 0),6,0,Hanson,Ure,false,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-01-15,Eastern Summit County Planning Commission,eastern_summit_pc,2,"map the AG-1 zone of one-unit per acre, with a minimum lot size of ¾-acre, going back 500 feet on all paved Class D County maintained roads in North Summit Area",Pass,(6 – 0),6,0,Vernon,Wharton,false,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-01-15,Eastern Summit County Planning Commission,eastern_summit_pc,3,leave it up to Staff’s discretion as to where to map the AG-6 zone,Pass,(6 – 0),6,0,Vernon,Ure,false,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-01-15,Eastern Summit County Planning Commission,eastern_summit_pc,4,"have Staff map the Kamas Valley prior to 2004 HC zone standards, and that this be titled the AG-1 zone",Pass,(4 – 2),4,2,Vernon,Wharton,true,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-01-15,Eastern Summit County Planning Commission,eastern_summit_pc,5,let Administrator Barnes use his discretion on mapping the AG-6 on the south side,Pass,(6 – 0),6,0,Wharton,Ure,false,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-01-15,Eastern Summit County Planning Commission,eastern_summit_pc,6,adjourn,Pass,(6 – 0),6,0,Vernon,,false,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md
2015-01-27,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the minutes of the November 4, 2014, Snyderville Basin Planning Commission meeting as written",,,,,Lawson,Franklin,false,land_use/minutes/2015/2015-01-27_snyderville_basin_pc.md
2015-01-27,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the minutes of the December 9, 2014, Snyderville Basin Planning Commission meeting as written",,,,,Barnes,Franklin,false,land_use/minutes/2015/2015-01-27_snyderville_basin_pc.md
2015-01-29,Eastern Summit County Planning Commission,eastern_summit_pc,1,map the HC zone back to the 500-foot boundary line,Pass,(6 – 0),6,0,Wharton,Hanson,false,land_use/minutes/2015/2015-01-29_eastern_summit_pc.md
2015-01-29,Eastern Summit County Planning Commission,eastern_summit_pc,2,adjourn,Pass,(6 – 0),6,0,Wharton,,false,land_use/minutes/2015/2015-01-29_eastern_summit_pc.md
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the Plat Amendment according to the Findings of Fact and Conclusions of Law as outlined in the Staff Report,Pass,(7 – 0),7,0,Wharton,Ure,false,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,2,send a positive recommendation to the County Council to approve the amendment to the Development Agreement for the Promontory Development with the Findings of Facts and Conclusions of Law as stated in the Staff Report,Pass,(7 – 0),7,0,Clyde,Hanson,false,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,3,"based on Section 11-4-12 b.1 and b.6 of the Development Code, that RMP study and bring to the Commission a cost estimate in realigning the transmission line",Pass,(7 – 0),7,0,Hanson,Wharton,false,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,4,continue the public hearing to February 19 th with a possible action being taken,Pass,(7 – 0),7,0,Henrie,Hanson,false,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,5,approve the minutes as written,Pass,(7 - 0),7,0,Ure,Hanson,false,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,6,approve the minutes as corrected,Pass,(6 - 0),6,0,Hanson,Ure,true,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,7,adjourn,Pass,(7 – 0),7,0,Hanson,,false,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md
2015-02-10,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the Conditional Use Permit for the proposed accessory building at 1495 Red Hawk Trail with the following findings of fact, conclusions of law, and conditions of approval as shown in the staff report, with the addition of a condition that no commercial operation shall occur in the arena: Findings of Fact: 1",,,,,Franklin,Klingenstein,false,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
2015-02-10,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"approve the interconnect gondola lift with related ski improvements with the following findings of fact, conclusions of law, and conditions of approval outlined in the staff report dated February 10, 2105, with the addition of two conditions stating that cabins, towers, assemblies, and all three terminals shall be in the colors and galvanized finish and non-reflective tinted glass materials as described in this meeting and that approval by Park City Municipal Corporation that would substantially modify the County’s approval as determined by the Community Development Director may require follow-up review and approval by the Snyderville Basin Planning Commission: Findings of Fact: 1",,,,,Klingenstein,Franklin,false,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
2015-02-10,Snyderville Basin Planning Commission,snyderville_basin_pc,3,"forward a positive recommendation on the Snyderville Basin General Plan, Phase II, to the Summit County Council",Pass,,,,Franklin,Klingenstein,false,land_use/minutes/2015/2015-02-10_snyderville_basin_pc.md
