date,body,body_slug,md_path,source_url,provenance,minutes_status,text_chars,note
2015-01-08,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-01-08_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_01082015-357,agendacenter,text_extracted,274255,raw_not_stored_oversize>10MB
2015-01-15,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-01-15_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_01152015-362,agendacenter,text_extracted,28720,
2015-01-29,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-01-29_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_01292015-375,agendacenter,text_extracted,40697,
2015-02-05,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-02-05_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_02052015-380,agendacenter,text_extracted,157558,raw_not_stored_oversize>10MB
2015-02-19,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-02-19_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_02192015-393,agendacenter,text_extracted,53939,
2015-03-05,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-03-05_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_03052015-405,agendacenter,text_extracted,31320,
2015-03-19,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-03-19_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_03192015-418,agendacenter,text_extracted,31923,
2015-04-02,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-04-02_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_04022015-427,agendacenter,text_extracted,52093,
2015-05-07,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-05-07_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_05072015-465,agendacenter,text_extracted,59104,
2015-05-21,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-05-21_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_05212015-486,agendacenter,text_extracted,48580,
2015-06-04,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-06-04_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_06042015-493,agendacenter,text_extracted,18068,
2015-06-18,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-06-18_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_06182015-508,agendacenter,text_extracted,53306,
2015-07-09,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-07-09_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_07092015-518,agendacenter,text_extracted,37755,
2015-07-16,Eastern Summit County Planning Commission,eastern_summit_pc,land_use/minutes/2015/2015-07-16_eastern_summit_pc.md,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_07162015-530,agendacenter,text_extracted,35276,
