body,date,fid,verdict,size,fonts,chars
council,2017-08-28,,NO_PMN,0,0,0
council,2017-09-11,,NO_PMN,0,0,0
council,2017-09-18,,NO_PMN,0,0,0
council,2017-09-25,,NO_PMN,0,0,0
council,2017-10-02,,NO_PMN,0,0,0
council,2017-10-16,,NO_PMN,0,0,0
council,2017-10-23,,NO_PMN,0,0,0
council,2017-10-30,347135,404,315,0,0
council,2017-11-06,347133,404,315,0,0
council,2017-11-13,350589,404,315,0,0
council,2017-11-27,354427,404,315,0,0
council,2017-12-11,360685,404,315,0,0
council,2018-01-08,364885,404,315,0,0
council,2018-01-22,370393,404,315,0,0
council,2018-02-12,374747,404,315,0,0
council,2018-02-13,,NO_PMN,0,0,0
council,2018-02-26,379287,404,315,0,0
council,2018-03-05,379295,404,315,0,0
council,2018-03-12,382629,404,315,0,0
council,2018-03-26,386257,404,315,0,0
council,2018-04-09,396675,404,315,0,0
council,2018-04-23,396677,404,315,0,0
council,2018-04-30,396683,404,315,0,0
council,2018-05-14,400273,404,315,0,0
council,2018-05-29,404293,404,315,0,0
council,2018-06-11,408111,404,315,0,0
council,2018-06-25,410547,404,315,0,0
council,2018-07-09,419577,404,315,0,0
council,2018-07-16,419579,404,315,0,0
council,2018-07-26,419583,404,315,0,0
council,2018-08-06,423443,404,315,0,0
council,2018-08-09,423447,404,315,0,0
council,2018-08-13,426531,404,315,0,0
council,2018-08-27,426533,404,315,0,0
council,2018-09-10,430513,404,315,0,0
council,2018-09-24,438023,404,315,0,0
council,2018-10-08,438021,404,315,0,0
council,2018-10-22,451413,404,315,0,0
council,2018-11-13,459349,scanned,5618774,0,13
council,2018-11-26,459351,scanned,1523711,0,4
council,2018-12-10,459355,scanned,4187112,0,10
council,2018-12-11,459357,scanned,2328500,0,6
council,2019-01-14,462833,scanned,2182529,0,6
council,2019-01-23,467007,scanned,2964225,0,8
council,2019-02-11,471363,scanned,7084832,0,18
council,2019-02-23,476305,scanned,426557,0,2
council,2019-02-25,476307,scanned,4344602,0,10
council,2019-03-11,484375,scanned,4735746,0,12
council,2019-03-18,484377,scanned,2152721,0,6
council,2019-03-25,484379,scanned,4243302,0,10
council,2019-04-08,488543,scanned,4410202,0,12
council,2019-04-15,488551,scanned,1843333,0,6
council,2019-04-22,494691,scanned,4298311,0,10
council,2019-05-13,498425,scanned,4953849,0,12
council,2019-05-20,502687,scanned,2024080,0,6
council,2019-05-28,502689,scanned,4157670,0,10
council,2019-06-10,507411,scanned,5785701,0,14
council,2019-06-24,510525,scanned,4937243,0,12
council,2019-07-08,514377,scanned,2351771,0,6
council,2019-07-22,519975,scanned,2436613,0,6
council,2019-08-12,524277,scanned,1914141,0,5
council,2019-08-19,524279,scanned,2044378,0,5
council,2019-08-26,533321,scanned,4401686,0,10
council,2019-09-09,533315,scanned,2617274,0,8
council,2019-09-16,540109,scanned,3757238,0,8
council,2019-09-23,540119,scanned,3793079,0,10
council,2019-10-12,543827,scanned,243221,0,1
council,2019-10-14,548161,scanned,4251075,0,10
council,2019-10-21,548163,scanned,1641881,0,4
council,2019-10-28,548169,scanned,4945283,0,12
council,2019-11-12,552713,scanned,4319552,0,10
council,2019-11-18,565411,scanned,3882762,0,8
council,2019-11-19,552717,scanned,689441,0,2
council,2019-11-25,559201,scanned,3203594,0,8
council,2019-12-09,565413,scanned,4301676,0,10
council,2019-12-10,565419,scanned,1590530,0,4
council,2019-12-16,565421,scanned,4293367,0,10
council,2020-01-13,569249,scanned,2715731,0,8
council,2020-01-21,583583,scanned,3296022,0,7
council,2020-01-22,583575,scanned,1250348,0,3
council,2020-01-23,574255,scanned,348928,0,3
council,2020-01-27,574261,scanned,4771398,0,11
council,2020-02-10,579471,scanned,3764902,0,9
council,2020-02-18,591991,scanned,2699062,0,6
council,2020-02-24,583585,scanned,4644250,0,11
council,2020-03-09,587207,scanned,3385072,0,9
council,2020-03-16,592001,scanned,2366249,0,6
council,2020-03-23,592003,scanned,2568069,0,7
council,2020-03-30,592009,scanned,594935,0,2
council,2020-04-13,595799,scanned,4791975,0,12
council,2020-04-27,599679,scanned,3640512,0,9
council,2020-05-07,604603,scanned,489748,0,2
council,2020-05-11,604605,scanned,2983500,0,8
council,2020-05-26,608851,scanned,2805904,0,7
council,2020-06-08,613985,scanned,3796015,0,10
council,2020-10-26,668423,scanned,2149887,0,6
council,2020-11-09,668445,scanned,3615395,0,9
council,2022-04-25,855621,scanned,4893960,0,12
council,2022-05-09,855625,scanned,4040022,0,10
council,2023-12-11,1068345,scanned,528266,0,2
council,2024-01-09,1186547,BORN-DIGITAL,4922056,1,37062
council,2024-02-12,1108201,scanned,3410912,0,9
council,2024-02-26,1122567,BORN-DIGITAL,508578,1,3314
council,2024-03-25,1108189,scanned,6658628,0,16
council,2025-02-24,1250351,scanned,4577910,0,12
council,2025-10-27,1349771,scanned,5422714,0,12
pc,2017-03-06,513217,scanned,628178,0,2
pc,2018-02-13,379297,404,315,0,0
pc,2018-04-30,,NO_PMN,0,0,0
pc,2018-08-15,429039,404,315,0,0
pc,2018-08-22,429053,404,315,0,0
pc,2018-09-19,437599,404,315,0,0
pc,2018-10-17,438843,404,315,0,0
pc,2018-10-24,446509,404,315,0,0
pc,2018-11-20,453965,404,315,0,0
pc,2018-11-29,453967,404,315,0,0
pc,2018-12-19,459977,scanned,7925016,0,18
pc,2019-01-16,469707,scanned,5736076,0,14
pc,2019-01-23,469709,scanned,2969388,0,8
pc,2019-02-20,479221,scanned,5454882,0,14
pc,2019-04-17,495011,scanned,6835231,0,18
pc,2019-04-23,495013,scanned,2132541,0,6
pc,2019-05-15,505817,scanned,7496001,0,17
pc,2019-06-19,513215,scanned,5250109,0,12
pc,2019-07-17,523017,scanned,5224546,0,12
pc,2019-07-29,523021,scanned,1823563,0,6
pc,2019-08-21,531909,scanned,5471409,0,14
pc,2019-09-10,541791,scanned,1637317,0,4
pc,2019-09-18,541789,scanned,5969160,0,14
pc,2019-10-16,552685,scanned,2460127,0,6
pc,2019-11-20,559539,scanned,8464751,0,20
pc,2019-11-25,559547,scanned,2812053,0,8
pc,2019-12-18,565783,scanned,4480666,0,10
pc,2020-01-15,577349,scanned,4879307,0,12
pc,2020-01-30,577355,scanned,1327719,0,3
pc,2020-02-19,586225,scanned,5536301,0,13
pc,2020-03-18,593111,scanned,6866068,0,15
pc,2020-04-15,603281,scanned,13061516,0,47
pc,2020-05-20,612455,scanned,3215967,0,8
pc,2020-10-21,660365,scanned,4359083,0,10
pc,2023-11-15,,NO_PMN,0,0,0
pc,2023-12-20,1091479,scanned,3609883,0,8
