ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note,minutes_source
2020-01,2020-01-29,2020-01-29,"AN ORDINANCE AMENDING TITLE 1, CHAPTER 10, OF THE BLUFFDALE CITY",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710433294_ORDINANCE%202020-01.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-01.pdf,no,,,,none,"adopted ordinance (procurement, Title 1 Ch 10); adoption date 2020-01-29 read from the signed PDF signature page ('PASSED AND ADOPTED: January 29, 2020', Read-tool 2026-07-13); no council motion in all_votes cites 2020-01. LEAD: unmatched (date is source-verified, not motion-linked).",
2020-06,2020-03-11,2020-03-11,AN ORDINANCE ESTABLISHING A TEMPORARY LAND USE REGULATION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1596138625_Ordinance%20No.%202020-06%20OCR.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-06.pdf,yes,,,,none,"adopted ordinance (Signs/Outdoor Advertising amendment, LAND USE); adoption date 2020-03-11 read from the signed PDF ('PASSED AND DATED: March 11, 2020', Read-tool 2026-07-13) whose signature page shows a full 5-0 Aye roll (Aston/Crockett/Gaston/Hales/Kallas); no council motion in all_votes cites 2020-06. LEAD: real adopted land-use ordinance whose minutes motion omitted the number - EXTRACTION lead.",
2020-10,2020-05-27,2020-05-27,"adopting proposed text amendment Exhibit B to City Code 1-7-1(A), Departments and Divisions. Wendy Aston seconded",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1596138631_Ordinance%20No.%202020-10%20OCR.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-10.pdf,no,The motion passed 4-to-1,2020-05-27,5,high,,minutes/2020/2020-05-25/council_2020-05-27_765.md
2020-11,2020-06-24,2020-06-24,"Amending Title 11-2-2 Definition of “Funeral Home” to Include Cremation Facilities, Howland Partners, Applicant, Staff Presenter, Grant Crowell. Mr. Crowell pre",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710449822_ORDINANCE%202020-11.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-11.pdf,yes,The motion passed unanimously,2020-06-24,3,high,,minutes/2020/2020-06-22/council_2020-06-24_781.md
2020-12,2020-08-26,2020-08-26,"Repealing Title 11, Chapter 27 (Residential Facilities for Elderly or Disabled Persons), and Enacting Title 14 (Residential Facilities for the Handicapped), Sta",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08262020-801,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,yes,The motion passed unanimously,2020-08-26,7,within_source,,minutes/2020/2020-08-24/council_2020-08-26_801.md
2020-13,2020-07-22,2020-07-22,"a Text Amendment to “Robert’s Rules of Order,” Staff Presenter, Todd Sheeran. City Attorney, Todd Sheeran presented the staff report and stated that this is the",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710450090_ORDINANCE%202020-13.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-13.pdf,no,The motion passed unanimously,2020-07-22,2,high,,minutes/2020/2020-07-20/council_2020-07-22_789.md
2020-14,2020-06-24,2020-06-24,Amending Title 11-8A-10 and 11-8D-10 Regarding the Distance between any Accessory Building and Dwelling from Twenty Feet (20’) to Ten Feet (10’) in the R-1-43 a,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1742417561_ORDINANCE%202020-14.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-14.pdf,yes,The motion passed unanimously,2020-06-24,2,high,,minutes/2020/2020-06-22/council_2020-06-24_781.md
2020-15,2020-06-24,2020-06-24,"Adopting an Amended Consolidated Fee Schedule for Administrative, Service, and Development Fees, Including Water Rates Charged by the City of Bluffdale, Staff P",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06242020-781,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2020-06-24,4,within_source,,minutes/2020/2020-06-22/council_2020-06-24_781.md
2020-16,2020-08-26,2020-08-26,"a Text Amendment to Business Licensing Including Solicitation Regulations,'Staff Presenter, Todd Sheeran. Mr. Sheeran presented the staff report and reviewed th",https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08262020-801,2026-07-12,na,reconstructed from meeting_minutes motion text (no independent PDF in archive),,no,The motion passed unanimously,2020-08-26,8,within_source,,minutes/2020/2020-08-24/council_2020-08-26_801.md
2020-17,2020-07-22,2020-07-22,a text amendment to Business License Appeal with the changes,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/bluffdale/ordinances/documents/1710454580_ORDINANCE%202020-17.pdf,2026-07-12,text,"pdftotext -layout (born-digital adopted ordinance PDF, Municipal Code Online archive)",raw/archive/2020-17.pdf,no,The motion passed unanimously,2020-07-22,4,high,,minutes/2020/2020-07-20/council_2020-07-22_789.md
