date,title,pmn_notice_id,reason
2017-01-12,Emigration Metro Township Planning Commission,368993,PMN file store purged (attachments 404)
2017-02-16,Emigration Metro Township Planning Commission,375021,PMN file store purged (attachments 404)
2017-03-16,Emigration Metro Township Planning Commission,382113,PMN file store purged (attachments 404)
2017-04-13,Emigration Metro Township Planning Commission Meeting,387103,PMN file store purged (attachments 404)
2017-05-11,Emigration Metro Township Planning Commission,392759,PMN file store purged (attachments 404)
2017-06-15,Emigration Metro Township Planning Commission,399567,PMN file store purged (attachments 404)
2017-07-13,Emigration Canyon Metro Township Planning Commission,404379,PMN file store purged (attachments 404)
2017-08-17,Emigration Metro Township Planning Commission,410111,PMN file store purged (attachments 404)
2017-08-29,Emigration Metro Township Planning Commission Special Workin,414415,PMN file store purged (attachments 404)
2017-09-14,Emigration Metro Township Planning Commission Meeting,415003,PMN file store purged (attachments 404)
2017-10-12,Emigration Canyon Metro Township Planning Commission,421159,PMN file store purged (attachments 404)
2017-11-16,EMIGRATION METRO TOWNSHIP PLANNING COMMISSION,427499,PMN file store purged (attachments 404)
2017-11-30,Emigration Metro Township Planning Commissioner Special Work,430465,PMN file store purged (attachments 404)
2017-12-14,Emigration Metro Township Planning Commission,431837,PMN file store purged (attachments 404)
2018-01-11,Emigration Metro Township Planning Commission,438355,PMN file store purged (attachments 404)
2018-02-15,Emigration Metro Township Planning Commission,442963,PMN file store purged (attachments 404)
2018-03-15,Emigration Metro Township Planning Commission,450805,PMN file store purged (attachments 404)
2018-04-12,Emigration Metro Township Planning Commission,455187,PMN file store purged (attachments 404)
2018-05-17,Emigration Metro Township Planning Commission,461135,PMN file store purged (attachments 404)
2018-06-14,Emigration Metro Township Planning Commission,468287,PMN file store purged (attachments 404)
2018-07-12,Emigration Metro Township Planning Commission,472997,PMN file store purged (attachments 404)
2018-08-16,Emigration Metro Township Planning Commission,478661,PMN file store purged (attachments 404)
2018-09-13,Emigration Metro Township Planning Commission,484253,PMN file store purged (attachments 404)
2018-10-11,Emigration Metro Township Planning Commission,490025,PMN file store purged (attachments 404)
2018-12-13,Emigration Canyon Metro Township Planning Commission,502341,PMN file store purged (attachments 404)
2019-01-01,2019 Emigration Canyon Metro Township Planning Commission Me,504821,PMN file store purged (attachments 404)
2019-02-14,Emigration Metro Township Planning Commission,512919,notice/agenda posted; no approved-minutes doc recovered
2019-03-14,Emigration Metro Township Planning Commission,518857,notice/agenda posted; no approved-minutes doc recovered
2019-04-11,Emigration Metro Township Planning Commission,525025,notice/agenda posted; no approved-minutes doc recovered
2019-05-16,Emigration Metro Township Planning Commission,531243,notice/agenda posted; no approved-minutes doc recovered
2019-08-15,Emigration Metro Township Planning Commission,550143,notice/agenda posted; no approved-minutes doc recovered
2019-09-12,Emigration Metro Township Planning Commission,555813,notice/agenda posted; no approved-minutes doc recovered
2019-10-01,Emigration Metro Township General Plan Steering Committee Me,560857,notice/agenda posted; no approved-minutes doc recovered
2019-10-17,Emigration Metro Township Planning Commission,562143,notice/agenda posted; no approved-minutes doc recovered
2019-12-12,Emigration Metro Township Planning Commission,574453,notice/agenda posted; no approved-minutes doc recovered
2020-01-01,2020 Emigration Canyon Metro Township Planning Commission Me,576129,notice/agenda posted; no approved-minutes doc recovered
2020-01-16,Emigration Metro Township Planning Commission,580239,notice/agenda posted; no approved-minutes doc recovered
2020-01-30,Transportation Planning Principles Workshop,583437,notice/agenda posted; no approved-minutes doc recovered
2020-02-13,Emigration Metro Township Planning Commission,586057,notice/agenda posted; no approved-minutes doc recovered
2020-03-12,Emigration Canyon Metro Township Planning Commission,590629,notice/agenda posted; no approved-minutes doc recovered
2020-04-16,Emigration Metro Township Planning Commission,597677,notice/agenda posted; no approved-minutes doc recovered
2020-05-14,Emigration Canyon Metro Township Planning Commission,602247,notice/agenda posted; no approved-minutes doc recovered
2020-06-11,Emigration Canyon Metro Township Planning Commission,607867,notice/agenda posted; no approved-minutes doc recovered
2020-07-16,Emigration Metro Township Planning Commission,614987,notice/agenda posted; no approved-minutes doc recovered
2020-08-13,Emigration Canyon Metro Township Planning Commission,619835,notice/agenda posted; no approved-minutes doc recovered
2020-10-28,Emigration Canyon Land Use Hearing Officer Meeting,634743,notice/agenda posted; no approved-minutes doc recovered
2021-02-11,Emigration Canyon Metro Township Planning Commission,655433,notice/agenda posted; no approved-minutes doc recovered
2021-03-04,Emigration Canyon Metro Township Council Special Working Mee,661855,notice/agenda posted; no approved-minutes doc recovered
2021-03-11,Emigration Canyon Metro Township Planning Commission,661563,notice/agenda posted; no approved-minutes doc recovered
2021-03-15,Emigration Canyon Land Use Hearing Officer Meeting,661519,notice/agenda posted; no approved-minutes doc recovered
2021-03-16,Emigration Canyon Metro Township Council Special Working Mee,664227,notice/agenda posted; no approved-minutes doc recovered
2021-04-15,Emigration Canyon Planning Commission,666527,notice/agenda posted; no approved-minutes doc recovered
2021-05-13,Emigration Canyon Planning Commission,675185,notice/agenda posted; no approved-minutes doc recovered
2021-06-17,Emigration Canyon Planning Commission,682423,notice/agenda posted; no approved-minutes doc recovered
2021-07-15,Emigration Canyon Planning Commission,688279,notice/agenda posted; no approved-minutes doc recovered
2021-08-12,Emigration Canyon Planning Commission,694111,notice/agenda posted; no approved-minutes doc recovered
2021-10-14,Emigration Canyon Planning Commission,706111,notice/agenda posted; no approved-minutes doc recovered
2021-11-18,Emigration Canyon Planning Commission,713211,notice/agenda posted; no approved-minutes doc recovered
2021-12-16,Emigration Canyon Planning Commission,720093,notice/agenda posted; no approved-minutes doc recovered
2022-01-01,2022 Emigration Canyon Planning Commission Meeting Schedule,724313,notice/agenda posted; no approved-minutes doc recovered
2022-01-13,Emigration Canyon Planning Commission Meeting,724325,notice/agenda posted; no approved-minutes doc recovered
2022-02-17,Emigration Canyon Planning Commission,734057,notice/agenda posted; no approved-minutes doc recovered
2022-03-17,Emigration Canyon Planning Commission,740359,notice/agenda posted; no approved-minutes doc recovered
2022-04-14,Emigration Canyon Planning Commission,746331,notice/agenda posted; no approved-minutes doc recovered
2022-07-14,Emigration Canyon Planning Commission,766375,notice/agenda posted; no approved-minutes doc recovered
2023-01-01,2023 Emigration Canyon Planning Commission Meeting Schedule,802115,notice/agenda posted; no approved-minutes doc recovered
2023-02-16,Emigration Canyon Planning Commission,810235,notice/agenda posted; no approved-minutes doc recovered
2023-07-13,Emigration Canyon Planning Commission,843387,notice/agenda posted; no approved-minutes doc recovered
2023-08-17,Emigration Canyon Planning Commission,849755,notice/agenda posted; no approved-minutes doc recovered
2023-12-14,Emigration Canyon Planning Commission,876117,notice/agenda posted; no approved-minutes doc recovered
2024-05-23,Emigration Canyon Land Use Hearing Officer Meeting,915297,notice/agenda posted; no approved-minutes doc recovered
2026-04-09,Emigration Canyon Planning Commission,1070535,notice/agenda posted; no approved-minutes doc recovered
2026-04-15,Emigration Canyon Planning Commission,1071243,notice/agenda posted; no approved-minutes doc recovered
