date,year,title,slug,path,source,source_url,format,meeting_type,pmn_notice_id,pmn_file_id
2018-11-15,2018,Township Planning Commission Meeting,township-planning-commission-meeting-511437,minutes/2018/2018-11-15/2018-11-15_township-planning-commission-meeting-511437.md,pmn,https://www.utah.gov/pmn/files/511437.pdf,pdf-text,Regular,495671,511437
2019-01-17,2019,Township Planning Commission Meeting,township-planning-commission-meeting-511439,minutes/2019/2019-01-17/2019-01-17_township-planning-commission-meeting-511439.md,pmn,https://www.utah.gov/pmn/files/511439.pdf,pdf-text,Regular,507785,511439
2019-06-13,2019,Township Planning Commission Meeting,township-planning-commission-meeting-511441,minutes/2019/2019-06-13/2019-06-13_township-planning-commission-meeting-511441.md,pmn,https://www.utah.gov/pmn/files/511441.pdf,pdf-text,Regular,537373,511441
2019-07-11,2019,Township Planning Commission Meeting,township-planning-commission-meeting-531183,minutes/2019/2019-07-11/2019-07-11_township-planning-commission-meeting-531183.md,pmn,https://www.utah.gov/pmn/files/531183.pdf,pdf-text,Regular,544585,531183
2019-11-14,2019,Township Planning Commission Meeting,township-planning-commission-meeting-639571,minutes/2019/2019-11-14/2019-11-14_township-planning-commission-meeting-639571.md,pmn,https://www.utah.gov/pmn/files/639571.pdf,pdf-text,Regular,567919,639571
2020-09-17,2020,Township Planning Commission Meeting,township-planning-commission-meeting-648473,minutes/2020/2020-09-17/2020-09-17_township-planning-commission-meeting-648473.md,pmn,https://www.utah.gov/pmn/files/648473.pdf,pdf-text,Regular,626829,648473
2020-09-24,2020,Township Planning Commission Meeting,township-planning-commission-meeting-648475,minutes/2020/2020-09-24/2020-09-24_township-planning-commission-meeting-648475.md,pmn,https://www.utah.gov/pmn/files/648475.pdf,pdf-text,Regular,629573,648475
2020-10-15,2020,Township Planning Commission Meeting,township-planning-commission-meeting-660173,minutes/2020/2020-10-15/2020-10-15_township-planning-commission-meeting-660173.md,pmn,https://www.utah.gov/pmn/files/660173.pdf,pdf-text,Regular,633579,660173
2020-11-19,2020,Township Planning Commission Meeting,township-planning-commission-meeting-668855,minutes/2020/2020-11-19/2020-11-19_township-planning-commission-meeting-668855.md,pmn,https://www.utah.gov/pmn/files/668855.pdf,pdf-text,Regular,638927,668855
2020-12-02,2020,Township Planning Commission Meeting,township-planning-commission-meeting-675521,minutes/2020/2020-12-02/2020-12-02_township-planning-commission-meeting-675521.md,pmn,https://www.utah.gov/pmn/files/675521.pdf,pdf-text,Regular,642727,675521
