date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,candidate_match,date_precision,source_archive,original_url
2021-08-03,MICHELE RANDALL,Mayor,2021,interim,,"Interim campaign finance report — MICHELE RANDALL (Mayor, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,JIMMIE B. HUGHES,Mayor,2021,interim,,"Interim campaign finance report — JIMMIE B. HUGHES (Mayor, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,WOODY WOODBURY,Mayor,2021,interim,,"Interim campaign finance report — WOODY WOODBURY (Mayor, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,inferred,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,BRETT TOLLY,Mayor,2021,interim,,"Interim campaign finance report — BRETT TOLLY (Mayor, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,inferred,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,M. RICK ERICKSON,Council,2021,interim,,"Interim campaign finance report — M. RICK ERICKSON (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,RONALD WOODBURY,Council,2021,interim,,"Interim campaign finance report — RONALD WOODBURY (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,KENT L. WINDER,Council,2021,interim,,"Interim campaign finance report — KENT L. WINDER (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,inferred,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,TORI BUSH,Council,2021,interim,,"Interim campaign finance report — TORI BUSH (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,KATHERYNE NOVICK,Council,2021,interim,,"Interim campaign finance report — KATHERYNE NOVICK (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,GREG ALDRED,Council,2021,interim,,"Interim campaign finance report — GREG ALDRED (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,BRYAN S SMETHURST,Council,2021,interim,,"Interim campaign finance report — BRYAN S SMETHURST (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,VARDELL H CURTIS,Council,2021,interim,,"Interim campaign finance report — VARDELL H CURTIS (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,CAROLYN MCDONALD,Council,2021,interim,,"Interim campaign finance report — CAROLYN MCDONALD (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,NATALIE LARSEN,Council,2021,interim,,"Interim campaign finance report — NATALIE LARSEN (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-08-03,MICHELLE TANNER,Council,2021,interim,,"Interim campaign finance report — MICHELLE TANNER (Council, 2021)",https://web.archive.org/web/20210807165937id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210803_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/08032021campaignfinancialreports.pdf
2021-09-09,WOODY WOODBURY,Mayor,2021,summary,,"Final/year-end campaign finance report — WOODY WOODBURY (Mayor, 2021)",https://web.archive.org/web/20211230092356id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/09092021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210909_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/09092021campaignfinancialreports.pdf
2021-09-09,BRETT TOLLY,Mayor,2021,summary,,"Final/year-end campaign finance report — BRETT TOLLY (Mayor, 2021)",https://web.archive.org/web/20211230092356id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/09092021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210909_campaignfinancialreports.pdf,inferred,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/09092021campaignfinancialreports.pdf
2021-09-09,M. RICK ERICKSON,Council,2021,summary,,"Final/year-end campaign finance report — M. RICK ERICKSON (Council, 2021)",https://web.archive.org/web/20211230092356id_/https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/09092021campaignfinancialreports.pdf,2026-07-02,scanned,ocr:tesseract-psm6@200dpi,raw/wb20210909_campaignfinancialreports.pdf,direct,exact,wayback,https://www.sgcity.org/pdf/administration/general/campaignfinancialreports/09092021campaignfinancialreports.pdf
