candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-04-11,Go Daddy online,Go Daddy online,,20.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,111,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-05-10,Venture Creative 19 E Tabernacle Ste 301 8477,Venture Creative 19 E Tabernacle Ste 301 8477,,2000.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,112,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-01,City St George 175 E 200 N 84770,City St George 175 E 200 N 84770,,100.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,113,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-14,Venture Creative 19 E Tabernacle Ste 301 8477,Venture Creative 19 E Tabernacle Ste 301 8477,,357.61,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,114,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-15,Malea Ellett Photography 376 Pimlico Dr 84790,Malea Ellett Photography 376 Pimlico Dr 84790,,650.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,115,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-18,Adam Kickbush 162 N 400 E 84770,Adam Kickbush 162 N 400 E 84770,,1992.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,116,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-22,WCRP online,Wcrp online,,391.68,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,117,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-28,Amazon online,Amazon online,,104.53,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,118,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-01,Home Depot 937 N Westridge Dr 84770,Home Depot 937 N Westridge Dr 84770,,170.74,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,119,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-01,Lowes 415 S River Rd 84790,Lowes 415 S River Rd 84790,,137.92,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,120,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-02,Carston Cather 3182 E Fushia Dr 84790,Carston Cather 3182 E Fushia Dr 84790,,150.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,121,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-22,Braxton Cather 3182 E Fushia Dr 84790,Braxton Cather 3182 E Fushia Dr 84790,,150.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,123,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-06,E Signs online,E Signs online,,892.28,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,125,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-10,OUR online,Our online,,250.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,126,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-25,E Signs online,E Signs online,,946.90,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,127,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-26,Walgreens 391 W St George Blvd 84770,Walgreens 391 W St George Blvd 84770,,66.57,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,128,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-26,Michaels 313 S River Rd 84790,Michaels 313 S River Rd 84790,,45.98,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,129,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-26,Speedy Signs 335 S Bluff St 84770,Speedy Signs 335 S Bluff St 84770,,3358.36,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,130,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-27,Chamber of Commerce 136 N 100 E 84770,Chamber of Commerce 136 N 100 E 84770,,25.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,131,medium,stgeorge_formab/ocr,0
MICHELE RANDALL,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-08-01,Google G Suite online,Google G Suite online,,19.20,False,True,raw/wb20210803_campaignfinancialreports.pdf,e761035f,133,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-03,City of St. George 175 E 200 North 84770,City of St. George 175 E 200 North 84770,,100.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,170,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-22,Oh My Heck Marketing 3312 E Broken Mesa 84790,Oh My Heck Marketing 3312 E Broken Mesa 84790,,1067.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,171,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-22,Oh My Heck Marketing 3312 E Broken Mesa 84790,Oh My Heck Marketing 3312 E Broken Mesa 84790,,1859.40,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,172,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-25,Valpak PO Box 158 84771,Valpak PO Box 158 84771,,1000.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,173,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-07,Canyon Media 3143 S 840 E #100 84790,Canyon Media 3143 S 840 E #100 84790,,2250.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,174,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-07,St George News 3143 S 840 E #100 84790,St George News 3143 S 840 E #100 84790,,2250.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,175,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-12,Oh My Heck Marketing 3312 E Broken Mesa 84790,Oh My Heck Marketing 3312 E Broken Mesa 84790,,320.25,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,176,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-13,Lowes 415 S. River Road 84790,Lowes 415 S. River Road 84790,,425.67,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,177,medium,stgeorge_formab/ocr,0
JIMMIE B. HUGHES,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-23,Valpak PO Box 158 84771,Valpak PO Box 158 84771,,1000.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,178,medium,stgeorge_formab/ocr,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-05-07,St. George City Mayor application,St. George City Mayor application,,100.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v1,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-01,Steamroller Copies,Steamroller Copies,,101.39,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v2,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-05,Geezy Tees,Geezy Tees,,208.13,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v3,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-14,Valpak of Southern Utah,Valpak of Southern Utah,,350.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v4,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-15,Best of Signs,Best of Signs,,282.75,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v5,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-15,Best of Signs,Best of Signs,,41.21,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v6,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-15,GotPrint,GotPrint,,130.18,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v7,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-19,St. George Area Chamber of Commerce,St. George Area Chamber of Commerce,,25.00,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v8,medium,stgeorge_formab/vision,0
WOODY WOODBURY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-07-27,Steamroller Copies,Steamroller Copies,,84.05,False,True,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,v9,medium,stgeorge_formab/vision,0
BRETT TOLLY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-17,Steamroller Copies,Steamroller Copies,,61.24,False,True,raw/wb20210803_campaignfinancialreports.pdf,cb0a6cab,v1,low,stgeorge_formab/vision,1
BRETT TOLLY,Mayor,,2021,2021-08-03,2021 pre-primary (Aug 3),2021-06-25,Steamroller Copies,Steamroller Copies,,208.16,False,True,raw/wb20210803_campaignfinancialreports.pdf,cb0a6cab,v2,low,stgeorge_formab/vision,1
