file,status,matched_candidate,election_year,ocr_name,sim,confidence,page_range,start_line,end_line,document_id
20230829_campaignfinancedisclosures,aligned,GREGG MCARTHUR,2023,Gregg McArthur,1.0,high,p01-p03,8,64,0587dbde
20230829_campaignfinancedisclosures,aligned,AROS MACKEY,2023,Aros Animus Mackey,0.7897,high,p03-p06,64,151,40829b41
20230829_campaignfinancedisclosures,aligned,JIMMIE B. HUGHES,2023,Jimmie B Hughes,1.0,high,p06-p08,151,199,a34340b4
20230829_campaignfinancedisclosures,aligned,MATTHEW L HEATON,2023,Matthew L Heaton,1.0,high,p08-p11,199,294,5c6f0470
20230829_campaignfinancedisclosures,aligned,AUSTIN HODGES,2023,Austin Hodges,1.0,high,p11-p13,294,363,f88a0be0
20230829_campaignfinancedisclosures,aligned,KATHERYNE KNIGHT,2023,va C 1,0.0278,elimination,p13-p16,363,405,e2302ee7
20230829_campaignfinancedisclosures,aligned,STEVE KEMP,2023,STEVE KEMP,1.0,high,p16-p19,405,507,bd97a713
20230829_campaignfinancedisclosures,aligned,DANNIELLE LARKIN,2023,DANNIELLE LARKIN,1.0,high,p19-p24,507,661,17e22db0
20230829_campaignfinancedisclosures,aligned,KIMBALL WILLARD,2023,Kimball Willard,1.0,high,p24-p28,661,741,2ac927f5
20230829_campaignfinancedisclosures,aligned,GREG ALDRED,2023,Greg Aldred,1.0,high,p28-p30,741,805,12caf008
20230829_campaignfinancedisclosures,aligned,WENDI PRINCE BULKLEY,2023,Wendi Prince Bulkley,1.0,high,p30-p34,805,976,0fe17b5e
20230829_campaignfinancedisclosures,aligned,BRAD BENNETT,2023,BRAD BENNETT,1.0,high,p34-p38,976,1127,9a427b0a
20230829_campaignfinancedisclosures,aligned,PAULA SMITH,2023,Paula Smith,1.0,high,p38-p41,1127,1254,5a8064b4
20230829_campaignfinancedisclosures,aligned,STEVEN G JENNINGS,2023,Steven Jennings,1.0,high,p41-p42,1254,1322,a1f9fddf
20231024_october242023financialdisclosures,aligned,JIMMIE B. HUGHES,2023,,0.0,elimination,p01-p03,2,68,28115785
20231024_october242023financialdisclosures,aligned,STEVE KEMP,2023,STEVE KEMP,1.0,high,p03-p06,68,148,d9581cd5
20231024_october242023financialdisclosures,aligned,DANNIELLE LARKIN,2023,DANNIELLE LARKIN,1.0,high,p06-p09,148,215,f663d36e
20231024_october242023financialdisclosures,aligned,BRAD BENNETT,2023,BRAD BENNETT,1.0,high,p09-p12,215,346,83f42725
20231024_october242023financialdisclosures,aligned,PAULA SMITH,2023,Paula Smith,1.0,high,p12-p14,346,462,e1314e93
20231114_financialdisclosures,aligned,JIMMIE B. HUGHES,2023,Jimmie B Hughes,1.0,high,p01-p03,8,57,07bdf77d
20231114_financialdisclosures,aligned,STEVE KEMP,2023,STEVE KEMP,1.0,high,p03-p06,57,122,797f5044
20231114_financialdisclosures,aligned,DANNIELLE LARKIN,2023,DANNIELLE LARKIN,1.0,high,p06-p08,122,184,0902f7f5
20231114_financialdisclosures,aligned,BRAD BENNETT,2023,BRAD BENNETT,1.0,high,p08-p11,184,277,bf2ecacf
20231114_financialdisclosures,aligned,PAULA SMITH,2023,Paula Smith,1.0,high,p11-p12,277,341,986980f9
20231221_campaignfinancedisclosures,aligned,JIMMIE B. HUGHES,2023,Jimmie B Hughes,1.0,high,p01-p03,5,59,837f5243
20231221_campaignfinancedisclosures,aligned,STEVE KEMP,2023,STEVE KEMP,1.0,high,p03-p05,59,115,14579597
20231221_campaignfinancedisclosures,aligned,DANNIELLE LARKIN,2023,DANNIELLE LARKIN,1.0,high,p05-p07,115,160,0517f689
