notice_id,pmn_body_id,list_title,listed_datetime
219699,1287,Ordinance Adoption Notice,2014/06/13 04:18 PM
219705,1287,Ordinance Adoption Notice,2014/06/13 12:00 AM
219703,1287,Ordinance Adoption Notice,2014/06/13 12:00 AM
219701,1287,Ordinance Adoption Notice,2014/06/13 12:00 AM
429221,1287,Notice of Adoption,2017/11/15 01:00 PM
429219,1287,Notice of Adoption,2017/11/15 01:00 PM
429217,1287,Notice of Adoption,2017/11/15 01:00 PM
429215,1287,Notice of Adoption,2017/11/15 01:00 PM
429213,1287,Notice of Adoption,2017/11/15 01:00 PM
435743,1287,Notice of Adoption,2017/12/19 01:00 PM
435741,1287,Notice of Adoption,2017/12/19 01:00 PM
435739,1287,Notice of Adoption,2017/12/19 01:00 PM
435737,1287,Notice of Adoption,2017/12/19 01:00 PM
435735,1287,Notice of Adoption,2017/12/19 01:00 PM
435731,1287,Notice of Adoption,2017/12/19 01:00 PM
452947,1287,Ordinance Adoption,2018/03/16 01:00 AM
452945,1287,Ordinance Adoption,2018/03/16 01:00 AM
452943,1287,Ordinance Adoption,2018/03/16 01:00 AM
452941,1287,Ordinance Adoption,2018/03/16 01:00 AM
455237,1287,Ordinance Adoption,2018/03/30 01:00 AM
459375,1287,Ordinance Adoption,2018/04/21 01:00 AM
464319,1155,Ordinance Adoption,2018/05/14 01:00 AM
464317,1155,Ordinance Adoption,2018/05/14 01:00 AM
464315,1155,Ordinance Adoption,2018/05/14 01:00 AM
465277,1287,Ordinance Adoption,2018/05/18 01:00 AM
472151,1287,Ordinance Adoption,2018/06/22 01:00 AM
475797,1287,Ordinance Adoption,2018/07/14 01:00 AM
475795,1287,Ordinance Adoption,2018/07/14 01:00 AM
482909,1287,Ordinance Adoption,2018/08/24 01:00 PM
482907,1287,Ordinance Adoption,2018/08/24 01:00 PM
482905,1287,Ordinance Adoption,2018/08/24 01:00 PM
486505,1287,Ordinance Adoption,2018/09/14 01:00 AM
486503,1287,Ordinance Adoption,2018/09/14 01:00 AM
489135,1287,Ordinance Adoption,2018/09/27 01:00 AM
491993,1287,Ordinance Adoption,2018/10/12 01:00 AM
491991,1287,Ordinance Adoption,2018/10/12 01:00 AM
494651,1287,Ordinance Adoption,2018/10/26 01:00 PM
494649,1287,Ordinance Adoption,2018/10/26 01:00 PM
504143,1287,Ordinance Adoption,2018/12/17 01:00 AM
