ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,adoption_date_source,case_no,linkage_note,minutes_source
2014-25,2014-06-12,2014-06-12,"to adopt a final budget, and to determine the rate of tax and levying taxes in Herriman, Utah",https://www.utah.gov/pmn/sitemap/notice/219699.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_219699.html,no,,,,none,219699,https://www.utah.gov/pmn/sitemap/notice/219699.html,pmn-notice,,below the 2020 minutes/vote floor,
2014-26,2014-06-12,2014-06-12,amending the land use Ordinance 10-20-9 regarding preservation of open space,https://www.utah.gov/pmn/sitemap/notice/219701.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_219701.html,yes,,,,none,219701,https://www.utah.gov/pmn/sitemap/notice/219701.html,pmn-notice,,below the 2020 minutes/vote floor,
2014-27,2014-06-12,2014-06-12,"banning the use of fireworks and any open flame fires within certain areas of Herriman, Utah",https://www.utah.gov/pmn/sitemap/notice/219703.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_219703.html,no,,,,none,219703,https://www.utah.gov/pmn/sitemap/notice/219703.html,pmn-notice,,below the 2020 minutes/vote floor,
2014-28,2014-06-12,2014-06-12,amending the Herriman City cemetery rules and regulations,https://www.utah.gov/pmn/sitemap/notice/219705.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_219705.html,no,,,,none,219705,https://www.utah.gov/pmn/sitemap/notice/219705.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-07,2019-02-27,2019-02-27,authorizing the exemption to certain Impact Fees with respect to the development known as Anthem Center and authorizing the exemption of Roadway Facilities Impact Fee with respect to the WinCo to be D,https://www.utah.gov/pmn/sitemap/notice/518393.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_518393.html,no,,,,none,518393,https://www.utah.gov/pmn/sitemap/notice/518393.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-39,2017-08-09,2017-08-09,"ADOPTING THE ANTHEM TOWN CENTER COMMUNITY REINVESTMENT PROJECT AREA On August 9, 2017, pursuant to Limited Purpose Local Government Entities - Community Reinvestment Agency Act (the 'Act'), the City C",https://www.utah.gov/pmn/sitemap/notice/508785.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_508785.html,no,,,,none,508785,https://www.utah.gov/pmn/sitemap/notice/508785.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-46,2017-11-08,2017-11-08,authorizing a text change to the Land Use Ordinance to add a chapter regarding Planned Development Overlay Zone,https://www.utah.gov/pmn/sitemap/notice/429213.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_429213.html,yes,,,,none,429213,https://www.utah.gov/pmn/sitemap/notice/429213.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-47,2017-11-08,2017-11-08,text change to the Land Use Ordinance to add a chapter regarding Site Plans,https://www.utah.gov/pmn/sitemap/notice/429215.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_429215.html,yes,,,,none,429215,https://www.utah.gov/pmn/sitemap/notice/429215.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-48,2017-11-08,2017-11-08,"approving a Development Agreement for the West Valley EP, LLC with respect to property located at or near 12626 Herriman Parkway",https://www.utah.gov/pmn/sitemap/notice/429217.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_429217.html,yes,,,,none,429217,https://www.utah.gov/pmn/sitemap/notice/429217.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-49,2017-11-08,2017-11-08,"approving the 2017-2018 Ice Skating Program, Rental and access fees for the Ice Ribbon at Crane Park",https://www.utah.gov/pmn/sitemap/notice/429219.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_429219.html,no,,,,none,429219,https://www.utah.gov/pmn/sitemap/notice/429219.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-50,2017-11-08,2017-11-08,declaring 1.09 acres of real property located at or near 12950 South Rosecrest Road as surplus,https://www.utah.gov/pmn/sitemap/notice/429221.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_429221.html,no,,,,none,429221,https://www.utah.gov/pmn/sitemap/notice/429221.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-52,2017-12-13,2017-12-13,adopting the amended Community Reinvestment Project Area Plan for the Herriman Business Center Project Area,https://www.utah.gov/pmn/sitemap/notice/435735.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_435735.html,no,,,,none,435735,https://www.utah.gov/pmn/sitemap/notice/435735.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-53,2017-12-13,2017-12-13,amending the Master Fee Schedule,https://www.utah.gov/pmn/sitemap/notice/435731.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_435731.html,no,,,,none,435731,https://www.utah.gov/pmn/sitemap/notice/435731.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-54,2017-12-13,2017-12-13,"repealing Title 10 Land Use Regulations and Title 11 Subdivision Regulations of the Herriman City Code of Ordinance and Enacting a new Title 10, and related matters",https://www.utah.gov/pmn/sitemap/notice/435737.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_435737.html,yes,,,,none,435737,https://www.utah.gov/pmn/sitemap/notice/435737.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-55,2017-12-13,2017-12-13,revising on-street parking requirements,https://www.utah.gov/pmn/sitemap/notice/435739.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_435739.html,no,,,,none,435739,https://www.utah.gov/pmn/sitemap/notice/435739.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-56,2017-12-13,2017-12-13,"amending Title 7 of the Herriman City Code regarding camping on public grounds, streets, parks and playgrounds",https://www.utah.gov/pmn/sitemap/notice/435741.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_435741.html,no,,,,none,435741,https://www.utah.gov/pmn/sitemap/notice/435741.html,pmn-notice,,below the 2020 minutes/vote floor,
2017-57,2017-12-13,2017-12-13,approving the first amendment of the Sign Development Agreement with RSL,https://www.utah.gov/pmn/sitemap/notice/435743.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_435743.html,yes,,,,none,435743,https://www.utah.gov/pmn/sitemap/notice/435743.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-01,2018-01-10,2018-01-10,Text Change Mobile Food Vendors,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572597_ORD_2018-01_Text%20Change%20Mobile%20Food%20Vendors.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-01.pdf,yes,,,,none,,,pdf-clause,,below the 2020 minutes/vote floor,
2018-03,2018-01-24,2018-01-24,Amendment Ordinance City Recorder and City Treasurer,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572559_ORD_2018-03_Amendment%20Ordinance%20City%20Recorder%20and%20City%20Treasurer.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-03.pdf,no,,,,none,,,pdf-clause,,below the 2020 minutes/vote floor,
2018-04,2018-02-14,2018-02-14,Text Change LDC Remove Self Storage and RV Storage,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572511_ORD_2018-04_Text%20Change%20LDC%20Remove%20Self%20Storage%20and%20RV%20Storage.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-04.pdf,yes,,,,none,,,pdf-clause,,below the 2020 minutes/vote floor,
2018-11,2018-03-14,2018-03-14,vacating a public easement located at or near 5730 West Herriman Boulevard,https://www.utah.gov/pmn/sitemap/notice/452941.html,2026-07-13,html,"html-strip (PMN Recorder adoption notice; summary only, not full ordinance text)",raw/pmn/notice_452941.html,no,,,,none,452941,https://www.utah.gov/pmn/sitemap/notice/452941.html,pmn-notice,,below the 2020 minutes/vote floor,
2018-12,2018-03-14,2018-03-14,authorizing a text change to the Land Development Code regarding Open Space in the Planned Development Overlay Zone,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/herriman/ordinances/documents/1657572473_ORD_2018-12_OpenSpace.pdf,2026-07-13,scanned,tesseract OCR @300dpi (no text layer),raw/archive/2018-12.pdf,yes,,,,none,452943,https://www.utah.gov/pmn/sitemap/notice/452943.html,pmn-notice,,below the 2020 minutes/vote floor; PMN adoption notice + signed archive PDF both retained,
