ordinance_no,adoption_date,motion_no,evidence,reason,checked_date
2020-04,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2020-06,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2020-18,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2020-30,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2021-02,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2022-12,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2023-01,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2023-11,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2024-06,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2025-06,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance",2026-07-13
2026-12,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance; 2026 series still in progress - may simply postdate this build",2026-07-13
2026-13,,,series-numbering inference only,"series hole - number never witnessed in any source (no council motion cites it, no PMN Recorder adoption notice, no Municipal Code Online archive PDF); may be an unassigned/failed/vetoed number or an unpublished ordinance; 2026 series still in progress - may simply postdate this build",2026-07-13
