date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,recovery_source
2022-01-20,2022,PlanningCommission WM Meeting 2022-01-20,2022-01-20_pc_WM,PlanningCommission,raw/2022/2022-01-20_pc_WM_01202022-86.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_01202022-86,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2022-02-03,2022,PlanningCommission PC Meeting 2022-02-03,2022-02-03_pc_PC,PlanningCommission,raw/2022/2022-02-03_pc_PC_02032022-87.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_02032022-87,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2022-02-17,2022,PlanningCommission PC Meeting 2022-02-17,2022-02-17_pc_PC,PlanningCommission,raw/2022/2022-02-17_pc_PC_02172022-88.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_02172022-88,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2022-04-07,2022,PlanningCommission PC Meeting 2022-04-07,2022-04-07_pc_PC,PlanningCommission,raw/2022/2022-04-07_pc_PC_04072022-91.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_04072022-91,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2022-05-19,2022,PlanningCommission WM Meeting 2022-05-19,2022-05-19_pc_WM,PlanningCommission,raw/2022/2022-05-19_pc_WM_05192022-94.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_05192022-94,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2022-08-18,2022,PlanningCommission WM Meeting 2022-08-18,2022-08-18_pc_WM,PlanningCommission,raw/2022/2022-08-18_pc_WM_08182022-11.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_08182022-11,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2022-09-01,2022,PlanningCommission WM Meeting 2022-09-01,2022-09-01_pc_WM,PlanningCommission,raw/2022/2022-09-01_pc_WM_09012022-20.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_09012022-20,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2022-09-14,2022,Council WM Meeting 2022-09-14,2022-09-14_council_WM,Council,raw/2022/2022-09-14_council_WM_09142022-12.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09142022-12,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2022-09-15,2022,PlanningCommission WM Meeting 2022-09-15,2022-09-15_pc_WM,PlanningCommission,raw/2022/2022-09-15_pc_WM_09152022-267.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09152022-267,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2022-09-28,2022,Council WM Meeting 2022-09-28,2022-09-28_council_WM,Council,raw/2022/2022-09-28_council_WM_09282022-13.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09282022-13,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2022-10-12,2022,Council WM Meeting 2022-10-12,2022-10-12_council_WM,Council,raw/2022/2022-10-12_council_WM_10122022-22.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10122022-22,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2022-10-26,2022,Council WM Meeting 2022-10-26,2022-10-26_council_WM,Council,raw/2022/2022-10-26_council_WM_10262022-26.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_10262022-26,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
2022-11-17,2022,PlanningCommission PC Meeting 2022-11-17,2022-11-17_pc_PC,PlanningCommission,raw/2022/2022-11-17_pc_PC_11172022-47.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_11172022-47,,,,2026-07-13,text,pdftotext -layout,agendacenter_minutes
2023-01-11,2023,RDA RC Meeting 2023-01-11,2023-01-11_rda_RC,RDA,raw/2023/2023-01-11_rda_RC_01112023-91.pdf,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_01112023-91,,,,2026-07-13,text,pdftotext -layout,agendacenter_archivedminutes
