date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,district,filer_type,in_election_results,date_precision
2021-11-01,Chad Lamb,Council,2021,summary,,Campaign Finance Disclosure (Final),https://www.westjordan.utah.gov/wp-content/uploads/2021/11/Chad-Lamb-Final-Website-1.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202111_Lamb-Chad_Final.pdf,city_website,At-Large,,yes,month
2021-10-01,Craig F. Heath,Council,2021,summary,,Campaign Finance Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2021/10/heath-financial-disclosure.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202110_Heath-Craig_Financial-Disclosure.pdf,city_website,,,no,month
2021-10-01,Kayleen Whitelock,Council,2021,summary,,Primary and General Financial Disclosures (Redacted),https://www.westjordan.utah.gov/wp-content/uploads/2021/10/Kayleen-Whitelock-Primary-and-General-Financial-Disclosures-Redacted.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202110_Whitelock-Kayleen_Primary-and-General.pdf,city_website,At-Large,,yes,month
2021-11-01,Kayleen Whitelock,Council,2021,summary,,"Campaign Finance Disclosure (Amended, Final)",https://www.westjordan.utah.gov/wp-content/uploads/2021/11/Kayleen-Whitelock-Final-Website.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202111_Whitelock-Kayleen_Final-Amended.pdf,city_website,At-Large,,yes,month
2021-11-01,Kelvin Green,Council,2021,summary,,"Campaign Finance Disclosure (Final, Amended 10/25/2021)",https://www.westjordan.utah.gov/wp-content/uploads/2021/11/Kelvin-Green-Final-Website.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202111_Green-Kelvin_Final.pdf,city_website,At-Large,,yes,month
2021-12-01,Mike S. Withers,Council,2021,summary,,Campaign Finance Disclosure (Final),https://www.westjordan.utah.gov/wp-content/uploads/2021/12/Final-Mike-Withers-Website.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202112_Withers-Mike_Final.pdf,city_website,At-Large,,yes,month
2021-10-01,Mikey Smith,Council,2021,summary,,Primary and General Election Financial Disclosure (Redacted),https://www.westjordan.utah.gov/wp-content/uploads/2021/10/Mikey-Smith-Primary-and-General-Election-Financial-Disclosure-Redacted.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202110_Smith-Mikey_Primary-and-General.pdf,city_website,At-Large,,yes,month
2021-12-01,Pamela Bloom,Council,2021,summary,,"Campaign Finance Disclosure (Final, Amended 08/04/2021)",https://www.westjordan.utah.gov/wp-content/uploads/2021/12/Final-Pamela-Bloom-website.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202112_Bloom-Pamela_Final.pdf,city_website,At-Large,,yes,month
2021-10-01,Tyrone Fields,Council,2021,summary,,Campaign Finance Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2021/10/tyrone-financial-disclosure.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202110_Fields-Tyrone_Financial-Disclosure.pdf,city_website,,,no,month
2023-08-25,Bob Bedore,Council,2023,interim,,Primary Election Report,https://ecf-api.easyvoteapp.com/documents/37E541BF-F003-434D-B08D-9D2A2D5F9AEE/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Bedore_Primary-Election-Report_37E541BF.pdf,easyvote,2,Current Elected Official,yes,day
2023-10-24,Bob Bedore,Council,2023,interim,,28 - Day Report,https://ecf-api.easyvoteapp.com/documents/38DC32BF-5D11-481C-BA51-A7840CAAA80B/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Bedore_28-Day-Report_38DC32BF.pdf,easyvote,2,Current Elected Official,yes,day
2023-11-13,Bob Bedore,Council,2023,interim,,General Election Report,https://ecf-api.easyvoteapp.com/documents/2EAE806D-896A-49D2-81F1-ED7BC79E7A20/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Bedore_General-Election-Report_2EAE806D.pdf,easyvote,2,Current Elected Official,yes,day
2023-12-18,Bob Bedore,Council,2023,summary,,Post Genereal Election Report,https://ecf-api.easyvoteapp.com/documents/A8F48C3F-D5A5-48E5-B92F-B130ACAFCFA6/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Bedore_Post-Genereal-Election-Report_A8F48C3F.pdf,easyvote,2,Current Elected Official,yes,day
2023-10-23,Chad Lamb,Council,2023,interim,,28 Day Report,https://ecf-api.easyvoteapp.com/documents/94296355-692B-432F-8F82-270118C92445/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Lamb_28-Day-Report_94296355.pdf,easyvote,1,Current Elected Official,yes,day
