body,bname,notice_id,notice_date,file_id,ext,label,kind,minutes_probe,is_pdf
5809,Council,370411,,282681,MP3,01-11-2017 Emigration.MP3,audio,,
5809,Council,370411,,282733,pdf,011117.pdf,other,,
5809,Council,373523,,282735,MP3,01-26-2017 Emigration.MP3,audio,,
5809,Council,373523,,282673,pdf,012617.pdf,other,,
5809,Council,375867,,282683,MP3,02-07-17 Emigration.MP3,audio,,
5809,Council,375867,,287825,pdf,020717.pdf,other,,
5809,Council,380303,,282687,MP3,02-28-17 Emigration.MP3,audio,,
5809,Council,380303,,311481,pdf,02-28-17.pdf,other,,
5809,Council,381829,,284945,MP3,03-07-17 Emigration .MP3,audio,,
5809,Council,381829,,311483,pdf,03-07-17.pdf,other,,
5809,Council,381877,,284947,MP3,03-07-17 Emigration .MP3,audio,,
5809,Council,381877,,290567,pdf,03-07-17.pdf,other,,
5809,Council,387095,,295571,MP3,04-04-17.MP3,audio,,
5809,Council,387095,,301199,pdf,04-04-17.pdf,other,,
5809,Council,390099,,295583,MP3,04-24-17.MP3,audio,,
5809,Council,390099,,311485,pdf,04-24-17.pdf,other,,
5809,Council,392869,,297679,MP3,05-02-17.MP3,audio,,
5809,Council,392869,,311487,pdf,05-02-17.pdf,other,,
5809,Council,399589,,305553,MP3,06-06-17.MP3,audio,,
5809,Council,399589,,313985,pdf,06-06-17.pdf,other,,
5809,Council,400911,,307345,MP3,06-12-17.MP3,audio,,
5809,Council,400911,,324449,pdf,06-12-17.pdf,other,,
5809,Council,405733,,313983,MP3,07-10-17.MP3,audio,,
5809,Council,409739,,319055,MP3,08-01-17.MP3,audio,,
5809,Council,409739,,338087,pdf,08-01-17.pdf,other,,
5809,Council,409739,,318395,docx,08-01-17.docx,other,,
5809,Council,415169,,326667,MP3,09-05-17.MP3,audio,,
5809,Council,415169,,353285,pdf,09-05-17.pdf,other,,
5809,Council,415169,,325803,docx,09-05-17.docx,other,,
5809,Council,420461,,334603,MP3,10-03-17.MP3,audio,,
5809,Council,420461,,358927,pdf,10-03-17.pdf,other,,
5809,Council,427077,,345239,MP3,11-06-17.MP3,audio,,
5809,Council,427077,,358929,pdf,11-06-17.pdf,other,,
5809,Council,435227,,355263,docx,12-20-17 Public Heairng.docx,other,,
5809,Council,436095,,358717,MP3,12-20-17.MP3,audio,,
5809,Council,436095,,376797,pdf,12-20-17.pdf,other,,
5809,Council,437393,,358881,MP3,01-02-18.MP3,audio,,
5809,Council,437393,,406461,pdf,01-02-18.pdf,other,,
5809,Council,440741,,362997,mp3,01-15-18 (1).mp3,audio,,
5809,Council,440741,,362999,mp3,01-15-18 (2).mp3,audio,,
5809,Council,440741,,406463,pdf,01-15-18.pdf,other,,
5809,Council,443779,,368393,mp3,02-01-18.mp3,audio,,
5809,Council,443779,,406467,pdf,02-01-18.pdf,other,,
5809,Council,443779,,366589,pdf,02-01-18.pdf,other,,
5809,Council,454073,,382353,MP3,03-22-18.MP3,audio,,
5809,Council,454073,,406469,pdf,03-22-18.pdf,other,,
5809,Council,454073,,381117,pdf,03-22-18.pdf,other,,
5809,Council,460387,,392109,mp3,04-26-18.mp3,audio,,
5809,Council,460387,,406471,pdf,04-26-18.pdf,other,,
5809,Council,466435,,400127,MP3,05-24-18.MP3,audio,,
5809,Council,466435,,409221,pdf,05-24-18.pdf,other,,
5809,Council,472935,,409213,MP3,06-28-18.MP3,audio,,
5809,Council,472935,,439745,pdf,06-28-18.pdf,other,,
5809,Council,477739,,415061,MP3,07-26-18.MP3,audio,,
5809,Council,477739,,439747,pdf,07-26-18.pdf,other,,
5809,Council,482771,,422745,MP3,08-23-18.MP3,audio,,
5809,Council,482771,,439749,pdf,08-23-18.pdf,other,,
5809,Council,482771,,421687,pdf,08-23-18.pdf,other,,
5809,Council,487529,,433497,MP3,09-19-18.MP3,audio,,
5809,Council,487529,,439751,pdf,09-19-18.pdf,other,,
5809,Council,494581,,439739,MP3,10-25-18.MP3,audio,,
5809,Council,494581,,459655,pdf,10-25-18.pdf,other,,
5809,Council,500585,,451827,MP3,11-29-18.MP3,audio,,
5809,Council,500585,,466809,pdf,11-29-18.pdf,other,,
5809,Council,500585,,447097,pdf,2019 Emigration Canyon Budget Revised Format.pdf,other,,
5809,Council,503209,,451045,docx,NOTICE OF PUBLIC HEARING.docx,other,,
5809,Council,503209,,451047,xlsx,2019 Emigration Canyon Budget Revised Format 11-30-2018.xlsx,other,,
