mid,Minutes_ok,Minutes_size,Minutes_body,Minutes_cat,Minutes_date,Agenda_ok,Agenda_size,Agenda_body,Agenda_cat,Agenda_date
1,1,1197960,board_of_trustees,Council/Other,2019-01-04,1,223427,board_of_trustees,Council/Other,2019-01-04
2,1,1602115,board_of_trustees,Council/Other,2019-01-09,1,230006,board_of_trustees,Council/Other,2019-01-09
3,1,2490913,magna,Council/Other,2019-02-01,1,232453,board_of_trustees,Council/Other,2019-02-01
4,1,2292463,magna,Council/Other,2019-02-13,1,230284,board_of_trustees,Council/Other,2019-02-13
5,1,1067158,board_of_trustees,Council/Other,2019-03-08,1,222933,board_of_trustees,Council/Other,2019-03-08
6,1,2270156,board_of_trustees,Council/Other,2019-03-13,1,226792,board_of_trustees,Council/Other,2019-03-13
7,1,1968677,magna,Council/Other,2019-03-25,1,221506,board_of_trustees,Council/Other,2019-03-25
8,1,2855423,magna,Council/Other,2019-04-05,1,228797,board_of_trustees,Council/Other,2019-04-05
9,1,1548985,magna,Council/Other,2019-04-10,1,223162,board_of_trustees,Council/Other,2019-04-10
10,1,2681943,,Council/Other,,1,289570,board_of_trustees,Council/Other,2019-05-08
11,1,1699854,magna,Council/Other,2019-05-17,1,244235,board_of_trustees,Council/Other,2019-05-17
12,1,3490112,magna,Council/Other,2019-06-12,1,261142,board_of_trustees,Council/Other,2019-06-12
13,1,1855289,board_of_trustees,Council/Other,2019-06-26,1,240400,board_of_trustees,Council/Other,2019-06-26
14,1,1925160,board_of_trustees,Council/Other,2019-07-10,1,244510,board_of_trustees,Council/Other,2019-07-10
15,1,1272739,board_of_trustees,Council/Other,2019-08-02,1,229617,board_of_trustees,Council/Other,2019-08-02
16,1,1342360,board_of_trustees,Council/Other,2019-08-09,1,230247,board_of_trustees,Council/Other,2019-08-09
17,1,2368360,magna,Council/Other,2019-08-20,1,240559,board_of_trustees,Council/Other,2019-08-20
18,1,2492809,emigration_canyon,Council/Other,2019-09-11,1,232224,board_of_trustees,Council/Other,2019-09-11
19,1,2122460,copperton,Council/Other,2019-09-25,1,240557,board_of_trustees,Council/Other,
20,1,2259352,,Council/Other,,1,242672,board_of_trustees,Council/Other,2019-10-09
21,1,301004,,Council/Other,,1,243375,board_of_trustees,Council/Other,2019-10-23
22,1,2046368,magna,Council/Other,2019-11-13,1,243886,board_of_trustees,Council/Other,2019-11-13
23,1,2246824,board_of_trustees,Council/Other,2019-12-11,1,246497,board_of_trustees,Council/Other,
24,1,2146300,board_of_trustees,Council/Other,2020-01-08,1,244981,board_of_trustees,Council/Other,2020-01-08
25,1,2728257,board_of_trustees,Council/Other,2020-01-22,1,245565,board_of_trustees,Council/Other,2020-01-22
26,1,474844,magna,Council/Other,2020-02-12,1,240719,board_of_trustees,Council/Other,2020-02-12
