body,bname,notice_id,notice_date,file_id,ext,label,kind,minutes_probe,is_pdf,meeting_date,bucket,date_src
1562,PlanningCommission,752691,,845819,pdf,September minutes.pdf,minutes,200,1,2021-09-16,DUP,ok
1562,PlanningCommission,759941,,859123,pdf,May minutes.pdf,minutes,200,1,2022-05-12,DUP,ok
1562,PlanningCommission,784697,,897665,pdf,September minutes.pdf,minutes,200,1,2022-09-15,DUP,ok
1562,PlanningCommission,784697,,899797,pdf,August minutes.pdf,minutes,200,1,2022-08-11,DUP,ok
1562,PlanningCommission,797591,,922263,pdf,November minutes.pdf,minutes,200,1,2022-11-17,DUP,ok
1562,PlanningCommission,810235,,943791,pdf,December minutes.pdf,minutes,200,1,2022-12-15,DUP,ok
1562,PlanningCommission,810235,,943793,pdf,January12 minutes.pdf,minutes,200,1,2023-01-12,DUP,ok
1562,PlanningCommission,828863,,971335,pdf,April minutes.pdf,minutes,200,1,2023-04-13,DUP,ok
1562,PlanningCommission,828863,,976455,pdf,March 16 minutes.pdf,minutes,200,1,2023-03-16,DUP,ok
1562,PlanningCommission,828863,,976457,pdf,March24 minutes.pdf,minutes,200,1,2023-03-24,DUP,ok
1562,PlanningCommission,836391,,989061,pdf,May minutes.pdf,minutes,200,1,2023-05-11,DUP,ok
1562,PlanningCommission,855335,,1020325,pdf,June minutes.pdf,minutes,200,1,2023-06-15,DUP,ok
1562,PlanningCommission,862395,,1029573,pdf,September minutes.pdf,minutes,200,1,2023-09-14,DUP,ok
1562,PlanningCommission,868013,,1082757,pdf,231116_EmigrationPC_MinutesApproved.pdf,minutes,200,1,2023-11-16,DUP,ok
1562,PlanningCommission,882443,,1067783,pdf,November minutes.pdf,minutes,200,1,2023-11-16,DUP,ok
1562,PlanningCommission,889077,,1081639,pdf,October minutes.pdf,minutes,200,1,2023-10-12,DUP,ok
1562,PlanningCommission,889077,,1081643,pdf,January minutes.pdf,minutes,200,1,2024-01-11,DUP,ok
1562,PlanningCommission,896467,,1092463,pdf,February minutes.pdf,minutes,200,1,2024-02-08,DUP,ok
1562,PlanningCommission,903107,,1106673,pdf,March minutes.pdf,minutes,200,1,2024-03-14,DUP,ok
1562,PlanningCommission,909067,,1117105,pdf,April minutes.pdf,minutes,200,1,2024-04-11,DUP,ok
1562,PlanningCommission,909067,,1184301,pdf,240509_EmigrationPC_MinutesApproved.pdf,minutes,200,1,2024-05-09,DUP,ok
1562,PlanningCommission,915927,,1140021,pdf,April minutes(2).pdf,minutes,200,1,2024-04-11,DUP,ok
1562,PlanningCommission,915927,,1140023,pdf,May minutes.pdf,minutes,200,1,2024-05-09,DUP,ok
1562,PlanningCommission,924753,,1184305,pdf,240711_EmigrationPC_MinutesApproved.pdf,minutes,200,1,2024-07-11,DUP,ok
1562,PlanningCommission,944451,,1183499,pdf,May minutes.pdf,minutes,200,1,2024-05-09,DUP,ok
1562,PlanningCommission,944451,,1183501,pdf,July minutes.pdf,minutes,200,1,2024-07-11,DUP,ok
1562,PlanningCommission,944451,,1183659,pdf,June minutes.pdf,minutes,200,1,2024-06-27,DUP,ok
1562,PlanningCommission,950981,,1194313,pdf,August minutes.pdf,minutes,200,1,2024-08-08,DUP,ok
1562,PlanningCommission,950981,,1194315,pdf,October minutes.pdf,minutes,200,1,2024-10-17,DUP,ok
1562,PlanningCommission,950981,,1195035,pdf,September minutes.pdf,minutes,200,1,2024-09-26,DUP,ok
1562,PlanningCommission,963031,,1215337,pdf,December minutes.pdf,minutes,200,1,2024-12-12,DUP,ok
1562,PlanningCommission,970555,,1231649,pdf,January minutes.pdf,minutes,200,1,2025-01-09,DUP,ok
1562,PlanningCommission,977419,,1240149,pdf,February minutes.pdf,minutes,200,1,2025-02-13,DUP,ok
1562,PlanningCommission,989953,,1266801,pdf,April minutes.pdf,minutes,200,1,2025-04-03,DUP,ok
1562,PlanningCommission,989953,,1266803,pdf,March minutes.pdf,minutes,200,1,2025-03-13,DUP,ok
1562,PlanningCommission,1006577,,1295765,pdf,May minutes.pdf,minutes,200,1,2025-05-08,DUP,ok
1562,PlanningCommission,1006577,,1295767,pdf,June minutes.pdf,minutes,200,1,2025-06-12,DUP,ok
1562,PlanningCommission,1012699,,1308263,pdf,July minutes.pdf,minutes,200,1,2025-07-10,DUP,ok
1562,PlanningCommission,1032655,,1349263,pdf,September minutes.pdf,minutes,200,1,2025-09-24,DUP,ok
1562,PlanningCommission,1040893,,1363983,pdf,November minutes.pdf,minutes,200,1,2025-11-13,RECOVERY(unrec),ok
1562,PlanningCommission,1047987,,1372635,pdf,December minutes.pdf,minutes,200,1,2025-12-11,DUP,ok
1562,PlanningCommission,1063465,,1401423,pdf,December minutes.pdf,minutes,200,1,2025-12-11,DUP,ok
1562,PlanningCommission,1063465,,1401425,pdf,February minutes.pdf,minutes,200,1,2026-02-12,DUP,ok
1562,PlanningCommission,1090275,,1457831,pdf,June minutes.pdf,minutes,200,1,2026-06-11,DUP,ok
1562,PlanningCommission,1090275,,1458451,pdf,May minutes.pdf,minutes,200,1,2026-05-14,DUP,ok
