date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method
2022-01-03,2022,City Council - Oath of Office Ceremony,council-2022-01-03-oath-of-office-ceremony,,raw/council_2022-01-03_801447.pdf,pmn,https://www.utah.gov/pmn/files/801447.pdf,https://www.utah.gov/pmn/sitemap/notice/725273.html,395,801447,2026-07-03,text,pdftotext-layout
2024-01-03,2024,City Council - Oath of Office,council-2024-01-03-oath-of-office,,raw/council_2024-01-03_1076739.pdf,pmn,https://www.utah.gov/pmn/files/1076739.pdf,https://www.utah.gov/pmn/sitemap/notice/881521.html,395,1076739,2026-07-03,text,pdftotext-layout
2024-08-13,2024,City Council - Truth in Taxation Hearing,council-2024-08-13-truth-in-taxation-hearing,,raw/council_2024-08-13_1163485.pdf,pmn,https://www.utah.gov/pmn/files/1163485.pdf,https://www.utah.gov/pmn/sitemap/notice/932021.html,395,1163485,2026-07-03,text,pdftotext-layout
2026-06-09,2026,City Council - City Council Meeting,council-2026-06-09-city-council-meeting,,raw/council_2026-06-09_1454397.pdf,pmn,https://www.utah.gov/pmn/files/1454397.pdf,https://www.utah.gov/pmn/sitemap/notice/1086843.html,395,1454397,2026-07-03,text,pdftotext-layout
2026-06-09,2026,City Council - Committee of the Whole Meeting,council-2026-06-09-committee-of-the-whole-meeting,,raw/council_2026-06-09_1454395.pdf,pmn,https://www.utah.gov/pmn/files/1454395.pdf,https://www.utah.gov/pmn/sitemap/notice/1086845.html,395,1454395,2026-07-03,text,pdftotext-layout
2021-04-06,2021,Planning Commission - Regular Meeting - electronic,pc-2021-04-06-regular-meeting-electronic,,raw/pc_2021-04-06_709875.pdf,pmn,https://www.utah.gov/pmn/files/709875.pdf,https://www.utah.gov/pmn/sitemap/notice/666167.html,396,709875,2026-07-03,text,pdftotext-layout
2021-04-20,2021,Planning Commission - Regular Meeting,pc-2021-04-20-regular-meeting,,raw/pc_2021-04-20_715167.pdf,pmn,https://www.utah.gov/pmn/files/715167.pdf,https://www.utah.gov/pmn/sitemap/notice/668711.html,396,715167,2026-07-03,text,pdftotext-layout
2021-05-04,2021,Planning Commission - Regular Meeting,pc-2021-05-04-regular-meeting,,raw/pc_2021-05-04_720157.pdf,pmn,https://www.utah.gov/pmn/files/720157.pdf,https://www.utah.gov/pmn/sitemap/notice/671697.html,396,720157,2026-07-03,text,pdftotext-layout
2021-05-18,2021,Planning Commission - Regular Meeting,pc-2021-05-18-regular-meeting,,raw/pc_2021-05-18_725415.pdf,pmn,https://www.utah.gov/pmn/files/725415.pdf,https://www.utah.gov/pmn/sitemap/notice/675053.html,396,725415,2026-07-03,text,pdftotext-layout
2021-06-01,2021,Planning Commission - Regular Meeting,pc-2021-06-01-regular-meeting,,raw/pc_2021-06-01_731401.pdf,pmn,https://www.utah.gov/pmn/files/731401.pdf,https://www.utah.gov/pmn/sitemap/notice/678767.html,396,731401,2026-07-03,text,pdftotext-layout
