primary_app_key,related_app_key,action,note
Council|s|minutes/2024/2024-09-30/2024-10-01_council-formal-meeting.md|6,Council|s|minutes/2025/2025-09-01/2025-09-02_revised-council-formal-meeting.md|5,suppress,FP: Council 900 South HTRZ ILA vs CRA Central HTRZ ILA — two different HTRZ project areas matched only on shared HTRZ/Interlocal/Reinvestment-Zone boilerplate
Council|s|minutes/2025/2025-01-06/2025-01-07_council-formal-meeting.md|3,Council|s|minutes/2026/2026-03-23/2026-03-24_revised-cra-and-council-formal-meeting.md|11,suppress,FP: two unrelated set-public-hearing-date consent-agenda items (Council 2025 Mixed-Use vs CRA 2026 budget) matched on consent-agenda wording
Redevelopment Agency|s|minutes/2022/2022-12-12/2022-12-13_redevelopment-agency-rda-meeting.md|1,PlanningCommission|s|planning_commission/minutes/2022/2022-01-10/2022-01-12_planning-commission-meeting.md|5,suppress,"FP: Council ADU Text Amendment (legislative) vs a single PC ADU Conditional Use application PLNPCM2021-01285 — topical ADU coincidence, not the same matter"
Council|s|minutes/2023/2023-02-06/2023-02-07_council-formal-meeting.md|7,PlanningCommission|s|planning_commission/minutes/2022/2022-01-10/2022-01-12_planning-commission-meeting.md|5,suppress,"FP: Council ADU Text Amendment (legislative) vs a single PC ADU Conditional Use application PLNPCM2021-01285 — topical ADU coincidence, not the same matter"
Council|s|minutes/2023/2023-11-06/2023-11-07_revised-council-formal-meeting.md|13,PlanningCommission|s|planning_commission/minutes/2023/2023-08-07/2023-08-09_planning-commission-meeting.md|2,suppress,FP: Council Subdivision Code Amendments vs PC Zoning Map/Text Amendments rec — different code amendments matched on generic amendment tokens
Council|s|minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md|17,PlanningCommission|s|planning_commission/minutes/2024/2024-04-08/2024-04-10_planning-commission-meeting.md|2,suppress,"FP: Council Design Review Standards text amendment vs a single PC Design Review approval (final action) — topical coincidence, not the same matter"
Council|princeton heights local historic district,PlanningCommission|s|planning_commission/minutes/2023/2023-07-24/2023-07-26_planning-commission-meeting.md|5,suppress,FP (T1.4 spot-check): Yalecrest-PRINCETON Heights ordinance matched the Yalecrest-LAIRD Heights PC rec — two different historic districts sharing the Yalecrest token (0.44)
Council|s|minutes/2024/2024-10-14/2024-10-15_council-formal-meeting.md|6,Community Reinvestment Agency|s|minutes/2025/2025-10-13/2025-10-14_community-reinvestment-agency-cra-meeting.md|7,suppress,FP (T1.4 spot-check): 900 South HTRZ ILA vs Salt Lake CENTRAL HTRZ ILA — the documented HTRZ/Interlocal boilerplate class (0.36)
Council|s|minutes/2025/2025-03-31/2025-04-01_council-formal-meeting.md|6,Community Reinvestment Agency|s|minutes/2026/2026-04-20/2026-04-21_lba-cra-and-council-formal-meeting.md|4,suppress,FP (T1.4 spot-check): 2025 council consent set-hearing vs 2026 CRA consent set-hearing — the documented consent-agenda-wording class (0.43)
Council|s|minutes/2025/2025-08-18/2025-08-19_council-formal-meeting.md|2,PlanningCommission|s|planning_commission/minutes/2024/2024-06-10/2024-06-12_planning-commission-meeting.md|8,suppress,FP (T1.4 spot-check): Design Review STANDARDS text amendment vs a specific project Design Review PC final action — generic design-review token (0.41)
Council|s|minutes/2025/2025-08-18/2025-08-19_council-formal-meeting.md|2,PlanningCommission|s|planning_commission/minutes/2024/2024-09-09/2024-09-11_planning-commission-meeting.md|7,suppress,FP (T1.4 spot-check): same class as 340/833 — Design Review STANDARDS text amendment vs another specific-project design review (0.41)
