date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,content_length_bytes,size_mb,stored_locally
2026-07-08,PC Packet 7-8-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%207-8-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,29699957,29.7,no
2026-06-24,PC Packet 6-24-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%206-24-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,1117905,1.12,no
2026-06-10,PC Packet 6-10-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%206-10-2026.pdf,2026-07-13,na,not_retrieved (dead link — city page 404s as-published),,,,no
2026-05-13,PC Packet 5-13-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%205-13-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,29643134,29.64,no
2026-04-22,PC Packet 4-22-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%204-22-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,27515996,27.52,no
2026-03-25,PC Packet - 3-25-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%20-%203-25-2026.pdf,2026-07-13,na,not_retrieved (dead link — city page 404s as-published),,,,no
2026-03-11,PC Packet 3-11-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%203-11-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,6129844,6.13,no
2026-02-11,PC Packet 2-11-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/Packets/PC%20Packet%202-11-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,3049322,3.05,no
2026-01-28,PC Packet 1-28-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/PC%20Packet%201-28-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,3340757,3.34,no
2026-01-14,PC Packet 1-14-2026,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2026/PC%20Packet%201-14-2026.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,3647389,3.65,no
2025-12-10,PC Packet 12-10-2025,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%2012-10-2025.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,42255501,42.26,no
2025-11-12,PC Packet 11-12-2025,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%2011-12-2025.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,16968802,16.97,no
2025-10-22,PC Packet 10-22-2025 Amended,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%2010-22-2025%20Amended.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,41333739,41.33,no
2025-10-08,PC Packet - 10-8-2025,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%20-%2010-8-2025.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,6547700,6.55,no
2025-09-24,PC Packet 9-24-2025,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%209-24-2025.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,1191620,1.19,no
2025-09-10,PC Packet 9-10-2025,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%209-10-2025.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,61193831,61.19,no
2025-08-27,PC Packet 8-27-2025,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%208-27-2025.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,1218692,1.22,no
2025-08-13,PC Packet 8-13-2025,PC,regular,full_packet,https://www.midvale.utah.gov/Document%20Center/Agendas%20%26%20Minutes/Planning%20%26%20Zoning%20Commission/2025/Packets/PC%20Packet%208-13-2025.pdf,2026-07-13,na,not_retrieved (index-only; fetch source_url on demand),,12713083,12.71,no
