date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,bytes,clip_id,delivery,doc_class,fetch_status,sha256,text_path,text_chars
2024-01-04,Planning Commission Work Session - Agenda,PlanningCommission,,agenda,https://lehi.granicus.com/AgendaViewer.php?view_id=1&clip_id=601,2026-07-02,text,none (raw retained),raw/2024-01-04/agenda_clip601.pdf,49660,601,s3,,,,,
2024-01-04,BY-LAWS2023,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2349945/BY-LAWS2023.pdf,2026-07-02,text,none (raw retained),raw/2024-01-04/2349945_BY-LAWS2023.pdf,24045,601,s3,,,,,
2024-01-04,plngmtgs2024,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2350057/plngmtgs2024.pdf,2026-07-02,text,none (raw retained),raw/2024-01-04/2350057_plngmtgs2024.pdf,5231,601,s3,,,,,
2024-01-09,City Council - Agenda,Council,,agenda,https://lehi.granicus.com/AgendaViewer.php?view_id=1&clip_id=603,2026-07-02,text,none (raw retained),raw/2024-01-09/agenda_clip603.pdf,206121,603,documentviewer,,,,,
2024-01-11,Planning Commission - Agenda,PlanningCommission,,agenda,https://lehi.granicus.com/AgendaViewer.php?view_id=1&clip_id=604,2026-07-02,text,none (raw retained),raw/2024-01-11/agenda_clip604.pdf,55206,604,s3,,,,,
2024-01-11,JMR_1,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368612/JMR_1.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368612_JMR_1.pdf,229608,604,s3,staff_report,ok,a319c89e5b3c132afca767ed32c400f8b2ccafdb62977216c6fcaec708f20e8d,text/2368612_JMR_1.txt,9626
2024-01-11,Newbold_1,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368620/Newbold_1.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368620_Newbold_1.pdf,471261,604,s3,staff_report,ok,11233ca8018c58c2936a0b158961c30b4d7faf04f0a88ef4c2ce7c01ea3edcff,text/2368620_Newbold_1.txt,7651
2024-01-11,Newbold_2,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368621/Newbold_2.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368621_Newbold_2.pdf,3006021,604,s3,,,,,
2024-01-11,Clark_1,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368624/Clark_1.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368624_Clark_1.pdf,249989,604,s3,staff_report,ok,4aa2b38e418dfab04180610afb543c759b2779160b30c8763990c5596fc47d07,text/2368624_Clark_1.txt,11006
2024-01-11,Clark_2,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368626/Clark_2.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368626_Clark_2.pdf,3575199,604,s3,,,,,
2024-01-11,Dev_Code_Off_Street_Parking,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368628/Dev_Code_Off_Street_Parking.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368628_Dev_Code_Off_Street_Parking.pdf,289016,604,s3,staff_report,ok,fb376cb223d4df7fcb3ede9d97634d79fedefd2bb6f3525474ea86bbc9e8627d,text/2368628_Dev_Code_Off_Street_Parking.txt,9929
2024-01-11,Dev_Code_35,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368631/Dev_Code_35.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368631_Dev_Code_35.pdf,455367,604,s3,staff_report,ok,2fcc8b3b7af01fed0d8574dacce9c4bc664948f2a2ef9aafb3f9f097e1d8dae4,text/2368631_Dev_Code_35.txt,66687
2024-01-11,Dev_Code_20___39,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368644/Dev_Code_20___39.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368644_Dev_Code_20___39.pdf,451283,604,s3,staff_report,ok,1d8df555198f0fc616ad40a992448ff6e62832916eabcc1eec74b42c03b489ff,text/2368644_Dev_Code_20___39.txt,31588
2024-01-11,Dev_Code_subdivisions,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2368725/Dev_Code_subdivisions.pdf,2026-07-02,text,none (raw retained),raw/2024-01-11/2368725_Dev_Code_subdivisions.pdf,929776,604,s3,staff_report,ok,4c05ea9a5bed15b4c46f039b3a6b707e8faaec55ff89f9e3a85075db0c157c66,text/2368725_Dev_Code_subdivisions.txt,157503
2024-01-23,City Council - Agenda,Council,,agenda,https://lehi.granicus.com/AgendaViewer.php?view_id=1&clip_id=605,2026-07-02,text,none (raw retained),raw/2024-01-23/agenda_clip605.pdf,202451,605,documentviewer,,,,,
2024-01-25,Planning Commission Meeting - Agenda,PlanningCommission,,agenda,https://lehi.granicus.com/AgendaViewer.php?view_id=1&clip_id=608,2026-07-02,text,none (raw retained),raw/2024-01-25/agenda_clip608.pdf,52547,608,s3,,,,,
2024-01-25,pz12.14.2023,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2396055/pz12.14.2023.pdf,2026-07-02,text,none (raw retained),raw/2024-01-25/2396055_pz12.14.2023.pdf,75481,608,s3,,,,,
2024-01-25,BY-LAWS2024_Draft,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2396064/BY-LAWS2024_Draft.pdf,2026-07-02,text,none (raw retained),raw/2024-01-25/2396064_BY-LAWS2024_Draft.pdf,44717,608,s3,,,,,
2024-01-25,Willow_Park_Church_ZC_1,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2396974/Willow_Park_Church_ZC_1.pdf,2026-07-02,text,none (raw retained),raw/2024-01-25/2396974_Willow_Park_Church_ZC_1.pdf,477045,608,s3,staff_report,ok,7f6c81f5581b14b2173f21b575fb611bcf45f07a51fec24c09cd3a9f186caf2e,text/2396974_Willow_Park_Church_ZC_1.txt,10812
2024-01-25,Willow_Park_Church_1,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2396979/Willow_Park_Church_1.pdf,2026-07-02,text,none (raw retained),raw/2024-01-25/2396979_Willow_Park_Church_1.pdf,309468,608,s3,staff_report,ok,6793d7d6767390f4b3f4241a8ad6bb63e4df1357bcd450f6fec6cc185f8f5468,text/2396979_Willow_Park_Church_1.txt,18637
2024-02-01,Planning Commission Work Session - Agenda,PlanningCommission,,agenda,https://lehi.granicus.com/AgendaViewer.php?view_id=1&clip_id=609,2026-07-02,text,none (raw retained),raw/2024-02-01/agenda_clip609.pdf,48052,609,s3,,,,,
2024-02-08,Planning Commission Meeting - Agenda,PlanningCommission,,agenda,https://lehi.granicus.com/AgendaViewer.php?view_id=1&clip_id=610,2026-07-02,text,none (raw retained),raw/2024-02-08/agenda_clip610.pdf,50816,610,s3,,,,,
2024-02-08,Sylvester_1,PlanningCommission,,staff_report,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/2419820/Sylvester_1.pdf,2026-07-02,text,none (raw retained),raw/2024-02-08/2419820_Sylvester_1.pdf,633531,610,s3,staff_report,ok,a1cbbf6537a05e6d9dcc21ee41974f2787ffd39e01b5b85ed4434a7b490c35e2,text/2419820_Sylvester_1.txt,17707
