date,year,body,title,reason,source_url
2017-01-12,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/369001.html
2017-02-09,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/374999.html
2017-03-09,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/379917.html
2017-04-13,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/387111.html
2017-05-11,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/392769.html
2017-05-16,2017,PlanningCommission,Magna Metro Township Council,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/391913.html
2017-05-24,2017,PlanningCommission,Magna Metro Township Planning Commission Special Working Mee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/396549.html
2017-06-08,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/397929.html
2017-07-13,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/404391.html
2017-07-18,2017,PlanningCommission,Magna Metro Township Council,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/404395.html
2017-08-01,2017,PlanningCommission,Magna Metro Township Council,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/409185.html
2017-08-10,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/409615.html
2017-08-24,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/412619.html
2017-09-14,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/415235.html
2017-09-28,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/419719.html
2017-10-12,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/421161.html
2017-10-16,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/420669.html
2017-10-26,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/423649.html
2017-11-02,2017,PlanningCommission,Magna Metro Townships General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/426545.html
2017-11-07,2017,PlanningCommission,Magna Metro Township Council,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/423653.html
2017-11-09,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/426523.html
2017-11-20,2017,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/430075.html
2017-12-07,2017,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/433349.html
2017-12-14,2017,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/431841.html
2018-01-01,2018,PlanningCommission,2018 Annual Notice,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/439133.html
2018-01-11,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/438365.html
2018-01-13,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/438729.html
2018-01-16,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/440781.html
2018-01-30,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee Meeting,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/443349.html
2018-02-06,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/444783.html
2018-02-08,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/442957.html
2018-02-20,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee Meeting,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/446891.html
2018-02-22,2018,PlanningCommission,Magna Metro Township Planning Commission Meeting,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/447699.html
2018-03-06,2018,PlanningCommission,Magna Metro Township General Plan Steering Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/450809.html
2018-03-08,2018,PlanningCommission,Magna Metro Township Planning Commission Meeting,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/449431.html
2018-03-20,2018,PlanningCommission,Magna Metro Township General Plan Steerning Committee,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/453663.html
2018-04-12,2018,PlanningCommission,Magna Metro Township Planning Commission,PMN posts agenda/audio for this PC meeting but no minutes document (minutes not published for 2017-2018),https://www.utah.gov/pmn/sitemap/notice/455341.html
