date,year,title,body,slug,path,source,source_url,format
2019-03-14,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-03-14_planningcommission_485665.md,pmn,https://www.utah.gov/pmn/files/485665.pdf,pdf-text
2019-04-11,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-04-11_planningcommission_495125.md,pmn,https://www.utah.gov/pmn/files/495125.pdf,pdf-text
2019-06-13,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-06-13_planningcommission_519327.md,pmn,https://www.utah.gov/pmn/files/519327.pdf,pdf-text
2019-06-20,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-06-20_planningcommission_519329.md,pmn,https://www.utah.gov/pmn/files/519329.pdf,pdf-text
2019-07-11,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-07-11_planningcommission_519323.md,pmn,https://www.utah.gov/pmn/files/519323.pdf,pdf-text
2019-08-08,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-08-08_planningcommission_537361.md,pmn,https://www.utah.gov/pmn/files/537361.pdf,pdf-text
2019-09-26,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-09-26_planningcommission_540099.md,pmn,https://www.utah.gov/pmn/files/540099.pdf,pdf-text
2019-10-10,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-10-10_planningcommission_549823.md,pmn,https://www.utah.gov/pmn/files/549823.pdf,pdf-text
2019-10-24,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-10-24_planningcommission_549825.md,pmn,https://www.utah.gov/pmn/files/549825.pdf,pdf-text
2019-11-14,2019,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2019/2019-11-14_planningcommission_564619.md,pmn,https://www.utah.gov/pmn/files/564619.pdf,pdf-text
2020-01-09,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-01-09_planningcommission_575809.md,pmn,https://www.utah.gov/pmn/files/575809.pdf,pdf-text
2020-02-13,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-02-13_planningcommission_585449.md,pmn,https://www.utah.gov/pmn/files/585449.pdf,pdf-text
2020-03-12,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-03-12_planningcommission_591665.md,pmn,https://www.utah.gov/pmn/files/591665.pdf,pdf-text
2020-04-09,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-04-09_planningcommission_601743.md,pmn,https://www.utah.gov/pmn/files/601743.pdf,pdf-text
2020-05-14,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-05-14_planningcommission_610199.md,pmn,https://www.utah.gov/pmn/files/610199.pdf,pdf-text
2020-06-11,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-06-11_planningcommission_619443.md,pmn,https://www.utah.gov/pmn/files/619443.pdf,pdf-text
2020-06-29,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-06-29_planningcommission_619441.md,pmn,https://www.utah.gov/pmn/files/619441.pdf,pdf-text
2020-07-09,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-07-09_planningcommission_637551.md,pmn,https://www.utah.gov/pmn/files/637551.pdf,pdf-text
2020-09-10,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-09-10_planningcommission_646475.md,pmn,https://www.utah.gov/pmn/files/646475.pdf,pdf-text
2020-10-08,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-10-08_planningcommission_660151.md,pmn,https://www.utah.gov/pmn/files/660151.pdf,pdf-text
2020-11-18,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-11-18_planningcommission_666861.md,pmn,https://www.utah.gov/pmn/files/666861.pdf,pdf-text
2020-12-10,2020,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2020/2020-12-10_planningcommission_676089.md,pmn,https://www.utah.gov/pmn/files/676089.pdf,pdf-text
2021-01-14,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-01-14_planningcommission_686187.md,pmn,https://www.utah.gov/pmn/files/686187.pdf,pdf-text
2021-02-11,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-02-11_planningcommission_696115.md,pmn,https://www.utah.gov/pmn/files/696115.pdf,pdf-text
2021-03-11,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-03-11_planningcommission_706101.md,pmn,https://www.utah.gov/pmn/files/706101.pdf,pdf-text
2021-04-08,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-04-08_planningcommission_718505.md,pmn,https://www.utah.gov/pmn/files/718505.pdf,pdf-text
2021-04-29,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-04-29_planningcommission_718507.md,pmn,https://www.utah.gov/pmn/files/718507.pdf,pdf-text
2021-05-13,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-05-13_planningcommission_729013.md,pmn,https://www.utah.gov/pmn/files/729013.pdf,pdf-text
2021-06-10,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-06-10_planningcommission_738377.md,pmn,https://www.utah.gov/pmn/files/738377.pdf,pdf-text
2021-07-08,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-07-08_planningcommission_748827.md,pmn,https://www.utah.gov/pmn/files/748827.pdf,pdf-text
2021-08-12,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-08-12_planningcommission_758207.md,pmn,https://www.utah.gov/pmn/files/758207.pdf,pdf-text
2021-09-09,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-09-09_planningcommission_771045.md,pmn,https://www.utah.gov/pmn/files/771045.pdf,pdf-text
2021-10-14,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-10-14_planningcommission_785013.md,pmn,https://www.utah.gov/pmn/files/785013.pdf,pdf-text
2021-11-18,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-11-18_planningcommission_791511.md,pmn,https://www.utah.gov/pmn/files/791511.pdf,pdf-text
2021-12-09,2021,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2021/2021-12-09_planningcommission_804749.md,pmn,https://www.utah.gov/pmn/files/804749.pdf,pdf-text
2022-01-13,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-01-13_planningcommission_813185.md,pmn,https://www.utah.gov/pmn/files/813185.pdf,pdf-text
2022-02-10,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-02-10_planningcommission_824511.md,pmn,https://www.utah.gov/pmn/files/824511.pdf,pdf-text
2022-03-10,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-03-10_planningcommission_848765.md,pmn,https://www.utah.gov/pmn/files/848765.pdf,pdf-text
2022-04-14,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-04-14_planningcommission_848767.md,pmn,https://www.utah.gov/pmn/files/848767.pdf,pdf-text
2022-05-12,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-05-12_planningcommission_858505.md,pmn,https://www.utah.gov/pmn/files/858505.pdf,pdf-text
2022-06-09,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-06-09_planningcommission_879754.md,pmn,https://www.utah.gov/pmn/files/879754.pdf,pdf-text
2022-06-22,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-06-22_planningcommission_879756.md,pmn,https://www.utah.gov/pmn/files/879756.pdf,pdf-text
2022-07-14,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-07-14_planningcommission_879760.md,pmn,https://www.utah.gov/pmn/files/879760.pdf,pdf-text
2022-08-11,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-08-11_planningcommission_888673.md,pmn,https://www.utah.gov/pmn/files/888673.pdf,pdf-text
2022-09-08,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-09-08_planningcommission_901411.md,pmn,https://www.utah.gov/pmn/files/901411.pdf,pdf-text
2022-10-13,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-10-13_planningcommission_911953.md,pmn,https://www.utah.gov/pmn/files/911953.pdf,pdf-text
2022-11-10,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-11-10_planningcommission_921421.md,pmn,https://www.utah.gov/pmn/files/921421.pdf,pdf-text
2022-12-08,2022,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2022/2022-12-08_planningcommission_932467.md,pmn,https://www.utah.gov/pmn/files/932467.pdf,pdf-text
2023-01-12,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-01-12_planningcommission_942209.md,pmn,https://www.utah.gov/pmn/files/942209.pdf,pdf-text
2023-02-09,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-02-09_planningcommission_953470.md,pmn,https://www.utah.gov/pmn/files/953470.pdf,pdf-text
2023-03-09,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-03-09_planningcommission_966294.md,pmn,https://www.utah.gov/pmn/files/966294.pdf,pdf-text
2023-03-16,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-03-16_planningcommission_966296.md,pmn,https://www.utah.gov/pmn/files/966296.pdf,pdf-text
2023-04-13,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-04-13_planningcommission_977417.md,pmn,https://www.utah.gov/pmn/files/977417.pdf,pdf-text
2023-05-11,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-05-11_planningcommission_987577.md,pmn,https://www.utah.gov/pmn/files/987577.pdf,pdf-text
2023-06-08,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-06-08_planningcommission_999592.md,pmn,https://www.utah.gov/pmn/files/999592.pdf,pdf-text
2023-07-13,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-07-13_planningcommission_1010401.md,pmn,https://www.utah.gov/pmn/files/1010401.pdf,pdf-text
2023-09-14,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-09-14_planningcommission_1034091.md,pmn,https://www.utah.gov/pmn/files/1034091.pdf,pdf-text
2023-11-09,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-11-09_planningcommission_1061747.md,pmn,https://www.utah.gov/pmn/files/1061747.pdf,pdf-text
2023-12-14,2023,Magna Planning Commission Meeting,PlanningCommission,planningcommission-regular,minutes/2023/2023-12-14_planningcommission_1070019.md,pmn,https://www.utah.gov/pmn/files/1070019.pdf,pdf-text
