name,role,first_seen,last_seen,meetings_present
Richards,Commissioner,2019-03-14,2026-03-12,76
Cripps,Commissioner,2019-04-11,2026-06-11,72
Weight,Commissioner,2019-04-11,2026-06-11,59
Elieson,Commissioner,2019-03-14,2023-08-10,46
VanRoosendaal,Commissioner,2021-02-11,2024-08-08,35
Taylor,Commissioner,2021-05-13,2026-03-12,22
Collard,Commissioner,2019-03-14,2020-10-08,15
Lockwood,Commissioner,2019-03-14,2022-10-13,13
Sudbury,Commissioner,2019-03-14,2020-02-13,8
Alder,Commissioner,2022-05-12,2022-12-08,2
Everett,Commissioner,2021-05-13,2022-01-13,2
White,Commissioner,2026-04-09,2026-06-11,2
Larson,Commissioner,2026-04-09,2026-06-11,2
Shaw,Commissioner,2026-04-09,2026-04-09,1
