year,election_type,office,district,contest,precinct,candidate,votes
2021,municipal general,Council,At-Large,Orem City Council,OR01,LANAE MILLETT,338
2021,municipal general,Council,At-Large,Orem City Council,OR01,DAVID M. SPENCER,282
2021,municipal general,Council,At-Large,Orem City Council,OR01,TOM MACDONALD,188
2021,municipal general,Council,At-Large,Orem City Council,OR01,QUINN MECHAM,148
2021,municipal general,Council,At-Large,Orem City Council,OR01,SHAUNTE RUIZ ZUNDEL,125
2021,municipal general,Council,At-Large,Orem City Council,OR02,LANAE MILLETT,136
2021,municipal general,Council,At-Large,Orem City Council,OR02,DAVID M. SPENCER,121
2021,municipal general,Council,At-Large,Orem City Council,OR02,TOM MACDONALD,99
2021,municipal general,Council,At-Large,Orem City Council,OR02,SHAUNTE RUIZ ZUNDEL,72
2021,municipal general,Council,At-Large,Orem City Council,OR02,QUINN MECHAM,67
2021,municipal general,Council,At-Large,Orem City Council,OR03,DAVID M. SPENCER,332
2021,municipal general,Council,At-Large,Orem City Council,OR03,LANAE MILLETT,321
2021,municipal general,Council,At-Large,Orem City Council,OR03,TOM MACDONALD,205
2021,municipal general,Council,At-Large,Orem City Council,OR03,QUINN MECHAM,131
2021,municipal general,Council,At-Large,Orem City Council,OR03,SHAUNTE RUIZ ZUNDEL,95
2021,municipal general,Council,At-Large,Orem City Council,OR04,LANAE MILLETT,164
2021,municipal general,Council,At-Large,Orem City Council,OR04,DAVID M. SPENCER,143
2021,municipal general,Council,At-Large,Orem City Council,OR04,TOM MACDONALD,120
2021,municipal general,Council,At-Large,Orem City Council,OR04,QUINN MECHAM,109
2021,municipal general,Council,At-Large,Orem City Council,OR04,SHAUNTE RUIZ ZUNDEL,105
2021,municipal general,Council,At-Large,Orem City Council,OR05,LANAE MILLETT,490
2021,municipal general,Council,At-Large,Orem City Council,OR05,DAVID M. SPENCER,449
2021,municipal general,Council,At-Large,Orem City Council,OR05,TOM MACDONALD,317
2021,municipal general,Council,At-Large,Orem City Council,OR05,QUINN MECHAM,257
2021,municipal general,Council,At-Large,Orem City Council,OR05,SHAUNTE RUIZ ZUNDEL,181
2021,municipal general,Council,At-Large,Orem City Council,OR06,LANAE MILLETT,225
2021,municipal general,Council,At-Large,Orem City Council,OR06,DAVID M. SPENCER,203
2021,municipal general,Council,At-Large,Orem City Council,OR06,TOM MACDONALD,170
2021,municipal general,Council,At-Large,Orem City Council,OR06,QUINN MECHAM,125
2021,municipal general,Council,At-Large,Orem City Council,OR06,SHAUNTE RUIZ ZUNDEL,118
2021,municipal general,Council,At-Large,Orem City Council,OR07,LANAE MILLETT,289
