year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal general,Council,At-Large,Orem City Council,,,6,,40512,,TERRY D PETERSON,9858,24.33,SAM LENTZ,6728,12,0.03,,,,,,,
2019,municipal primary,Council,At-Large,Orem City Council,,,11,,28819,,TERRY D PETERSON,6176,21.43,DAVID G PRZYBYLA,1370,716,2.48,,,,,,,
2021,municipal general,Mayor,,Orem Mayor,,,2,,16335,,DAVID A. YOUNG,9647,59.06,JIM EVANS,6688,2959,18.11,,,,,,,
2021,municipal general,Council,At-Large,Orem City Council,,,5,,40793,,LANAE MILLETT,11482,28.15,QUINN MECHAM,5908,1764,4.32,,,,,,,
2021,municipal primary,Mayor,,Orem Mayor,,,4,,12945,,JIM EVANS,5215,40.29,HAYSAM Z. SAKAR,3466,656,5.07,,,,,,,
2021,municipal primary,Council,At-Large,Orem City Council,,,10,,35864,,LANAE MILLETT,7352,20.5,MIKE CARPENTER,1969,1173,3.27,,,,,,,
2023,municipal general,Council,At-Large,Orem City Council,,,6,,47372,,JEFFREY K. LAMBSON,9098,19.21,CRYSTAL MUHLESTEIN,7994,463,0.98,,,,,,,
2023,municipal primary,Council,At-Large,Orem City Council,,,12,,36845,,JEFFREY K. LAMBSON,7056,19.15,MIKE CARPENTER,1701,1872,5.08,,,,,,,
2025,municipal general,Mayor,,Orem Mayor,,,2,,18630,,KAREN MCCANDLESS,9574,51.39,DAVE YOUNG,9056,518,2.78,,,,,,,
2025,municipal general,Council,At-Large,Orem City Council,,,7,,53822,,QUINN MECHAM,9474,17.6,DAVID M. SPENCER,8789,288,0.54,,,,,,,
2025,municipal primary,Council,At-Large,Orem City Council,,,10,,37058,,QUINN MECHAM,6325,17.07,STEVEN WHITE,1706,3296,8.89,,,,,,,
