date,body,title,event_id,video_url,video_id,portal_url,caption_type,minutes_match
2023-09-27,Planning Commission,Planning Commission Meeting,147,https://cpmedia.azureedge.net/parkcityut/b9bfa41b1c.mp4,b9bfa41b1c,https://parkcityut.portal.civicclerk.com/event/147/overview,none,false
2023-10-05,City Council,City Council Meeting,15,https://cpmedia.azureedge.net/parkcityut/a920da1cc5.mp4,a920da1cc5,https://parkcityut.portal.civicclerk.com/event/15/overview,none,true
2023-10-11,Planning Commission,Planning Commission Meeting,83,https://cpmedia.azureedge.net/parkcityut/633782014b.mp4,633782014b,https://parkcityut.portal.civicclerk.com/event/83/overview,none,false
2023-10-25,Planning Commission,Planning Commission Meeting,149,https://cpmedia.azureedge.net/parkcityut/e5af61da6b.mp4,e5af61da6b,https://parkcityut.portal.civicclerk.com/event/149/overview,none,false
2023-10-26,City Council,City Council Meeting,18,https://cpmedia.azureedge.net/parkcityut/f918d3552c.mp4,f918d3552c,https://parkcityut.portal.civicclerk.com/event/18/overview,none,true
2023-11-01,Historic Preservation Board,Historic Preservation Board Meeting,151,https://cpmedia.azureedge.net/parkcityut/73c0298e3f.mp4,73c0298e3f,https://parkcityut.portal.civicclerk.com/event/151/overview,none,false
2023-11-02,City Council,City Council Meeting,19,https://cpmedia.azureedge.net/parkcityut/30feeb06a8.mp4,30feeb06a8,https://parkcityut.portal.civicclerk.com/event/19/overview,none,true
2023-11-07,Board of Adjustment,Board of Adjustment Meeting,216,https://cpmedia.azureedge.net/parkcityut/2a25068411.mp4,2a25068411,https://parkcityut.portal.civicclerk.com/event/216/overview,none,false
2023-11-08,Planning Commission,Planning Commission Meeting,58,https://cpmedia.azureedge.net/parkcityut/3be2f1c23a.mp4,3be2f1c23a,https://parkcityut.portal.civicclerk.com/event/58/overview,none,false
2023-11-14,City Council,Joint Park City and Summit County Council Meeting,275,https://cpmedia.azureedge.net/parkcityut/a529a495ea.mp4,a529a495ea,https://parkcityut.portal.civicclerk.com/event/275/overview,none,true
2023-11-30,City Council,City Council Meeting,23,https://cpmedia.azureedge.net/parkcityut/eedf4ac49c.mp4,eedf4ac49c,https://parkcityut.portal.civicclerk.com/event/23/overview,none,true
2023-12-05,City Council,City Council Meeting and General Election Canvass,24,https://cpmedia.azureedge.net/parkcityut/67d488a9d9.mp4,67d488a9d9,https://parkcityut.portal.civicclerk.com/event/24/overview,none,true
2023-12-06,Historic Preservation Board,Historic Preservation Board Meeting,152,https://cpmedia.azureedge.net/parkcityut/5ba7edc4b3.mp4,5ba7edc4b3,https://parkcityut.portal.civicclerk.com/event/152/overview,none,false
