ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,n_motion_events,independent_source,minutes_source,linkage_note
2019-54,2020-04-28,2020-04-28,"A corrected ordinance of Ogden City, Utah vacating a portion of Center Avenue between about 1619 South and 17 th Street; retaining ownership of the property within the vacated portion of said street; reserving a right- of-way for all utilities that may now exist in said portion of such street or may be required in the future; authorizing the Mayor to hold the vacated portion for sale; directing the City Recorder to record this ordinance in the office of the County Recorder; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-04-27/2020-04-28_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2020-04-28,12,within_source,2,,meeting_minutes/minutes/2020/2020-04-27/2020-04-28_city-council-meeting-2.md,"number cited in passing motions on multiple dates: 2020-01-07, 2020-04-28; chose 2020-04-28"
2019-55,2020-01-07,2020-01-07,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of $812,975 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $812,975 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,Voice Pass,2020-01-07,7,within_source,1,,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,
2020-01,2020-01-21,2020-01-21,"An ordinance of Ogden City, Utah, designating the Stone/Brown/James home. Located at 159 West2nd Street, as a historic resource; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,4-0 Pass,2020-01-21,7,within_source,1,,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,
2020-02,2020-01-07,2020-01-07,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-25-4 to increase building roofline options and establish building lengths for buildings in the 12th Street Overlay Zone; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2020-01-07,10,within_source,1,,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,
2020-03,2020-02-04,2020-02-04,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2019 to June 30, 2020 by increasing the anticipated revenues for a gross increase of$5,636,250 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$5,636,250 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-02-04,4,within_source,1,,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting-2.md,
2020-04,2020-02-11,2020-02-11,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 4-lC-8.C to revise the minimum criteria for arts grant funding; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2020-02-11,2,within_source,1,,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-special-meeting.md,
2020-05,2020-02-04,2020-02-04,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Central Business District (CBD) prope1ty heretofore classified as Manufacturing and Industrial Zone (M-2), generally located at 133 West Binford Avenue and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-1 Pass,2020-02-04,5,within_source,1,,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_city-council-meeting-2.md,
2020-06,2020-02-18,2020-02-18,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as multiple family residential zone (R-3) property heretofore classified as single family residential zone (R-1-6), generally located at 206 13 th Street, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,4-0 Pass,2020-02-18,5,within_source,1,,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting-2.md,
2020-07,2020-02-18,2020-02-18,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as multiple family residential zone (R-4) property heretofore classified as community commercial zone (C-2), generally located at 117 Doxey Street, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,4-0 Pass,2020-02-18,6,within_source,1,,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council-meeting-2.md,
2020-08,2020-03-10,2020-03-10,An ordinance of Ogden City. amending the FY 2020-2024 Capital Improvement Plan by adding project AR093 for Northeast Fire Flow Improvements at the Ogden Hinckley Airport; and providing that this ordinance shall become effective immediately upon posting after final passage.,meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-2 Pass,2020-03-10,3,within_source,1,,meeting_minutes/minutes/2020/2020-03-09/2020-03-10_city-council-special-meeting.md,
