date,body,motion_no,motion,result,mover,seconder,names_recorded
2025-01-21,PlanningCommission,1,"Motion to approve the minutes of the December 17, 2024, meeting of the Utah County Planning Commission.","The motion passed with the following vote: ""Aye"" Glen Roberts, Shayne Pierce, Lorraine Davis, Sullivan Love, Robert McMullin, Chris Herrod. ""Nay"" none.",Robert McMullin,Sullivan Love,true
2025-01-21,PlanningCommission,2,Motion to move discussion about items E1 with D1.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson, Sullivan Love. ""Nay"" none.",Chris Herrod,Karen Ellingson,true
2025-01-21,PlanningCommission,3,Motion to open the public hearing.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson. ""Nay"" none.",Karen Ellingson,Glen Roberts,true
2025-01-21,PlanningCommission,4,Motion to continue to February 18th meeting.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson. ""Nay"" none.",Chris Herrod,Robert McMullin,true
2025-01-21,PlanningCommission,5,"Motion to continue until February 18, 2025.","The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson. ""Nay"" none.",Robert McMullin,Chris Herrod,true
2025-01-21,PlanningCommission,6,"Motion to approve the amendment, including the staff findings and the following modifications: In Section 4.44.A.8.H add the phrase ""or private road crossing agreement"" after ""permanent, perpetual easement,"" delete ""is reinstated"" and replace with ""or a new private road crossing agreement is approved by the zoning administrator or its equivalent,"" and delete the word ""official"" so the phrase reads ""In the form utilized by the governmental entity or railroad""; and in Section 4.44.A.8.D modify the language to state ""The easement, private road crossing agreement, or its equivalent shall be approved by the zoning administrator.""","The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Sullivan Love, Robert McMullin, Karen Ellingson. ""Nay"" none.",Glen Roberts,Sullivan Love,true
2025-01-21,PlanningCommission,7,Motion to continue to the February 18th meeting.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson, Sullivan Love. ""Nay"" none.",Chris Herrod,Robert McMullin,true
2025-01-21,PlanningCommission,8,Motion to approve the amendment.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson, Sullivan Love. ""Nay"" none.",Glen Roberts,Karen Ellingson,true
2025-01-21,PlanningCommission,9,Motion to close the public hearing.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson, Sullivan Love. ""Nay"" none.",Karen Ellingson,Sullivan Love,true
2025-01-21,PlanningCommission,10,Motion to nominate Shayne Pierce as the chair.,"The motion passed with the following vote: ""Aye"" Glen Roberts, Chris Herrod, Shayne Pierce, Lorraine Davis, Robert McMullin, Karen Ellingson, Sullivan Love. ""Nay"" none.",Robert McMullin,Lorraine Davis,true
