date,body,md_path,source_url,minutes_status,agenda_url,cms_minutes_file,note
2015-01-07,Planning Commission,,,Cancelled,,,cancelled meeting (PMN cancellation notice)
2015-01-30,Planning Commission,,https://www.utah.gov/pmn/files/138849.pdf,no_minutes,https://www.utah.gov/pmn/files/138849.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-02-06,Planning Commission,,https://www.utah.gov/pmn/files/140175.pdf,no_minutes,https://www.utah.gov/pmn/files/140175.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-03-06,Planning Commission,,https://www.utah.gov/pmn/files/145613.pdf,no_minutes,https://www.utah.gov/pmn/files/145613.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-04-08,Planning Commission,,https://www.utah.gov/pmn/files/151175.pdf,no_minutes,https://www.utah.gov/pmn/files/151175.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-05-08,Planning Commission,,https://www.utah.gov/pmn/files/156325.pdf,no_minutes,https://www.utah.gov/pmn/files/156325.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-06-16,Planning Commission,,https://www.utah.gov/pmn/files/161525.pdf,no_minutes,https://www.utah.gov/pmn/files/161525.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-07-21,Planning Commission,,https://www.utah.gov/pmn/files/167755.pdf,no_minutes,https://www.utah.gov/pmn/files/167755.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-08-18,Planning Commission,,https://www.utah.gov/pmn/files/172487.pdf,no_minutes,https://www.utah.gov/pmn/files/172487.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-09-15,Planning Commission,,https://www.utah.gov/pmn/files/177161.pdf,no_minutes,https://www.utah.gov/pmn/files/177161.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-10-20,Planning Commission,,https://www.utah.gov/pmn/files/184063.pdf,no_minutes,https://www.utah.gov/pmn/files/184063.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-11-05,Planning Commission,,https://www.utah.gov/pmn/files/188767.pdf,no_minutes,https://www.utah.gov/pmn/files/188767.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2015-12-15,Planning Commission,,https://www.utah.gov/pmn/files/194203.pdf,no_minutes,https://www.utah.gov/pmn/files/194203.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2016-01-19,Planning Commission,,https://www.utah.gov/pmn/files/199697.pdf,no_minutes,https://www.utah.gov/pmn/files/199697.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2016-02-16,Planning Commission,,https://www.utah.gov/pmn/files/205225.pdf,no_minutes,https://www.utah.gov/pmn/files/205225.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2016-03-15,Planning Commission,,https://www.utah.gov/pmn/files/210233.pdf,no_minutes,https://www.utah.gov/pmn/files/210233.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2016-04-19,Planning Commission,,https://www.utah.gov/pmn/files/216465.pdf,no_minutes,https://www.utah.gov/pmn/files/216465.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
2016-05-17,Planning Commission,,https://www.utah.gov/pmn/files/222845.pdf,no_minutes,https://www.utah.gov/pmn/files/222845.pdf,,"PMN agenda only; pre-CMS era, minutes not published to any reachable channel"
