year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2019,municipal general,Council,1,Provo City Council District 1,BILL FILLMORE,3890,100.0,1,True
2019,municipal general,Council,3,Provo City Council District 3,SHANNON ELLSWORTH,1697,64.77,1,True
2019,municipal general,Council,3,Provo City Council District 3,ROBIN ROBERTS,923,35.23,2,False
2019,municipal general,Council,4,Provo City Council District 4,TRAVIS HOBAN,2625,56.11,1,True
2019,municipal general,Council,4,Provo City Council District 4,VALERIE PAXMAN,2053,43.89,2,False
2019,municipal general,Council,Citywide II,Provo City Council Citywide II,DAVID SHIPLEY,8235,55.56,1,True
2019,municipal general,Council,Citywide II,Provo City Council Citywide II,JANAE MOSS,6586,44.44,2,False
2019,municipal primary,Council,3,Provo City Council District 3,SHANNON ELLSWORTH,862,53.44,1,True
2019,municipal primary,Council,3,Provo City Council District 3,ROBIN ROBERTS,460,28.52,2,False
2019,municipal primary,Council,3,Provo City Council District 3,JEFF HANDY,291,18.04,3,False
2019,municipal primary,Council,4,Provo City Council District 4,TRAVIS HOBAN,1085,39.17,1,True
2019,municipal primary,Council,4,Provo City Council District 4,VALERIE PAXMAN,894,32.27,2,False
2019,municipal primary,Council,4,Provo City Council District 4,BETH ALLIGOOD,630,22.74,3,False
2019,municipal primary,Council,4,Provo City Council District 4,ERIC LUDWIG,161,5.81,4,False
2021,municipal general,Mayor,,Provo City Mayor,MICHELLE KAUFUSI,10752,74.53,1,True
2021,municipal general,Mayor,,Provo City Mayor,KENNETH W. DUDLEY,3674,25.47,2,False
2021,municipal general,Council,2,Provo City Council District 2,GEORGE HANDLEY,1153,100.0,1,True
2021,municipal general,Council,5,Provo City Council District 5,RACHEL WHIPPLE,880,55.24,1,True
2021,municipal general,Council,5,Provo City Council District 5,COY D. PORTER,713,44.76,2,False
2021,municipal general,Council,Citywide I,Provo City Council Citywide I,KATRICE MACKAY,7501,52.2,1,True
2021,municipal general,Council,Citywide I,Provo City Council Citywide I,AARON SKABELUND,6165,42.9,2,False
2021,municipal general,Council,Citywide I,Provo City Council Citywide I,WRITE-IN,703,4.89,3,False
2021,municipal primary,Mayor,,Provo City Mayor,MICHELLE KAUFUSI,7593,68.06,1,True
2021,municipal primary,Mayor,,Provo City Mayor,KENNETH W. DUDLEY,1750,15.69,2,False
2021,municipal primary,Mayor,,Provo City Mayor,NEIL MITCHELL,927,8.31,3,False
2021,municipal primary,Mayor,,Provo City Mayor,CALEB REEVE,730,6.54,4,False
2021,municipal primary,Mayor,,Provo City Mayor,M. DAVID GEDO SANCHEZ,156,1.4,5,False
2021,municipal primary,Council,5,Provo City Council District 5,RACHEL WHIPPLE,638,51.37,1,True
2021,municipal primary,Council,5,Provo City Council District 5,COY D. PORTER,460,37.04,2,False
2021,municipal primary,Council,5,Provo City Council District 5,ZAC GREEN,144,11.59,3,False
2021,municipal primary,Council,Citywide I,Provo City Council Citywide I,KATRICE MACKAY,4214,37.98,1,True
2021,municipal primary,Council,Citywide I,Provo City Council Citywide I,AARON SKABELUND,3626,32.68,2,False
2021,municipal primary,Council,Citywide I,Provo City Council Citywide I,HOC VU,2286,20.61,3,False
2021,municipal primary,Council,Citywide I,Provo City Council Citywide I,LANDON D. JOHNSON,968,8.73,4,False
2023,municipal general,Council,1,Provo City Council District 1,CRAIG CHRISTENSEN,2315,60.18,1,True
2023,municipal general,Council,1,Provo City Council District 1,STAN JENSEN,1532,39.82,2,False
2023,municipal general,Council,3,Provo City Council District 3,BECKY BOGDIN,1409,61.18,1,True
2023,municipal general,Council,3,Provo City Council District 3,DAVID LEWIS,894,38.82,2,False
