year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal general,Council,1,Provo City Council District 1,,,1,,3890,,BILL FILLMORE,3890,100.0,,0,3890,100.0,,,,,,,
2019,municipal general,Council,3,Provo City Council District 3,,,2,,2620,,SHANNON ELLSWORTH,1697,64.77,ROBIN ROBERTS,923,774,29.54,,,,,,,
2019,municipal general,Council,4,Provo City Council District 4,,,2,,4678,,TRAVIS HOBAN,2625,56.11,VALERIE PAXMAN,2053,572,12.23,,,,,,,
2019,municipal general,Council,Citywide II,Provo City Council Citywide II,,,2,,14821,,DAVID SHIPLEY,8235,55.56,JANAE MOSS,6586,1649,11.13,,,,,,,
2019,municipal primary,Council,3,Provo City Council District 3,,,3,,1613,,SHANNON ELLSWORTH,862,53.44,ROBIN ROBERTS,460,402,24.92,,,,,,,
2019,municipal primary,Council,4,Provo City Council District 4,,,4,,2770,,TRAVIS HOBAN,1085,39.17,VALERIE PAXMAN,894,191,6.9,,,,,,,
2021,municipal general,Mayor,,Provo City Mayor,,,2,,14426,,MICHELLE KAUFUSI,10752,74.53,KENNETH W. DUDLEY,3674,7078,49.06,,,,,,,
2021,municipal general,Council,2,Provo City Council District 2,,,1,,1153,,GEORGE HANDLEY,1153,100.0,,0,1153,100.0,,,,,,,
2021,municipal general,Council,5,Provo City Council District 5,,,2,,1593,,RACHEL WHIPPLE,880,55.24,COY D. PORTER,713,167,10.48,,,,,,,
2021,municipal general,Council,Citywide I,Provo City Council Citywide I,,,3,,14369,,KATRICE MACKAY,7501,52.2,AARON SKABELUND,6165,1336,9.3,,,,,,,
2021,municipal primary,Mayor,,Provo City Mayor,,,5,,11156,,MICHELLE KAUFUSI,7593,68.06,KENNETH W. DUDLEY,1750,5843,52.38,,,,,,,
2021,municipal primary,Council,5,Provo City Council District 5,,,3,,1242,,RACHEL WHIPPLE,638,51.37,COY D. PORTER,460,178,14.33,,,,,,,
2021,municipal primary,Council,Citywide I,Provo City Council Citywide I,,,4,,11094,,KATRICE MACKAY,4214,37.98,AARON SKABELUND,3626,588,5.3,,,,,,,
2023,municipal general,Council,1,Provo City Council District 1,,,2,,3847,,CRAIG CHRISTENSEN,2315,60.18,STAN JENSEN,1532,783,20.35,,,,,,,
2023,municipal general,Council,3,Provo City Council District 3,,,2,,2303,,BECKY BOGDIN,1409,61.18,DAVID LEWIS,894,515,22.36,,,,,,,
2023,municipal general,Council,4,Provo City Council District 4,,,1,,1625,,TRAVIS HOBAN,1625,100.0,,0,1625,100.0,,,,,,,
2023,municipal general,Council,Citywide II,Provo City Council Citywide II,,,2,,11236,,GARY GARRETT,5801,51.63,MCKAY R. JENSEN,5435,366,3.26,,,,,,,
2023,municipal primary,Council,Citywide II,Provo City Council Citywide II,,,6,,8732,,GARY GARRETT,3360,38.48,MCKAY R. JENSEN,2265,1095,12.54,,,,,,,
2025,municipal general,Mayor,,Provo City Mayor,,,2,,16983,,MARSHA JUDKINS,8703,51.25,MICHELLE KAUFUSI,8280,423,2.49,,,,,,,
2025,municipal general,Council,2,Provo City Council District 2,,,2,,3865,,JEFF WHITLOCK,2035,52.65,HANNAH PETERSEN,1830,205,5.3,,,,,,,
2025,municipal general,Council,5,Provo City Council District 5,,,2,,1458,,RACHEL WHIPPLE,964,66.12,SAM BLACKBURN,494,470,32.24,,,,,,,
2025,municipal general,Council,Citywide I,Provo City Council Citywide I,,,2,,16650,,KATRICE MACKAY,9738,58.49,ADAM SHIN,6912,2826,16.97,,,,,,,
2025,municipal primary,Mayor,,Provo City Mayor,,,4,,11794,,MICHELLE KAUFUSI,5655,47.95,MARSHA JUDKINS,5333,322,2.73,,,,,,,
2025,municipal primary,Council,2,Provo City Council District 2,,,3,,2674,,JEFF WHITLOCK,1285,48.06,HANNAH PETERSEN,1134,151,5.65,,,,,,,
2025,municipal primary,Council,5,Provo City Council District 5,,,4,,957,,RACHEL WHIPPLE,617,64.47,SAM BLACKBURN,155,462,48.28,,,,,,,
2025,municipal primary,Council,Citywide I,Provo City Council Citywide I,,,3,,11525,,KATRICE MACKAY,6310,54.75,ADAM SHIN,3625,2685,23.3,,,,,,,
