year,election_type,office,district,contest,precinct,candidate,votes
2021,municipal general,Mayor,,Provo City Mayor,PR01,MICHELLE KAUFUSI,142
2021,municipal general,Mayor,,Provo City Mayor,PR01,KENNETH W. DUDLEY,51
2021,municipal general,Mayor,,Provo City Mayor,PR02,MICHELLE KAUFUSI,177
2021,municipal general,Mayor,,Provo City Mayor,PR02,KENNETH W. DUDLEY,69
2021,municipal general,Mayor,,Provo City Mayor,PR03,MICHELLE KAUFUSI,308
2021,municipal general,Mayor,,Provo City Mayor,PR03,KENNETH W. DUDLEY,90
2021,municipal general,Mayor,,Provo City Mayor,PR04,MICHELLE KAUFUSI,258
2021,municipal general,Mayor,,Provo City Mayor,PR04,KENNETH W. DUDLEY,63
2021,municipal general,Mayor,,Provo City Mayor,PR05,MICHELLE KAUFUSI,217
2021,municipal general,Mayor,,Provo City Mayor,PR05,KENNETH W. DUDLEY,74
2021,municipal general,Mayor,,Provo City Mayor,PR06,MICHELLE KAUFUSI,163
2021,municipal general,Mayor,,Provo City Mayor,PR06,KENNETH W. DUDLEY,33
2021,municipal general,Mayor,,Provo City Mayor,PR07,MICHELLE KAUFUSI,123
2021,municipal general,Mayor,,Provo City Mayor,PR07,KENNETH W. DUDLEY,48
2021,municipal general,Mayor,,Provo City Mayor,PR08,MICHELLE KAUFUSI,27
2021,municipal general,Mayor,,Provo City Mayor,PR08,KENNETH W. DUDLEY,13
2021,municipal general,Mayor,,Provo City Mayor,PR09,MICHELLE KAUFUSI,110
2021,municipal general,Mayor,,Provo City Mayor,PR09,KENNETH W. DUDLEY,48
2021,municipal general,Mayor,,Provo City Mayor,PR10,MICHELLE KAUFUSI,136
2021,municipal general,Mayor,,Provo City Mayor,PR10,KENNETH W. DUDLEY,37
2021,municipal general,Mayor,,Provo City Mayor,PR11,MICHELLE KAUFUSI,253
2021,municipal general,Mayor,,Provo City Mayor,PR11,KENNETH W. DUDLEY,52
2021,municipal general,Mayor,,Provo City Mayor,PR12,MICHELLE KAUFUSI,247
2021,municipal general,Mayor,,Provo City Mayor,PR12,KENNETH W. DUDLEY,48
2021,municipal general,Mayor,,Provo City Mayor,PR13,MICHELLE KAUFUSI,337
2021,municipal general,Mayor,,Provo City Mayor,PR13,KENNETH W. DUDLEY,130
2021,municipal general,Mayor,,Provo City Mayor,PR14,MICHELLE KAUFUSI,164
2021,municipal general,Mayor,,Provo City Mayor,PR14,KENNETH W. DUDLEY,45
2021,municipal general,Mayor,,Provo City Mayor,PR15,MICHELLE KAUFUSI,501
2021,municipal general,Mayor,,Provo City Mayor,PR15,KENNETH W. DUDLEY,131
2021,municipal general,Mayor,,Provo City Mayor,PR16,MICHELLE KAUFUSI,417
2021,municipal general,Mayor,,Provo City Mayor,PR16,KENNETH W. DUDLEY,87
2021,municipal general,Mayor,,Provo City Mayor,PR17,MICHELLE KAUFUSI,285
2021,municipal general,Mayor,,Provo City Mayor,PR17,KENNETH W. DUDLEY,136
2021,municipal general,Mayor,,Provo City Mayor,PR18,MICHELLE KAUFUSI,346
2021,municipal general,Mayor,,Provo City Mayor,PR18,KENNETH W. DUDLEY,206
2021,municipal general,Mayor,,Provo City Mayor,PR19,MICHELLE KAUFUSI,273
2021,municipal general,Mayor,,Provo City Mayor,PR19,KENNETH W. DUDLEY,92
2021,municipal general,Mayor,,Provo City Mayor,PR20,MICHELLE KAUFUSI,257
2021,municipal general,Mayor,,Provo City Mayor,PR20,KENNETH W. DUDLEY,86
2021,municipal general,Mayor,,Provo City Mayor,PR21,MICHELLE KAUFUSI,141
2021,municipal general,Mayor,,Provo City Mayor,PR21,KENNETH W. DUDLEY,53
2021,municipal general,Mayor,,Provo City Mayor,PR22,MICHELLE KAUFUSI,52
2021,municipal general,Mayor,,Provo City Mayor,PR22,KENNETH W. DUDLEY,37
2021,municipal general,Mayor,,Provo City Mayor,PR23,MICHELLE KAUFUSI,181
2021,municipal general,Mayor,,Provo City Mayor,PR23,KENNETH W. DUDLEY,77
2021,municipal general,Mayor,,Provo City Mayor,PR24,MICHELLE KAUFUSI,227
2021,municipal general,Mayor,,Provo City Mayor,PR24,KENNETH W. DUDLEY,118
2021,municipal general,Mayor,,Provo City Mayor,PR25,MICHELLE KAUFUSI,296
2021,municipal general,Mayor,,Provo City Mayor,PR25,KENNETH W. DUDLEY,114
