date,body,body_slug,packet_kind,title,clip_id,path,text_path,format,source_url,stored_locally,doc_class,fetch_status,sha256,text_chars
2023-05-04,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-05-04,162,,packets/text/2023-05-04_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/95363637-e466-11ed-95dd-0050569183fa-7ae4fa04-4732-4852-989d-a040fe4a9e83-1682537798.pdf,no,staff_report,ok,cb7565eace024aa4b65faffdbeb29e4b90d2960408cad36d475d19389b455b57,151961
2023-06-01,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-06-01,197,,packets/text/2023-06-01_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/95390f17-e466-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1685046409.pdf,no,staff_report,ok,130f06b480f8f9d9181935596be2c77ada40d5523a7a0c3cb73d3e4f66220db4,58344
2023-06-15,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-06-15,210,,packets/text/2023-06-15_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/286755ad-e464-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1686328176.pdf,no,staff_report,ok,c89764a0ee22003f2a4ab94fdb758d761d117cdda5fbe558f3addd6687a321ab,20161
2023-07-20,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-07-20,230,,packets/text/2023-07-20_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/28691d0c-e464-11ed-95dd-0050569183fa-c0071374-105a-4fbc-99b4-05500e1e89e2-1689877489.pdf,no,staff_report,ok,15ac7aa8c30d595035aba0bc6a91d9d9cd4b78863e5dba832cf0f0486a6b5a76,54918
2023-08-03,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-08-03,237,,packets/text/2023-08-03_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/9542da57-e466-11ed-95dd-0050569183fa-61ea15ff-f8c4-4ebc-b3dc-16faa4474f38-1690574943.pdf,no,staff_report,ok,77bf7b2bd206f5436cceaf0f513983cc7f9429d20dff094acc5464f60d5b4de5,439008
2023-08-17,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-08-17,248,,packets/text/2023-08-17_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/286ab1aa-e464-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1691794943.pdf,no,staff_report,ok,efa51369a59e0cf1554579056959d71375a67ee23cd4254f7a2bffbb2f03965b,62706
2023-09-07,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-09-07,259,,packets/text/2023-09-07_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/9544741f-e466-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1693589528.pdf,no,staff_report,ok,58519c8c1a398c84c0cf1a7600357b5c5de89d5170ffe43e354a332b255e9a05,19744
2023-10-05,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-10-05,273,,packets/text/2023-10-05_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/9546e88f-e466-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1696001211.pdf,no,staff_report,ok,0b84b3e659839e4d9066ff09385ae7035177178878fbc54cfa0b26da11d1443a,139530
2023-10-19,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-10-19,279,,packets/text/2023-10-19_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/286ee419-e464-11ed-95dd-0050569183fa-61ea15ff-f8c4-4ebc-b3dc-16faa4474f38-1697564824.pdf,no,staff_report,ok,8062a5cd39d77cb251f07721d22c8f3772ac99bc8ce915ce8422e2378771eb68,166418
2023-11-02,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-11-02,286,,packets/text/2023-11-02_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/9548f7d1-e466-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1698429687.pdf,no,staff_report,ok,c97ae62fcdc25ec74c8d753bfe3f080b048b8868703226a03320a17312800fdf,146035
2023-11-16,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-11-16,298,,packets/text/2023-11-16_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/2870f9a0-e464-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1699466627.pdf,no,staff_report,ok,4e9a661bb8ba8d91b3b2eb0d9f56b5846cec7cd61fe89ee7e4fc6b3a9392ede1,105620
2023-12-07,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2023-12-07,314,,packets/text/2023-12-07_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/954b136f-e466-11ed-95dd-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1701453684.pdf,no,staff_report,ok,4a1ea062894121619b987e3933a82c2b532fb866df34abb071efe0cf0738153e,326199
2024-01-04,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2024-01-04,340,,packets/text/2024-01-04_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/67fe86d4-7e62-11ee-852f-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1703631277.pdf,no,staff_report,ok,a33cc2861605769ea05f24c65be8fcd126c47fdae0328490ee61d039c1d538e8,70226
2024-02-01,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2024-02-01,361,,packets/text/2024-02-01_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/68014c95-7e62-11ee-852f-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1706313218.pdf,no,staff_report,ok,58f3efe53e23b13d595d3d808b78ba8569e68a56c09cc3be1d8d9e75d501d760,115397
2024-02-29,Eastern Summit County Planning Commission,eastern_summit_pc,agenda_packet,Eastern Summit County Planning Commission Agenda Packet 2024-02-29,388,,packets/text/2024-02-29_eastern_summit_pc_packet.txt,pdf,https://d3n9y02raazwpg.cloudfront.net/summitcounty/203df613-c220-11ee-8fe8-0050569183fa-d7b65d6c-b0bc-45a7-9a94-4bcbd96e93f5-1708716869.pdf,no,staff_report,ok,c49f6bd6371da73ad158f023121efe85bf319bc129c9a21d9ed7317ba99d541f,185787
