year,election_type,office,district,contest,candidate,voting_method,round1_votes,round1_pct,final_votes,rank,is_winner
2019,municipal general,Council,At-Large,Sandy City Council At-Large,CYNDI SHARKEY,plurality,8044,29.54,,1,True
2019,municipal general,Council,At-Large,Sandy City Council At-Large,MARCI HOUSEMAN,plurality,7327,26.9,,2,True
2019,municipal general,Council,At-Large,Sandy City Council At-Large,JIM EDWARDS,plurality,6490,23.83,,3,False
2019,municipal general,Council,At-Large,Sandy City Council At-Large,DEA THEODORE,plurality,5374,19.73,,4,False
2019,municipal general,Council,2,Sandy City Council District 2,ALISON STROUD,plurality,2003,51.07,,1,True
2019,municipal general,Council,2,Sandy City Council District 2,MAREN BARKER,plurality,1919,48.93,,2,False
2019,municipal general,Council,4,Sandy City Council District 4,MONICA 'MONICA Z' ZOLTANSKI,plurality,2313,50.67,,1,True
2019,municipal general,Council,4,Sandy City Council District 4,BROOKE D'SOUSA,plurality,2252,49.33,,2,False
2021,municipal general,Mayor,,Sandy City Mayor,"MONICA ""MONICA Z"" ZOLTANSKI",RCV,4382,20.7,8620,1,True
2021,municipal general,Mayor,,Sandy City Mayor,JIM BENNETT,RCV,4130,19.51,8599,2,False
2021,municipal general,Mayor,,Sandy City Mayor,KRIS NICHOLL,RCV,2601,12.29,5299,3,False
2021,municipal general,Mayor,,Sandy City Mayor,BROOKE CHRISTENSEN,RCV,2338,11.05,3802,4,False
2021,municipal general,Mayor,,Sandy City Mayor,LINDA SAVILLE,RCV,2503,11.83,2992,5,False
2021,municipal general,Mayor,,Sandy City Mayor,MIKE APPLEGARTH,RCV,2041,9.64,2567,6,False
2021,municipal general,Mayor,,Sandy City Mayor,MARCI HOUSEMAN,RCV,1730,8.17,1805,7,False
2021,municipal general,Mayor,,Sandy City Mayor,RONALD T. JONES,RCV,1440,6.8,1440,8,False
2021,municipal general,Council,At-Large,Sandy City Council At-Large,BROOKE D'SOUSA,RCV,6378,31.71,9224,1,True
2021,municipal general,Council,At-Large,Sandy City Council At-Large,AARON DEKEYZER,RCV,6021,29.93,8526,2,False
2021,municipal general,Council,At-Large,Sandy City Council At-Large,KRISTEN WRAY,RCV,2639,13.12,3784,3,False
2021,municipal general,Council,At-Large,Sandy City Council At-Large,REBECCA COLLEY,RCV,2142,10.65,2548,4,False
2021,municipal general,Council,At-Large,Sandy City Council At-Large,STEVEN CALBERT,RCV,1813,9.01,2080,5,False
2021,municipal general,Council,At-Large,Sandy City Council At-Large,EVAN TOBIN,RCV,1121,5.57,1121,6,False
2021,municipal general,Council,1,Sandy City Council District 1,RYAN MECHAM,RCV,1474,39.1,1811,1,True
2021,municipal general,Council,1,Sandy City Council District 1,KATIE JOHNSON,RCV,1470,38.99,1736,2,False
2021,municipal general,Council,1,Sandy City Council District 1,JEFFORY MULCAHY,RCV,826,21.91,826,3,False
2021,municipal general,Council,3,Sandy City Council District 3,ZACH ROBINSON,RCV,3557,52.71,3557,1,True
2021,municipal general,Council,3,Sandy City Council District 3,JIM EDWARDS,RCV,2402,35.6,2402,2,False
2021,municipal general,Council,3,Sandy City Council District 3,BEKAH CRAIG,RCV,789,11.69,789,3,False
2023,municipal general,Council,At-Large,Sandy City Council At-Large,CYNDI SHARKEY,plurality,8676,30.15,,1,True
2023,municipal general,Council,At-Large,Sandy City Council At-Large,AARON DEKEYZER,plurality,7739,26.9,,2,True
2023,municipal general,Council,At-Large,Sandy City Council At-Large,JIM BENNETT,plurality,6703,23.3,,3,False
2023,municipal general,Council,At-Large,Sandy City Council At-Large,BROOKE CHRISTENSEN,plurality,5655,19.65,,4,False
2023,municipal general,Council,2,Sandy City Council District 2,ALISON STROUD,plurality,2942,100.0,,1,True
2023,municipal general,Council,4,Sandy City Council District 4,MARCI HOUSEMAN,plurality,2435,51.31,,1,True
2023,municipal general,Council,4,Sandy City Council District 4,SCOTT EARL,plurality,2311,48.69,,2,False
2025,municipal general,Mayor,,Sandy City Mayor,"MONICA ""MONICA Z"" ZOLTANSKI",plurality,15220,61.32,,1,True
2025,municipal general,Mayor,,Sandy City Mayor,CYNDI SHARKEY,plurality,9599,38.68,,2,False
2025,municipal general,Mayor,,Sandy City Mayor,Write-in (unresolved),plurality,0,0.0,,3,False
2025,municipal general,Council,At-Large,Sandy City Council At-Large,BROOKE D'SOUSA,plurality,15665,66.97,,1,True
2025,municipal general,Council,At-Large,Sandy City Council At-Large,EVAN TOBIN,plurality,7727,33.03,,2,False
2025,municipal general,Council,At-Large,Sandy City Council At-Large,Write-in (unresolved),plurality,0,0.0,,3,False
2025,municipal general,Council,1,Sandy City Council District 1,BROOKE CHRISTENSEN,plurality,2378,53.91,,1,True
2025,municipal general,Council,1,Sandy City Council District 1,SHANA DAVIS,plurality,2033,46.09,,2,False
2025,municipal general,Council,1,Sandy City Council District 1,Write-in (unresolved),plurality,0,0.0,,3,False
2025,municipal general,Council,3,Sandy City Council District 3,KRIS NICHOLL,plurality,4385,56.82,,1,True
2025,municipal general,Council,3,Sandy City Council District 3,IVA WILLIAMS,plurality,3333,43.18,,2,False
2025,municipal general,Council,3,Sandy City Council District 3,Write-in (unresolved),plurality,0,0.0,,3,False
