year,election_type,office,district,contest,precinct,candidate,votes,suppressed,note
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN001,CYNDI SHARKEY,99,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN001,MARCI HOUSEMAN,98,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN001,JIM EDWARDS,75,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN001,DEA THEODORE,65,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN002,CYNDI SHARKEY,30,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN002,MARCI HOUSEMAN,39,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN002,JIM EDWARDS,34,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN002,DEA THEODORE,13,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN003,CYNDI SHARKEY,17,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN003,MARCI HOUSEMAN,13,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN003,JIM EDWARDS,14,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN003,DEA THEODORE,8,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN004,CYNDI SHARKEY,89,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN004,MARCI HOUSEMAN,88,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN004,JIM EDWARDS,55,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN004,DEA THEODORE,36,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN005,CYNDI SHARKEY,116,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN005,MARCI HOUSEMAN,134,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN005,JIM EDWARDS,125,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN005,DEA THEODORE,119,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN006,CYNDI SHARKEY,35,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN006,MARCI HOUSEMAN,26,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN006,JIM EDWARDS,29,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN006,DEA THEODORE,18,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN007,CYNDI SHARKEY,31,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN007,MARCI HOUSEMAN,29,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN007,JIM EDWARDS,16,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN007,DEA THEODORE,16,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN009,CYNDI SHARKEY,179,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN009,MARCI HOUSEMAN,136,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN009,JIM EDWARDS,135,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN009,DEA THEODORE,73,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN010,CYNDI SHARKEY,43,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN010,MARCI HOUSEMAN,42,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN010,JIM EDWARDS,25,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN010,DEA THEODORE,20,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN011,CYNDI SHARKEY,162,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN011,MARCI HOUSEMAN,126,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN011,JIM EDWARDS,172,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN011,DEA THEODORE,93,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN012,CYNDI SHARKEY,125,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN012,MARCI HOUSEMAN,97,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN012,JIM EDWARDS,134,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN012,DEA THEODORE,51,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN013,CYNDI SHARKEY,71,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN013,MARCI HOUSEMAN,82,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN013,JIM EDWARDS,80,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN013,DEA THEODORE,56,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN014,CYNDI SHARKEY,114,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN014,MARCI HOUSEMAN,91,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN014,JIM EDWARDS,111,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN014,DEA THEODORE,78,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN015,CYNDI SHARKEY,108,False,
2019,municipal general,Council,At-Large,Sandy City Council At-Large,SAN015,MARCI HOUSEMAN,138,False,
