year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2007,municipal general,Council,1,Taylorsville City Council District 1,TAYLORSVILLE CITY COUNCIL 1,1,3,plurality,1466,,D.L. 'BUD' CATLIN,955,65.14,JOHN E. GIDNEY,504,451,30.76,5140,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,2,Taylorsville City Council District 2,TAYLORSVILLE CITY COUNCIL 2,1,2,plurality,1445,,MORRIS K. PRATT,1412,97.72,Write-in,33,1379,95.43,5246,,,False,False,,2007-11-06-municipal-general-sovc.xls
2007,municipal general,Council,3,Taylorsville City Council District 3,TAYLORSVILLE CITY COUNCIL 3,1,2,plurality,1692,,JERRY W. RECHTENBACH,1658,97.99,Write-in,34,1624,95.98,5795,,,False,False,,2007-11-06-municipal-general-sovc.xls
2009,municipal general,Council,4,Taylorsville City Council District 4,TAYLORSVILLE COUNCIL DISTRICT 4,1,3,plurality,1186,,DAMA BARBOUR,787,66.36,WARREN ROGERS,393,394,33.22,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Council,5,Taylorsville City Council District 5,TAYLORSVILLE COUNCIL DISTRICT 5,1,3,plurality,1305,,LARRY JOHNSON,753,57.7,LYNN R. HANDY,551,202,15.48,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2009,municipal general,Mayor,,Taylorsville City Mayor,TAYLORSVILLE MAYOR,1,3,plurality,5749,,RUSS WALL,3656,63.59,REBEKAH WHYTE,2046,1610,28.0,,,,False,False,,2009-11-03-municipal-general-sovc.xls
2011,municipal general,Council,1,Taylorsville City Council District 1,Taylorsville City Coun 1,1,3,plurality,1044,,ERNEST GLEN BURGESS,554,53.07,ISRAEL M. GROSSMAN,484,70,6.7,4195,,,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,2,Taylorsville City Council District 2,Taylorsville City Coun 2,1,3,plurality,1232,,KRISTIE S OVERSON,738,59.9,MORRIS K. PRATT,492,246,19.97,4613,,,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal general,Council,3,Taylorsville City Council District 3,Taylorsville City Coun 3,1,3,plurality,832,,JERRY W. RECHTENBACH,499,59.98,DAVE BALLOU,328,171,20.55,5275,,,False,False,,2011-11-08-municipal-general-sovc.xlsx
2011,municipal primary,Council,1,Taylorsville City Council District 1,TAYLORSVILLE CITY COUN 1,1,3,plurality,788,,ERNEST GLEN BURGESS,287,36.42,ISRAEL M. GROSSMAN,270,17,2.16,4329,,,False,False,,2011-09-13-municipal-primary-sovc.xlsx
2011,municipal primary,Council,2,Taylorsville City Council District 2,TAYLORSVILLE CITY COUN 2,1,4,plurality,874,,KRISTIE OVERSON,429,49.08,MORRIS K. PRATT,290,139,15.9,4724,,,False,False,,2011-09-13-municipal-primary-sovc.xlsx
2011,municipal primary,Council,3,Taylorsville City Council District 3,TAYLORSVILLE CITY COUN 3,1,3,plurality,528,,JERRY W. RECHTENBACH,284,53.79,DAVE BALLOU,193,91,17.23,5410,,,False,False,,2011-09-13-municipal-primary-sovc.xlsx
2013,municipal general,Council,3,Taylorsville City Council District 3,TAYLORSVILLE CITY COUNCIL 3,1,2,plurality,981,,BRAD CHRISTOPHERSON,971,98.98,Write-in,10,961,97.96,5274,,,False,False,"special / unexpired-term election (out-of-cycle for the D1/D2/D3 group; the 2011 D3 winner Rechtenbach ran for Mayor in 2013 - see the 2013 Mayor runner-up - vacating D3; Christopherson won this balance, then the full D3 term in 2015)",2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Council,4,Taylorsville City Council District 4,TAYLORSVILLE CITY COUNCIL 4,1,3,plurality,1080,,DAMA BARBOUR,635,58.8,Write-in,295,340,31.48,5184,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Council,5,Taylorsville City Council District 5,TAYLORSVILLE CITY COUNCIL 5,1,3,plurality,1433,,DANIEL JON ARMSTRONG,764,53.31,KEN ACKER,661,103,7.19,5310,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal general,Mayor,,Taylorsville City Mayor,TAYLORSVILLE CITY MAYOR,1,3,plurality,6250,,LARRY JOHNSON,3346,53.54,JERRY W. RECHTENBACH,2862,484,7.74,24595,,,False,False,,2013-11-05-municipal-general-sovc.xlsx
2013,municipal primary,Council,5,Taylorsville City Council District 5,TAYLORSVILLE CITY COUNCIL 5,1,3,plurality,946,,KEN ACKER,366,38.69,DANIEL JON ARMSTRONG,334,32,3.38,5382,,,False,False,,2013-08-13-municipal-primary-sovc.xlsx
2013,municipal primary,Mayor,,Taylorsville City Mayor,TAYLORSVILLE CITY MAYOR,1,4,plurality,3848,,LARRY JOHNSON,1644,42.72,JERRY W. RECHTENBACH,1445,199,5.17,24915,,,False,False,,2013-08-13-municipal-primary-sovc.xlsx
2015,municipal general,Council,1,Taylorsville City Council District 1,TAYLORSVILLE CITY COUNCIL 1,1,2,plurality,1152,,ERNEST GLEN BURGESS,729,63.28,ISRAEL M. GROSSMAN,423,306,26.56,4140,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal general,Council,2,Taylorsville City Council District 2,TAYLORSVILLE CITY COUNCIL 2,1,2,plurality,1319,,KRISTIE STEADMAN OVERSON,1009,76.5,GLEN W SPENCER,310,699,52.99,4482,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2015,municipal general,Council,3,Taylorsville City Council District 3,TAYLORSVILLE CITY COUNCIL 3,1,2,plurality,1267,,BRAD CHRISTOPHERSON,947,74.74,RICHARD TANNER MORLEY,320,627,49.49,5037,,,False,False,,2015-11-03-municipal-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,4,Taylorsville City Council District 4,TAYLORSVILLE CITY CNCL DIST 4,1,2,plurality,1809,,MEREDITH HARKER,1126,62.24,RONALD ALLRED,683,443,24.49,4956,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Council,5,Taylorsville City Council District 5,TAYLORSVILLE CITY CNCL DIST 5,1,2,plurality,1932,,DANIEL JON ARMSTRONG,1279,66.2,JOHN E FULLER,653,626,32.4,5146,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal general,Mayor,,Taylorsville City Mayor,TAYLORSVILLE CITY MAYOR,1,2,plurality,9517,,KRISTIE STEADMAN OVERSON,5444,57.2,LARRY JOHNSON,4073,1371,14.41,24299,,,False,False,,2017-11-07-general-election-statement-of-votes-cast.zip
2017,municipal primary,Mayor,,Taylorsville City Mayor,TAYLORSVILLE CITY MAYOR,1,3,plurality,7147,,KRISTIE STEADMAN OVERSON,3862,54.04,LARRY JOHNSON,2922,940,13.15,24317,,,False,False,,2017-08-15-primary-election-statement-of-votes-cast.zip
2019,municipal general,Council,1,Taylorsville City Council District 1,TAYLORSVILLE CITY COUNCIL DISTRICT 1,1,2,plurality,1641,,ERNEST GLEN BURGESS,1044,63.62,LISA GEHRKE,597,447,27.24,4501,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,2,Taylorsville City Council District 2,TAYLORSVILLE CITY COUNCIL DISTRICT 2,1,2,plurality,1574,,CURT COCHRAN,954,60.61,MARC MCELREATH,620,334,21.22,4921,,,False,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal general,Council,3,Taylorsville City Council District 3,TAYLORSVILLE CITY COUNCIL DISTRICT 3,1,1,plurality,1197,,BRAD CHRISTOPHERSON,1197,100.0,,0,1197,100.0,5803,,,True,False,,2019-11-05-general-election-sovc.xlsx
2019,municipal primary,Council,1,Taylorsville City Council District 1,TAYLORSVILLE CITY COUNCIL DISTRICT 1,1,3,plurality,1328,,ERNEST GLEN BURGESS,728,54.82,LISA GEHRKE,371,357,26.88,4432,,,False,False,,2019-08-13-municipal-primary-sovc.xlsx
2021,municipal general,Council,3,Taylorsville City Council District 3,CITY OF TAYLORSVILLE COUNCIL DISTRICT 3,1,1,plurality,1119,,ANNA BARBIERI,1119,100.0,,0,1119,100.0,6238,1260,20.2,True,False,"special / unexpired-term election (out-of-cycle for the D1/D2/D3 group; the 2019 D3 winner Christopherson vacated - Barbieri won this balance, then the full D3 term in 2023)",2021-11-02-general-election-sovc.xlsx
2021,municipal general,Council,4,Taylorsville City Council District 4,CITY OF TAYLORSVILLE COUNCIL DISTRICT 4,1,1,plurality,951,,MEREDITH HARKER,951,100.0,,0,951,100.0,6160,1091,17.71,True,False,,2021-11-02-general-election-sovc.xlsx
2021,municipal general,Council,5,Taylorsville City Council District 5,CITY OF TAYLORSVILLE COUNCIL DISTRICT 5,1,2,plurality,1739,,ROBERT (BOB) KNUDSEN,914,52.56,LARRY JOHNSON,825,89,5.12,6058,1775,29.3,False,False,,2021-11-02-general-election-sovc.xlsx
2021,municipal general,Mayor,,Taylorsville City Mayor,CITY OF TAYLORSVILLE MAYOR,1,1,plurality,5477,,KRISTIE STEADMAN OVERSON,5477,100.0,,0,5477,100.0,28804,5991,20.8,True,False,,2021-11-02-general-election-sovc.xlsx
2023,municipal general,Council,1,Taylorsville City Council District 1,CITY OF TAYLORSVILLE COUNCIL DISTRICT 1,1,2,plurality,1653,,ERNEST GLEN BURGESS,1070,64.73,DENNIS SANOK,583,487,29.46,5295,1618,30.56,False,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2023,municipal general,Council,2,Taylorsville City Council District 2,CITY OF TAYLORSVILLE COUNCIL DISTRICT 2,1,1,plurality,968,,CURT COCHRAN,968,100.0,,0,968,100.0,4630,1093,23.61,True,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2023,municipal general,Council,3,Taylorsville City Council District 3,CITY OF TAYLORSVILLE COUNCIL DISTRICT 3,1,1,plurality,1169,,ANNA BARBIERI,1169,100.0,,0,1169,100.0,6195,1222,19.73,True,False,,statementofvotescastrpt-official-report-12-05-2023-5.22pm.xlsx
2025,municipal general,Council,4,Taylorsville City Council District 4,TAYLORSVILLE CITY COUNCIL DISTRICT 4,1,2,plurality,2035,,MEREDITH HARKER,1140,56.02,MARTÍN C. MUÑOZ,895,245,12.04,5856,2060,35.18,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2025,municipal general,Council,5,Taylorsville City Council District 5,TAYLORSVILLE CITY COUNCIL DISTRICT 5,1,2,plurality,1767,,BOB KNUDSEN,1002,56.71,PAUL SCHULTE,765,237,13.41,5631,1803,32.02,False,False,,2025-general-election-statementofvotescastrpt.xlsx
2025,municipal general,Mayor,,Taylorsville City Mayor,TAYLORSVILLE CITY MAYOR,1,1,plurality,6524,,KRISTIE STEADMAN OVERSON,6524,100.0,Write-in (unresolved),0,6524,100.0,27690,7267,26.24,True,False,,2025-general-election-statementofvotescastrpt.xlsx
