video_id,title,channel_tab,title_date_raw,video_url
Fapn_Qf_XuQ,"Committee of the Whole - April 12, 2023",streams,"April 12, 2023",https://www.youtube.com/watch?v=Fapn_Qf_XuQ
esgOh7jkzJk,"City Council Meeting - April 12, 2023",streams,"April 12, 2023",https://www.youtube.com/watch?v=esgOh7jkzJk
jUcoqS1aMOo,"West Jordan Board of Adjustment - April 11, 2023",streams,"April 11, 2023",https://www.youtube.com/watch?v=jUcoqS1aMOo
5cs39iB1llI,"West Jordan Planning Commission - April 4, 2023",streams,"April 4, 2023",https://www.youtube.com/watch?v=5cs39iB1llI
ULkTY0xiiPY,"Redevelopment Agency Meeting - March 22, 2023",streams,"March 22, 2023",https://www.youtube.com/watch?v=ULkTY0xiiPY
ML_PEJtnrYQ,"City Council Meeting - March 22, 2023",streams,"March 22, 2023",https://www.youtube.com/watch?v=ML_PEJtnrYQ
ucVh0LrqmtM,"West Jordan Planning Commission - March 21, 2023",streams,"March 21, 2023",https://www.youtube.com/watch?v=ucVh0LrqmtM
tlr1msgXhn0,"Commitee of the Whole - March 15, 2023",streams,"March 15, 2023",https://www.youtube.com/watch?v=tlr1msgXhn0
ZtQx6mZJ_68,"City Council Meeting - March 8, 2023",streams,"March 8, 2023",https://www.youtube.com/watch?v=ZtQx6mZJ_68
hiMAC0IqbJw,"West Jordan Planning Commission - March 7, 2023",streams,"March 7, 2023",https://www.youtube.com/watch?v=hiMAC0IqbJw
abqucHjiCAU,"Committee of the Whole - February 22, 2023",streams,"February 22, 2023",https://www.youtube.com/watch?v=abqucHjiCAU
JOzQjk6SFTs,"City Council Meeting - February 22, 2023",streams,"February 22, 2023",https://www.youtube.com/watch?v=JOzQjk6SFTs
iDG8VSSDMl4,"Planning Commission - February 21, 2023",streams,"February 21, 2023",https://www.youtube.com/watch?v=iDG8VSSDMl4
5ROtXLZrFpE,"Committee of the Whole - February 15, 2023",streams,"February 15, 2023",https://www.youtube.com/watch?v=5ROtXLZrFpE
