date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,recovery_source,orig_filename,text_path
2020-08-11,2020,Magna Council Meeting,council-regular,Council,raw/2020-08-11__council-regular__636165.pdf,pmn,https://www.utah.gov/pmn/files/636165.pdf,https://www.utah.gov/pmn/sitemap/notice/627445.html,5803,636165,2026-07-17,text,pdftotext-layout,pmn,Public Item #6.1 - 08-11-2020 Council Meeting.pdf,text/2020-08-11__council-regular__636165.txt
2020-08-25,2020,Magna Council Meeting,council-regular,Council,raw/2020-08-25__council-regular__636167.pdf,pmn,https://www.utah.gov/pmn/files/636167.pdf,https://www.utah.gov/pmn/sitemap/notice/627445.html,5803,636167,2026-07-17,text,pdftotext-layout,pmn,Public Item #6.2 - 08-25-2020 Council Meeting.pdf,text/2020-08-25__council-regular__636167.txt
2020-09-08,2020,Magna Council Meeting,council-regular,Council,raw/2020-09-08__council-regular__640412.pdf,pmn,https://www.utah.gov/pmn/files/640412.pdf,https://www.utah.gov/pmn/sitemap/notice/630052.html,5803,640412,2026-07-17,text,pdftotext-layout,pmn,Backup Docs Combined.pdf (council minutes pp47-60 of the 2020-09-22 council packet),text/2020-09-08__council-regular__640412.txt
2020-10-27,2020,Magna Council Meeting,council-regular,Council,raw/2020-10-27__council-regular__661255.pdf,pmn,https://www.utah.gov/pmn/files/661255.pdf,https://www.utah.gov/pmn/sitemap/notice/642347.html,5803,661255,2026-07-17,text,pdftotext-layout,pmn,Backup documents combined.pdf (council minutes pp60-67 of the 2020-11-24 council packet),text/2020-10-27__council-regular__661255.txt
2022-11-29,2022,Magna Council Special Workshop Meeting,council-special-workshop,Council,raw/2022-11-29__council-special-workshop__950413.pdf,pmn,https://www.utah.gov/pmn/files/950413.pdf,https://www.utah.gov/pmn/sitemap/notice/796515.html,5803,950413,2026-07-17,text,pdftotext-layout,pmn,11-29-22.pdf,text/2022-11-29__council-special-workshop__950413.txt
2023-02-23,2023,Magna Council Special Workshop Meeting,council-special-workshop,Council,raw/2023-02-23__council-special-workshop__960533.pdf,pmn,https://www.utah.gov/pmn/files/960533.pdf,https://www.utah.gov/pmn/sitemap/notice/814393.html,5803,960533,2026-07-17,text,pdftotext-layout,pmn,02-23-23.pdf,text/2023-02-23__council-special-workshop__960533.txt
2023-03-23,2023,Magna Council Special Workshop Meeting,council-special-workshop,Council,raw/2023-03-23__council-special-workshop__1106061.pdf,pmn,https://www.utah.gov/pmn/files/1106061.pdf,https://www.utah.gov/pmn/sitemap/notice/818785.html,5803,1106061,2026-07-17,text,pdftotext-layout,pmn,03-23-23.pdf,text/2023-03-23__council-special-workshop__1106061.txt
2024-02-13,2024,Magna Council Meeting,council-regular,Council,raw/2024-02-13__council-regular__1156839.pdf,pmn,https://www.utah.gov/pmn/files/1156839.pdf,https://www.utah.gov/pmn/sitemap/notice/892447.html,5803,1156839,2026-07-14,scanned,tesseract-ocr,pmn,02-13-24 Approved Minutes.pdf,text/2024-02-13__council-regular__1156839.txt
2024-02-27,2024,Magna Council Meeting,council-regular,Council,raw/2024-02-27__council-regular__1167191.pdf,pmn,https://www.utah.gov/pmn/files/1167191.pdf,https://www.utah.gov/pmn/sitemap/notice/895553.html,5803,1167191,2026-07-14,scanned,tesseract-ocr,pmn,02-27-24 Approved Minutes.pdf,text/2024-02-27__council-regular__1167191.txt
2024-11-12,2024,Magna CRA Meeting,cra-regular,CRA,raw/2024-11-12__cra-regular__1219871.pdf,pmn,https://www.utah.gov/pmn/files/1219871.pdf,https://www.utah.gov/pmn/sitemap/notice/952515.html,6925,1219871,2026-07-14,scanned,tesseract-ocr,pmn,11-12-2024 Magna CRA Meeting Minutes - APPROVED.pdf,text/2024-11-12__cra-regular__1219871.txt
