precinct,district,district_area_frac,method,split
MIL001,2,0.9992,centroid_in_district,no
MIL002,3,0.9844,centroid_in_district,no
MIL003,3,0.9935,centroid_in_district,no
MIL004,3,0.9999,centroid_in_district,no
MIL005,3,0.9995,centroid_in_district,no
MIL006,3,0.9999,centroid_in_district,no
MIL007,3,0.9876,centroid_in_district,no
MIL008,4,0.9931,centroid_in_district,no
MIL009,3,0.9978,centroid_in_district,no
MIL010,4,0.9956,centroid_in_district,no
MIL011,3,0.9999,centroid_in_district,no
MIL012,2,0.9999,centroid_in_district,no
MIL013,2,1.0,centroid_in_district,no
MIL014,2,0.9888,centroid_in_district,no
MIL015,3,1.0,centroid_in_district,no
MIL016,3,0.9997,centroid_in_district,no
MIL017,2,0.9996,centroid_in_district,no
MIL018,4,0.9966,centroid_in_district,no
MIL019,3,0.9978,centroid_in_district,no
MIL020,3,0.9998,centroid_in_district,no
MIL021,4,0.9999,centroid_in_district,no
MIL022,4,0.9996,centroid_in_district,no
MIL023,4,0.9962,centroid_in_district,no
MIL024,4,0.9997,centroid_in_district,no
MIL025,4,0.9967,centroid_in_district,no
MIL026,1,0.9976,centroid_in_district,no
MIL027,1,0.9987,centroid_in_district,no
MIL028,1,0.9998,centroid_in_district,no
MIL029,1,0.9996,centroid_in_district,no
MIL030,1,0.9991,centroid_in_district,no
MIL031,2,1.0,centroid_in_district,no
MIL032,4,0.989,centroid_in_district,no
MIL033,1,1.0,centroid_in_district,no
MIL034,1,0.9996,centroid_in_district,no
MIL035,2,0.9987,centroid_in_district,no
MIL036,4,0.9984,centroid_in_district,no
MIL037,4,0.9999,centroid_in_district,no
MIL038,1,0.9997,centroid_in_district,no
MIL039,1,0.9822,centroid_in_district,no
MIL040,2,0.9992,centroid_in_district,no
MIL041,4,0.9971,centroid_in_district,no
MIL042,2,0.9985,centroid_in_district,no
MIL043,2,1.0,centroid_in_district,no
MIL044,2,0.9913,centroid_in_district,no
MIL045,1,0.9988,centroid_in_district,no
MIL046,4,0.9984,centroid_in_district,no
MIL047,1,0.9921,centroid_in_district,no
MIL049,2,0.9988,centroid_in_district,no
MIL050,2,0.9986,centroid_in_district,no
MIL051,2,1.0,centroid_in_district,no
MIL901,3,1.0,centroid_in_district,no
