precinct,district,source_year
MIL026,1,gis-2022map
MIL027,1,gis-2022map
MIL028,1,gis-2022map
MIL029,1,gis-2022map
MIL030,1,gis-2022map
MIL033,1,gis-2022map
MIL034,1,gis-2022map
MIL038,1,gis-2022map
MIL039,1,gis-2022map
MIL045,1,gis-2022map
MIL047,1,gis-2022map
MIL001,2,election-xcheck
MIL012,2,election-xcheck
MIL013,2,election-xcheck
MIL014,2,election-xcheck
MIL017,2,election-xcheck
MIL031,2,election-xcheck
MIL035,2,election-xcheck
MIL040,2,election-xcheck
MIL042,2,election-xcheck
MIL043,2,election-xcheck
MIL044,2,election-xcheck
MIL049,2,election-xcheck
MIL050,2,election-xcheck
MIL051,2,election-xcheck
MIL002,3,election-xcheck
MIL003,3,election-xcheck
MIL004,3,election-xcheck
MIL005,3,election-xcheck
MIL006,3,election-xcheck
MIL007,3,election-xcheck
MIL009,3,election-xcheck
MIL011,3,election-xcheck
MIL015,3,election-xcheck
MIL016,3,election-xcheck
MIL019,3,election-xcheck
MIL020,3,election-xcheck
MIL901,3,election-xcheck
MIL008,4,election-xcheck
MIL010,4,election-xcheck
MIL018,4,election-xcheck
MIL021,4,election-xcheck
MIL022,4,election-xcheck
MIL023,4,election-xcheck
MIL024,4,election-xcheck
MIL025,4,election-xcheck
MIL032,4,election-xcheck
MIL036,4,election-xcheck
MIL037,4,election-xcheck
MIL041,4,election-xcheck
MIL046,4,election-xcheck
