precinct,district,source_year,method
TAY001,5,2025,district_contest_precinct_rows
TAY002,1,2023,district_contest_precinct_rows
TAY003,1,2023,district_contest_precinct_rows
TAY004,1,2023,district_contest_precinct_rows
TAY005,1,2023,district_contest_precinct_rows
TAY006,1,2023,district_contest_precinct_rows
TAY007,5,2025,district_contest_precinct_rows
TAY008,5,2025,district_contest_precinct_rows
TAY009,5,2025,district_contest_precinct_rows
TAY010,5,2025,district_contest_precinct_rows
TAY011,1,2023,district_contest_precinct_rows
TAY012,2,2023,district_contest_precinct_rows
TAY013,2,2023,district_contest_precinct_rows
TAY014,2,2023,district_contest_precinct_rows
TAY015,5,2025,district_contest_precinct_rows
TAY016,5,2025,district_contest_precinct_rows
TAY017,2,2023,district_contest_precinct_rows
TAY018,2,2023,district_contest_precinct_rows
TAY019,2,2023,district_contest_precinct_rows
TAY020,5,2025,district_contest_precinct_rows
TAY021,4,2025,district_contest_precinct_rows
TAY022,4,2025,district_contest_precinct_rows
TAY023,3,2023,district_contest_precinct_rows
TAY024,3,2023,district_contest_precinct_rows
TAY025,3,2023,district_contest_precinct_rows
TAY026,4,2025,district_contest_precinct_rows
TAY027,4,2025,district_contest_precinct_rows
TAY028,4,2025,district_contest_precinct_rows
TAY029,3,2023,district_contest_precinct_rows
TAY030,4,2025,district_contest_precinct_rows
TAY031,4,2025,district_contest_precinct_rows
TAY032,3,2023,district_contest_precinct_rows
TAY033,3,2023,district_contest_precinct_rows
TAY034,3,2023,district_contest_precinct_rows
TAY035,3,2023,district_contest_precinct_rows
TAY036,3,2023,district_contest_precinct_rows
TAY037,5,2025,district_contest_precinct_rows
TAY038,5,2025,district_contest_precinct_rows
TAY039,5,2025,district_contest_precinct_rows
TAY040,3,2023,district_contest_precinct_rows
TAY041,1,2023,district_contest_precinct_rows
TAY042,5,2025,district_contest_precinct_rows
TAY043,5,2025,district_contest_precinct_rows
TAY044,5,2025,district_contest_precinct_rows
