date,date_precision,title,body,url,track_slug,source_url,platform,caption_type,whisper_candidate,notes
2026-07-08,day,"July 8, 2026 Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/july-8-2026-alta-town-council,july-8-2026-alta-town-council,https://soundcloud.com/townofalta/july-8-2026-alta-town-council,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-06-17,day,"June 17, 2026 Town Council Work Session",Council,https://soundcloud.com/townofalta/june-17-2026-town-council-work,june-17-2026-town-council-work,https://soundcloud.com/townofalta/june-17-2026-town-council-work,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-06-17,day,"June 17, 2026 Alta Town Council Meeting Part 2",Council,https://soundcloud.com/townofalta/june-17-2026-alta-town-1,june-17-2026-alta-town-1,https://soundcloud.com/townofalta/june-17-2026-alta-town-1,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-06-17,day,"June 17, 2026 Alta Town Council Meeting Part 1",Council,https://soundcloud.com/townofalta/june-17-2026-alta-town-council,june-17-2026-alta-town-council,https://soundcloud.com/townofalta/june-17-2026-alta-town-council,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-05-13,day,"May 13, 2026 Town Council Meeting, Work Session, Public Hearings Part 2",Council,https://soundcloud.com/townofalta/may-13-2026-town-council,may-13-2026-town-council,https://soundcloud.com/townofalta/may-13-2026-town-council,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-05-13,day,"May 13, 2026 Alta Town Council Meeting Part 1",Council,https://soundcloud.com/townofalta/may-13-2026-alta-town-council,may-13-2026-alta-town-council,https://soundcloud.com/townofalta/may-13-2026-alta-town-council,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-04-16,day,"April 16, 2026 Budget Committee Meeting",BudgetCommittee,https://soundcloud.com/townofalta/april-16-2026-budget-committee,april-16-2026-budget-committee,https://soundcloud.com/townofalta/april-16-2026-budget-committee,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-04-08,day,"April 8, 2026 Alta Town Council Part 2",Council,https://soundcloud.com/townofalta/april-8-2026-alta-town-1,april-8-2026-alta-town-1,https://soundcloud.com/townofalta/april-8-2026-alta-town-1,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-04-08,day,"April 8, 2026 Alta Town Council Part 1",Council,https://soundcloud.com/townofalta/april-8-2026-alta-town-council,april-8-2026-alta-town-council,https://soundcloud.com/townofalta/april-8-2026-alta-town-council,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-03-25,day,"March 25, 2026 Alta Planning Commission Meeting",PlanningCommission,https://soundcloud.com/townofalta/march-22-2026-alta-planning-commission-meeting,march-22-2026-alta-planning-commission-meeting,https://soundcloud.com/townofalta/march-22-2026-alta-planning-commission-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-03-12,day,"March 12, 2026 Special Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/march-12-2026-special-alta,march-12-2026-special-alta,https://soundcloud.com/townofalta/march-12-2026-special-alta,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-03-12,day,"March 12, 2026 Budget Committee Meeting",BudgetCommittee,https://soundcloud.com/townofalta/march-12-2026-budget-committee,march-12-2026-budget-committee,https://soundcloud.com/townofalta/march-12-2026-budget-committee,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-03-11,day,"March 11, 2026 Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/march-11-2026-alta-town,march-11-2026-alta-town,https://soundcloud.com/townofalta/march-11-2026-alta-town,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-03-04,day,"March 4, 2026 Special Town Council Meeting Part 2",Council,https://soundcloud.com/townofalta/march-4-2026-special-town,march-4-2026-special-town,https://soundcloud.com/townofalta/march-4-2026-special-town,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-03-04,day,"March 4, 2026 Special Town Council Meeting Part 1",Council,https://soundcloud.com/townofalta/march-3-2026-special-town,march-3-2026-special-town,https://soundcloud.com/townofalta/march-3-2026-special-town,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-02-25,day,"February 25, 2026 Alta Planning Commission Meeting",PlanningCommission,https://soundcloud.com/townofalta/february-25-2026-alta-planning-commission-meeting,february-25-2026-alta-planning-commission-meeting,https://soundcloud.com/townofalta/february-25-2026-alta-planning-commission-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-02-11,day,"February 11, 2026 Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/february-11-2026-alta-town,february-11-2026-alta-town,https://soundcloud.com/townofalta/february-11-2026-alta-town,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2026-01-14,day,"January 14, 2026 Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/january-14-2026-alta-town-council-meeting,january-14-2026-alta-town-council-meeting,https://soundcloud.com/townofalta/january-14-2026-alta-town-council-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-12-17,day,"December 17, 2025 Alta Planning Commission Meeting",PlanningCommission,https://soundcloud.com/townofalta/december-17-2025-alta-planning-commission-meeting,december-17-2025-alta-planning-commission-meeting,https://soundcloud.com/townofalta/december-17-2025-alta-planning-commission-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-12-10,day,"December 10, 2025 Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/december-10-2025-alta-town-council-meeting,december-10-2025-alta-town-council-meeting,https://soundcloud.com/townofalta/december-10-2025-alta-town-council-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-12-09,day,"December 9, 2025 Special Alta Council Meeting Part 2",Council,https://soundcloud.com/townofalta/december-9-2025-special-alta-council-meeting-part-2,december-9-2025-special-alta-council-meeting-part-2,https://soundcloud.com/townofalta/december-9-2025-special-alta-council-meeting-part-2,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-12-09,day,"December 9, 2025 Special Alta Council Meeting Part 1",Council,https://soundcloud.com/townofalta/december-9-2025-special-alta-council-meeting-part-1,december-9-2025-special-alta-council-meeting-part-1,https://soundcloud.com/townofalta/december-9-2025-special-alta-council-meeting-part-1,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-11-19,day,"November 19, 2025 Alta Planning Commission Meeting",PlanningCommission,https://soundcloud.com/townofalta/november-19-2025-alta-planning-commission-meeting,november-19-2025-alta-planning-commission-meeting,https://soundcloud.com/townofalta/november-19-2025-alta-planning-commission-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-11-12,day,"November 12, 2025 Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/november-12-2025-alta-town-council-meeting,november-12-2025-alta-town-council-meeting,https://soundcloud.com/townofalta/november-12-2025-alta-town-council-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-10-22,day,"October 22, 2025 Alta Planning Commission",PlanningCommission,https://soundcloud.com/townofalta/october-22-2025-alta-planning-commission,october-22-2025-alta-planning-commission,https://soundcloud.com/townofalta/october-22-2025-alta-planning-commission,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-10-08,day,"October 8, 2025 Alta Town Council Meeting Session 1 October 8, 2025 Alta Town Council Meeting Session 2",Council,https://soundcloud.com/townofalta/october-8-2025-alta-town-council-meeting-session-1-october-8-2025-alta-town-council-meeting-session-2,october-8-2025-alta-town-council-meeting-session-1-october-8-2025-alta-town-council-meeting-session-2,https://soundcloud.com/townofalta/october-8-2025-alta-town-council-meeting-session-1-october-8-2025-alta-town-council-meeting-session-2,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-09-24,day,"September 24, 2025 Alta Planning Commission Meeting",PlanningCommission,https://soundcloud.com/townofalta/september-24-2025-alta-planning-commission-meeting,september-24-2025-alta-planning-commission-meeting,https://soundcloud.com/townofalta/september-24-2025-alta-planning-commission-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
2025-09-10,day,"September 10, 2025 Alta Town Council Meeting",Council,https://soundcloud.com/townofalta/september-10-2025-alta-town-council-meeting,september-10-2025-alta-town-council-meeting,https://soundcloud.com/townofalta/september-10-2025-alta-town-council-meeting,soundcloud,none,yes,audio only - no captions; Whisper transcription candidate
