week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2018-12-12,2018-12-06,0,2,2,0,7993; 91
2018-12-19,2018-12-13,0,1,2,0,7997
2019-01-09,2019-01-03,0,2,3,0,15; 7843
2019-01-23,2019-01-17,0,1,0,0,39
2019-01-30,2019-01-24,0,1,0,0,31
2019-02-13,2019-02-07,0,2,2,0,33; 7027
2019-02-27,2019-02-21,0,1,0,0,25
2019-03-13,2019-03-07,0,2,3,0,3373; 75
2019-04-10,2019-04-04,0,1,0,0,77
2019-05-08,2019-05-02,0,2,3,0,71; 7277
2019-05-22,2019-05-16,0,2,4,0,37; 8227
2019-06-12,2019-06-06,0,1,0,0,33
2019-07-10,2019-07-04,0,1,3,0,1049
2019-08-14,2019-08-08,0,1,3,1,1029
2019-09-25,2019-09-19,0,2,0,0,25; 89
2019-11-13,2019-11-07,0,1,3,0,3695
2019-11-20,2019-11-14,0,1,0,0,47
2020-01-08,2020-01-02,0,2,5,0,city council meeting joint work session; city council meeting regular
2020-01-22,2020-01-16,0,1,4,0,city council meeting regular
2020-01-29,2020-01-23,0,1,0,0,city council meeting planning retreat
2020-02-12,2020-02-06,0,1,10,0,city council meeting regular
2020-02-26,2020-02-20,0,2,5,0,city council meeting regular; joint planning commission and city council meeting
2020-03-11,2020-03-05,0,1,7,0,city council meeting regular
2020-04-01,2020-03-26,0,1,6,0,city council meeting special joint session
2020-04-08,2020-04-02,0,1,2,0,city council meeting regular
2020-05-13,2020-05-07,0,1,23,0,city council meeting regular
2020-06-10,2020-06-04,0,1,0,0,4943
2020-06-24,2020-06-18,0,1,22,0,city council meeting regular
2020-07-08,2020-07-02,0,1,11,0,city council meeting regular
2020-07-22,2020-07-16,0,1,10,0,city council meeting regular
2020-08-12,2020-08-06,0,1,6,0,city council meeting regular
2020-08-26,2020-08-20,0,1,7,0,city council meeting regular
2020-09-09,2020-09-03,0,1,3,0,city council meeting regular
2020-09-23,2020-09-17,0,1,10,0,city council meeting regular
2020-10-14,2020-10-08,0,1,8,1,city council meeting regular
2020-10-28,2020-10-22,0,1,4,0,city council regular
2020-11-11,2020-11-05,0,1,9,0,city council meeting regular
2020-11-25,2020-11-19,0,1,2,0,city council meeting special
2020-12-09,2020-12-03,0,1,9,0,city council meeting regular
2021-01-13,2021-01-07,0,1,8,0,city council meeting regular
2021-01-27,2021-01-21,0,1,10,0,city council meeting regular
2021-02-10,2021-02-04,0,1,6,0,city council meeting regular
2021-02-24,2021-02-18,0,1,5,0,0491
2021-03-17,2021-03-11,0,1,1,0,city council meeting planning retreat
2021-03-24,2021-03-18,0,1,5,0,city council meeting regular
2021-04-14,2021-04-08,0,1,7,0,city council meeting regular
