date,year,title,body,reason
2020-01-08,2020,Alta Town Council Meeting (Work Session),Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/580043.html) carries only agenda/handouts and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2020-09-09,2020,Alta Town Council Work Session & Meeting,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/627263.html) carries only agenda/handouts and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2021-03-10,2021,Alta Town Council Meeting & Work Session,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/662193.html) carries only agenda/handouts and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2021-10-13,2021,Alta Town Council Meeting & Work Session,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/707847.html) carries only agenda/handouts/audio and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2021-11-16,2021,Alta Town Council Meeting — Election Canvass,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/716131.html) carries only agenda/handouts and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report). NOTE: distinct from the 2021-11-10 regular meeting, which IS in the repo."
2022-11-09,2022,Alta Town Council Meeting,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/792293.html) carries only agenda/handouts/audio and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2023-11-08,2023,Alta Town Council Meeting & Work Session,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/869663.html) carries only agenda/handouts/audio and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2023-12-06,2023,Alta Town Council Meeting — Election Canvass,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/874311.html) carries only agenda/handouts/audio and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report). NOTE: distinct from the 2023-12-13 regular meeting, which IS in the repo."
2024-09-11,2024,Alta Town Council Meeting,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/938137.html) carries only agenda/handouts/audio and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2024-10-09,2024,Alta Town Council Meeting,Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/944689.html) carries only agenda/handouts/audio and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
2025-07-09,2025,"Alta Town Council Meeting (Res. 2025-R-18 — CWC membership, Holladay)",Council,"no standalone approved minutes were ever published on PMN for this date — verified 2026-07-17 (wave2) by a full attachment-filename sweep of ALL four Alta PMN bodies (Council 1601, PC 1602, Budget 8621, LUAA 1603): the meeting's own notice (https://www.utah.gov/pmn/sitemap/notice/1008835.html) carries only agenda/handouts and no minutes attachment. Town website is the same JS-only Juniper media library PMN draws from. GRAMA request drafted (wave report)."
