date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,doc_kind,pmn_label
2020-03-05,2020,Council Retreat (minutes),council_2020-03-05_minutes_611359,MunicipalCouncil,raw/council_2020-03-05_minutes_611359.pdf,utah_pmn,https://www.utah.gov/pmn/files/611359.pdf,https://www.utah.gov/pmn/sitemap/notice/592675.html,1600,611359,2026-07-03,text,pdftotext-layout,minutes,"March 5, 2020 Council Retreat Meeting Minutes.pdf"
2020-05-12,2020,Budget Retreat (minutes),council_2020-05-12_minutes_646435,MunicipalCouncil,raw/council_2020-05-12_minutes_646435.pdf,utah_pmn,https://www.utah.gov/pmn/files/646435.pdf,https://www.utah.gov/pmn/sitemap/notice/603679.html,1600,646435,2026-07-03,text,pdftotext-layout,minutes,Budget Retreat minutes 5_12_2020.pdf
2020-08-13,2020,Joint Meeting with the Provo School District (minutes),council_2020-08-13_minutes_692727,MunicipalCouncil,raw/council_2020-08-13_minutes_692727.pdf,utah_pmn,https://www.utah.gov/pmn/files/692727.pdf,https://www.utah.gov/pmn/sitemap/notice/622333.html,1600,692727,2026-07-03,text,pdftotext-layout,minutes,Joint Meeting with Provo School District - Minutes - 8-13-2020.pdf
2020-09-10,2020,Joint Meeting with the Orem City Council (minutes),council_2020-09-10_minutes_682637,MunicipalCouncil,raw/council_2020-09-10_minutes_682637.pdf,utah_pmn,https://www.utah.gov/pmn/files/682637.pdf,https://www.utah.gov/pmn/sitemap/notice/627767.html,1600,682637,2026-07-03,text,pdftotext-layout,minutes,2020-09-10 Joint Meeting with Orem City - Minutes.pdf
2021-09-02,2021,Joint Meeting with the Provo School District (minutes),council_2021-09-02_minutes_757801,MunicipalCouncil,raw/council_2021-09-02_minutes_757801.pdf,utah_pmn,https://www.utah.gov/pmn/files/757801.pdf,https://www.utah.gov/pmn/sitemap/notice/699831.html,1600,757801,2026-07-03,text,pdftotext-layout,minutes,Joint Meeting with Provo School Board - Minutes - 9-2-2021.pdf
2021-11-08,2021,Joint Meeting with State Legislators (minutes),council_2021-11-08_minutes_798147,MunicipalCouncil,raw/council_2021-11-08_minutes_798147.pdf,utah_pmn,https://www.utah.gov/pmn/files/798147.pdf,https://www.utah.gov/pmn/sitemap/notice/714135.html,1600,798147,2026-07-03,text,pdftotext-layout,minutes,Joint Meeting with State Legislators - Minutes - 11-8-2021.pdf
2022-03-10,2022,Joint Meeting with the Orem City Council (minutes),council_2022-03-10_minutes_830179,MunicipalCouncil,raw/council_2022-03-10_minutes_830179.pdf,utah_pmn,https://www.utah.gov/pmn/files/830179.pdf,https://www.utah.gov/pmn/sitemap/notice/740779.html,1600,830179,2026-07-03,text,pdftotext-layout,minutes,Joint Meeting with Orem City Council - Minutes - 3-10-2022.pdf
2025-03-18,2025,Joint Meeting with the Planning Commission (minutes),council_2025-03-18_minutes_1251097,MunicipalCouncil,raw/council_2025-03-18_minutes_1251097.pdf,utah_pmn,https://www.utah.gov/pmn/files/1251097.pdf,https://www.utah.gov/pmn/sitemap/notice/980439.html,1600,1251097,2026-07-03,text,pdftotext-layout,minutes,Joint Meeting with the Planning Commission - Minutes - 3-18-2025 - Joint Meeting (3-19-2025 11 18 04 AM).pdf
2020-01-08,2020,Planning Commission Report of Action - Item 1,pc_2020-01-08_item1_563809,PlanningCommission,raw/pc_2020-01-08_item1_563809.pdf,utah_pmn,https://www.utah.gov/pmn/files/563809.pdf,https://www.utah.gov/pmn/sitemap/notice/578289.html,1662,563809,2026-07-03,text,pdftotext-layout,roa,"PC ROA Jan. 8, 2020 - Item 1.pdf"
2020-01-08,2020,Planning Commission Report of Action - Item 2,pc_2020-01-08_item2_563811,PlanningCommission,raw/pc_2020-01-08_item2_563811.pdf,utah_pmn,https://www.utah.gov/pmn/files/563811.pdf,https://www.utah.gov/pmn/sitemap/notice/578289.html,1662,563811,2026-07-03,text,pdftotext-layout,roa,"PC ROA Jan. 8, 2020 - Item 2.pdf"
