ordinance_no,reason,checked
1414,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1415,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1417,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1429,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1430,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1437,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1440,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1441,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1455,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1458,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1459,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1460,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1461,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1521,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1522,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1573,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1574,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1580,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1665,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1666,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1668,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1721,"number in the 2020+ series witnessed by no PMN notice and no council motion (possibly unassigned, vetoed, or a numbering skip)",2026-07-13
1531,cited in council motions (continued/discussed) but no approving motion extracted and no PMN adoption notice — adoption unwitnessed,2026-07-13
1619,cited in council motions (continued/discussed) but no approving motion extracted and no PMN adoption notice — adoption unwitnessed,2026-07-13
1448,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1449,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1465,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1476,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1505,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1506,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1517,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1518,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1532,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1533,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1558,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1562,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1570,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1571,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1618,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1630,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1646,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1647,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1676,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
1677,proposed ordinance DENIED by council motion — never adopted (not a gap; listed for series completeness),2026-07-13
