ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,adoption_date_source,linkage_note
1344,2018-08-07,2018-08-07,Ordinance #1344 — which adopted the Community Reinvestment Project Area entitle 'Project Area Plan for the Draper South Mountain Community Reinvestment Project Area' as the official plan of the community reinvestment area pursuant to Utah Code 17C-5. The City Council determined that the Redevelopment Agency of Draper,https://www.utah.gov/pmn/sitemap/notice/482883.html,2026-07-13,html,html-strip,raw/pmn/notice_482883.html,no,,,,none,482883,https://www.utah.gov/pmn/sitemap/notice/482883.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1392,2019-05-07,2019-05-07,Ordinance #1392 — vacating a portion of Right of Way,https://www.utah.gov/pmn/files/509363.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1392_n544847_f509363.pdf,no,,,,none,544847,https://www.utah.gov/pmn/sitemap/notice/544847.html,pmn-notice,also noticed: 544845
1395,2019-07-02,2019-07-02,"Ordinance #1395 — amending the Draper City Municipal Code, relating to Corner Lot Setbacks",https://www.utah.gov/pmn/files/509365.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1395_n544849_f509365.pdf,no,,,,none,544849,https://www.utah.gov/pmn/sitemap/notice/544849.html,pmn-notice,
1410,2020-03-19,2020-03-19,"Ordinance #1410 — Offices on 7th Land Use Map Amendment, Zoning Map Amendment, and Development Agreement with the change to exempt private schools as a permitted use",../meeting_minutes/minutes/2020/2020-03-16/2020-03-19_city-council-special.md,2026-07-13,na,,,yes,5-0 Pass,2020-03-19,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2020-01-21
1411,2020-03-19,2020-03-19,Ordinance #1411 (agenda item: City Council Special Meeting),../meeting_minutes/minutes/2020/2020-03-16/2020-03-19_city-council-special.md,2026-07-13,na,,,yes,5-0 Pass,2020-03-19,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice); also discussed 2020-01-21
1412,2019-11-19,2019-11-19,"Ordinance #1412 — adopting the official Draper City General Plan, including elements of Moderate Income Housing, Master Transportation Plan, and Land Use Map",https://www.utah.gov/pmn/sitemap/notice/572137.html,2026-07-13,html,html-strip,raw/pmn/notice_572137.html,yes,,,,none,572137,https://www.utah.gov/pmn/sitemap/notice/572137.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1413,2020-02-11,2020-02-11,Ordinance #1413 — amending Title 2 of the Draper City Municipal Code place,../meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council.md,2026-07-13,na,,,no,Unanimous (voice/tally-only),2020-02-11,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1416,2020-01-14,2020-01-14,Ordinance #1416 — vacating a Public Right-of-Way,../meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council.md,2026-07-13,na,,,no,3-2 Pass,2020-01-14,8,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1418,2020-01-21,2020-01-21,"Ordinance #1418 — amending the text of the Land Use and Development Code in zones A2 and M1, and M2",../meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council.md,2026-07-13,na,,,yes,5-0 Pass,2020-01-21,3,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1419,2020-01-14,2020-01-14,Ordinance #1419 — Draper Academy Town Center Text Amendment,../meeting_minutes/minutes/2020/2020-01-13/2020-01-14_city-council.md,2026-07-13,na,,,no,5-0 Pass,2020-01-14,2,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
