member,first_seen,last_seen,n_votes
Kayleen Whitelock,2020-01-08,2026-05-26,959
Zach Jacob,2020-01-08,2026-05-26,959
Kelvin Green,2020-01-08,2025-12-16,896
Chad Lamb,2020-01-08,2026-05-26,661
Chris McConnehey,2020-01-08,2023-12-20,601
David Pack,2020-01-08,2023-12-20,601
Pamela Bloom,2022-01-12,2025-12-16,593
Melissa Worthen,2020-01-08,2023-10-25,587
Bob Bedore,2024-01-10,2026-05-26,358
Kent Shelton,2024-01-10,2026-05-26,358
Annette Harris,2026-01-13,2026-05-26,63
Jessica Wignall,2026-01-13,2026-05-26,63
Rob Bennett,2023-11-29,2023-12-20,5
