date,candidate,office,seat,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,document_id,sha256,filer_type,has_text,has_itemized
,Aaron D. Kennard,Sheriff,,,statement,2006 Interim Reports / Dissolution,Aaron D. Kennard (Sheriff) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/akennard_dissolutionreport07.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/akennard_dissolutionreport07.pdf,clerk_legacy,,068db9881f8f305df1d6f4faab855f3285540e36fac9bcba464078abc5b21fb2,,no,no
,B. Kent Morgan,District Attorney,,,statement,2006 Interim Reports / Amendment to April,B. Kent Morgan (District Attorney) — Amendment to April,https://slco.org/clerk/financialDisclosurePDF/candidate/kmorgan_apr2406amend.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/kmorgan_apr2406amend.pdf,clerk_legacy,,2301c710b3b85e46789116dd6778b4352dc4ddacd183fbf1d8dc4d805b520448,,yes,no
,B. Kent Morgan,District Attorney,,,statement,2006 Interim Reports / 2006 Summary Report/Dissolution,B. Kent Morgan (District Attorney) — 2006 Summary Report/Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/kmorgan_finalreport.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/kmorgan_finalreport.pdf,clerk_legacy,,0f1e166de3d67648e60b8a0aaf7507e6bfe7817c83929c4c2797e17c6bf89281,,yes,no
,Benjamin Kendrick,County Council,District 1,,statement,2006 Interim Reports / Dissolution,Benjamin Kendrick (Council #1) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/08_bkendrick_dissolutionreport.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_bkendrick_dissolutionreport.pdf,clerk_legacy,,44e46ada4e50d96ecda7d86157299b415cd2a0017cd1cfd9c96125ca9d5c055c,,no,no
,Benjamin Kendrick,County Council,District 1,,statement,2006 Interim Reports / June,Benjamin Kendrick (Council #1) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_kendrick_benjamin06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_kendrick_benjamin06.pdf,clerk_legacy,,841cb8492fc86c04f8b810e50ff355e2aabfd2d48e4ab3d315099cb82a343862,,yes,no
,Benjamin Kendrick,County Council,District 1,,statement,2006 Interim Reports / Amendment to September,Benjamin Kendrick (Council #1) — Amendment to September,https://slco.org/clerk/financialDisclosurePDF/candidate/benkendrick_amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/benkendrick_amendment.pdf,clerk_legacy,,7485aaa3a655a1564448c78f528fd36e7d471b6cee8d96defd69bfa8aa36cbb9,,yes,no
,Benjamin Kendrick,County Council,District 1,,statement,2006 Interim Reports / 2006 Summary Report,Benjamin Kendrick (Council #1) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/bkendrick_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/bkendrick_jan3107report.pdf,clerk_legacy,,dbfa5f0c9092ebf407b52d1f2b230c6c6483de9196eabc4ef7a137fb8c77121c,,no,no
,Billie Gay Larson,Treasurer,,,statement,2006 Interim Reports / Dissolution,Billie Gay Larson (Treasurer) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/08_blarson_dissolutionreport.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_blarson_dissolutionreport.pdf,clerk_legacy,,9640f5cf802c4fd39807e2024fc9a0abadb87cb5d610d68b8bd9a2cb070cd5ea,,no,no
,Billie Gay Larson,Treasurer,,,statement,2006 Interim Reports / 2007 Summary Report,Billie Gay Larson (Treasurer) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/08_blarson_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_blarson_jan31.pdf,clerk_legacy,,10df09f70f40288ad66d919a9b514fd211124db5906255b0c6f6bf2a8be54caa,,no,no
,Billie Gay Larson,Treasurer,,,statement,2006 Interim Reports / June,Billie Gay Larson (Treasurer) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_larson_billie06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_larson_billie06.pdf,clerk_legacy,,5bcb24fc8d2cd0b982833e9dd490afaeb7d2e997153ab204a1dff7a647399f2a,,yes,no
,Billie Gay Larson,Treasurer,,,statement,2006 Interim Reports / 2006 Summary Report,Billie Gay Larson (Treasurer) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/blarson_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/blarson_jan3107report.pdf,clerk_legacy,,c487e207df1ce95bf90be113fc3bc9291cc67d7aebd8daebff8bd5c03e24966b,,no,no
,Carrie Dickson,Clerk,,,statement,2006 Interim Reports / June,Carrie Dickson (Clerk) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_dickson_carrie06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_dickson_carrie06.pdf,clerk_legacy,,3b98bd72716e813045f4deec13aee8f4be0d4ea8a0555471502f1012e84f0527,,yes,no
,Carrie Dickson,Clerk,,,statement,2006 Interim Reports / Amendment to April,Carrie Dickson (Clerk) — Amendment to April,https://slco.org/clerk/financialDisclosurePDF/candidate/carriedickson_april5amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/carriedickson_april5amendment.pdf,clerk_legacy,,38740171a6d6597893b763c6dd46545a31004795edcad8a9ed988ac280d86669,,yes,no
,Carrie Dickson,Clerk,,,statement,2006 Interim Reports / Amendment to June,Carrie Dickson (Clerk) — Amendment to June,https://slco.org/clerk/financialDisclosurePDF/candidate/carriedickson_june20amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/carriedickson_june20amendment.pdf,clerk_legacy,,fc61412b4a5c1c0f41cee78938ad1e556b0d5f967012b9cddc8407ddf26a3df5,,yes,no
,Carrie Dickson,Clerk,,,statement,2006 Interim Reports / Amendment to October,Carrie Dickson (Clerk) — Amendment to October,https://slco.org/clerk/financialDisclosurePDF/candidate/cdickson_103106amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/cdickson_103106amendment.pdf,clerk_legacy,,7ca9da21f83c8227f72cdd032b4c705619a31c2583b75571c44ddfcd797b20a0,,yes,no
,Carrie Dickson,Clerk,,,statement,2006 Interim Reports / 2006 Summary Report,Carrie Dickson (Clerk) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/cdickson_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cdickson_jan3107report.pdf,clerk_legacy,,a1686814932b3f3edcb7c38530faed740301166fe822a8bc4a41f2aa5bf5c49d,,no,no
,Charles Bonsall,Clerk,,,statement,2006 Interim Reports / Dissolution,Charles Bonsall (Clerk) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/cbonsall_dissolutionreport07.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cbonsall_dissolutionreport07.pdf,clerk_legacy,,35e54f686d7febded548d7840e9d71d1aa50c06583173be85721ac2a4a6f7edd,,no,no
,Charles Bonsall,Clerk,,,statement,2006 Interim Reports / 2006 Summary Report,Charles Bonsall (Clerk) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/cbonsall_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cbonsall_jan3107report.pdf,clerk_legacy,,e1b400b4fece062ffacc4bda82d5992273fc5c2b49ebd39daf01d797b85a3993,,no,no
,Chuck Tripp,County Council,At-Large C,,statement,2006 Interim Reports / June,Chuck Tripp (Council At-Large C) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_tripp_chuck06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_tripp_chuck06.pdf,clerk_legacy,,36f6bbcf0340bf8e32dc2d043a9936771b14c8a592de85471629555359b674e0,,yes,no
,Chuck Tripp,County Council,At-Large C,,statement,2006 Interim Reports / Dissolution,Chuck Tripp (Council At-Large C) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/candidate/ctripp_dissolutionreport07.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/ctripp_dissolutionreport07.pdf,clerk_legacy,,aa1032623dc99b5aaad22c7b64dbef8293729567db9057dda033d311716ef9ca,,no,no
,Chuck Tripp,County Council,At-Large C,,statement,2006 Interim Reports / 2006 Summary Report,Chuck Tripp (Council At-Large C) — 2006 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/ctripp_jan3107report.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/ctripp_jan3107report.pdf,clerk_legacy,,27b3f6acdbef862d16dcbfe29c9fe2d76d99d990ea159cbd6540b51696d358f0,,no,no
,David Wilde,County Council,District 3,,statement,2006 Interim Reports / 2007 Summary Report,David Wilde (Council #3) — 2007 Summary Report,https://slco.org/clerk/financialDisclosurePDF/candidate/08_dwilde_jan31.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/08_dwilde_jan31.pdf,clerk_legacy,,2d183d968a336228ddc4f51443879e1a8f57e66ca05ee004a260530cb8e93a5f,,no,no
,David Wilde,County Council,District 3,,statement,2006 Interim Reports / June,David Wilde (Council #3) — June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_wilde_david06.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_wilde_david06.pdf,clerk_legacy,,2cd90bb38afcded43ca52dd1e23acf805736bb730dc96e3e0930bdc782452185,,yes,no
,David Wilde,County Council,District 3,,statement,2006 Interim Reports / Amendment to June,David Wilde (Council #3) — Amendment to June,https://slco.org/clerk/financialDisclosurePDF/candidate/20_june_wilde_david06amendment.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/20_june_wilde_david06amendment.pdf,clerk_legacy,,04eb03a11d87980f0d4c754535eca828f663388e74f7084e5180c2be1dafd3dd,,yes,no
,David Wilde,County Council,District 3,,statement,2005 Summary Report,David Wilde (Council #3) — 2005 Summary Report,https://slco.org/clerk/financialDisclosurePDF/Archives/dwilde_jan3106.pdf,2026-08-01,text,pdftotext -layout,raw/clerk_legacy/dwilde_jan3106.pdf,clerk_legacy,,c51a53d9486a911738805aaef63a7525b1327d0462b4b817c97591bd65fd1899,,yes,no
