channel,path,sidecar,format,extraction_method,n_chars,has_text
clerk_legacy,raw/clerk_legacy/08_bkendrick_dissolutionreport.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_blarson_dissolutionreport.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_blarson_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_dwilde_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_fjosephirish_april7.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_gott_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jallen_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jbradley_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jiwamoto_april7.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jiwamoto_cojunereport.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jiwamoto_oct28report.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jiwamoto_september152008.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jjemming_april7.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_joehatch_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jwilson_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_jwinder_jan31.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
clerk_legacy,raw/clerk_legacy/08_kbaker_dissolutionreport.pdf,,scanned,DEFERRED (image-only; vision follow-up planned),0,no
