city,candidate,election_year,office,seat,regime,regime_basis,raised_gross,spent_gross,carryover_opening,carryover_basis,raised_net_of_carryover,ending_balance,chain_closes,n_filings,n_live,n_governing,chain_len,is_floor,in_kind_basis,confidence,governing_filings,excluded_filings,gap_reason,itemized_check_raised,itemized_check_spent,itemized_check_note,review_flag
salt_lake_county,Lee Gardner,2004,Assessor,,undetermined,none,,,,,,,,2,2,0,1,,unknown,,,,"chain-broken: 2 of 2 live filings close on their own arithmetic, but their balances do not link into a chain (longest chain 1), so the periods cannot be proved disjoint and are never summed",,,,
salt_lake_county,Sherrie Swensen,2004,Clerk,,per-period-single,single-filing,0.00,0.00,1144.03,governing-report-bb,0.00,1144.03,,1,1,1,0,1,unknown,C,raw/clerk_legacy/swensen_05finalreport.pdf,,,,,no itemized layer,
salt_lake_county,Randy Horiuchi,2004,County Council,At-Large A,per-period-single,single-filing,0.00,0.00,-36178.00,governing-report-bb,0.00,-36178.00,,1,1,1,0,1,unknown,C,raw/clerk_legacy/rhoriuchi_january312005.pdf,,,,,no itemized layer,
salt_lake_county,Jennifer Wilson,2004,County Council,At-Large B,per-period-single,single-filing,9695.00,18363.81,8744.51,governing-report-bb,9695.00,75.70,,1,1,1,0,1,unknown,C,raw/clerk_legacy/jwilson_january312005.pdf,,,9695.00,18363.81,sum-incremental,
salt_lake_county,Jim Bradley,2004,County Council,At-Large C,per-period-single,single-filing,1520.00,1212.38,0.00,governing-report-bb,1520.00,307.62,,1,1,1,0,1,unknown,C,raw/clerk_legacy/bradley_january312005.pdf,,,1520.00,1212.38,sum-incremental,
salt_lake_county,Joe Hatch,2004,County Council,District 1,per-period-single,single-filing,6700.00,7268.73,577.90,governing-report-bb,6700.00,9.17,,1,1,1,0,1,unknown,C,raw/clerk_legacy/hatch_january312005.pdf,,,6700.00,7268.73,sum-incremental,
salt_lake_county,Michael Jensen,2004,County Council,District 2,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,neither-basis: the filer's own arithmetic closes on neither the per-period nor the cumulative reading,,,,
salt_lake_county,David Wilde,2004,County Council,District 3,per-period-single,single-filing,300.00,762.25,571.02,governing-report-bb,300.00,108.77,,1,1,1,0,1,unknown,C,raw/clerk_legacy/wilde_january312005.pdf,,,300.00,762.25,sum-incremental,
salt_lake_county,Peter Corroon,2004,Mayor,,per-period-single,single-filing,114609.13,166124.70,56250.81,governing-report-bb,114609.13,4735.24,,1,1,1,0,1,unknown,C,raw/clerk_legacy/pcorroon_january312005.pdf,,,114609.13,166124.70,sum-incremental,
salt_lake_county,Gary Ott,2004,Recorder,,per-period-single,single-filing,1139.71,1379.04,439.33,governing-report-bb,1139.71,200.00,,1,1,1,0,1,unknown,C,raw/clerk_legacy/ott_january312005.pdf,,,939.71,,sum-incremental,
