ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,subfolder,linkage_note
2017-02-01,2017-01-05,2017-01-05,"AN ORDINANCE RATIFYING WORK PERFORMED, PRIOR TO INCORPORATION, FOR THE FORMAL CREATION OF THE COPPERTON METRO TOWNSHIP.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1753998806_Ordinance%2017-02-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1753998806_Ordinance_17-02-01.pdf,no,,,,none,ordinance,2017-02-01,Ordinance_17-02-01.pdf,2025-07-31,orddoc,
2017-02-01,2017-02-01,2017-02-01,A RESOLUTION APPROVING AND ENTERING INTO AN AMENDED AND RESTATED AGREEMENT CREATING THE UTAH LOCAL GOVERNMENTS TRUST.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1753997938_Resolution%2017-02-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1753997938_Resolution_17-02-01.pdf,no,,,,none,resolution,2017-02-01,,2025-07-31,resolutions,"date=YYYY-MM from instrument number, day placeholder 01"
2017-04-01,2017-04-05,2017-04-05,"AN ORDINANCE TO ADOPT A TRUSTEE FORM OF MANAGEMENT FOR FUTURE ACQUISl110N OF THE BINGHAM CEMETARY, ALLOWING COPPERTON METRO TOWNSHIP TO SUP,ERVISE A TRUSTEE FORM OFMANAGEM!!,7VT TO MANAGE CEMETARY OPERATIONS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-04-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-04-01.pdf,no,,,,none,ordinance,2017-04-01,,2018-06-25,ordinances,
2017-04-01,2017-04-05,2017-04-05,"AN ORDINANCE TO ADOPT A TRUSTEE FORM OF MANAGEMENT FOR FUTURE ACQUISITION OF THE BINGHAM CEMETARY, ALLOWING COPPERTON METRO TOWNSHIP TO SUPERVISE A TRUSTEE FORM OF MANAGEMENT TO MANAGE CEMETARY OPERATIONS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1753998956_Ordinance%2017-04-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1753998956_Ordinance_17-04-01.pdf,no,,,,none,ordinance,2017-04-01,,2025-07-31,orddoc,
2017-04-02,2017-04-05,2017-04-05,"AN ORDINANCE TO ADOPT RULES OF ORDER, PROCEDURE, AND GOVERNANCE",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754000113_Ordinance%2017-04-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754000113_Ordinance_17-04-02.pdf,no,,,,none,ordinance,2017-04-02,,2025-07-31,orddoc,
2017-05-01,2017-05-01,2017-05-01,"AN ORDINANCE TO APPROVE AN INTERLOCAL AGREEMENT BETWEEN THE COPPERTON METRO TOWNSHIP, THE BOARD OF EDUCA11ON FOR THE JORDAN SCHOOL DISTRICT, AND THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT TO TRANSFER THE BINGHAM CEMETERY TO THE COPPERTON METRO TOWNSHIP",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-05-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-05-01.pdf,no,,,,none,ordinance,2017-05-01,,2018-06-25,ordinances,"date=YYYY-MM from instrument number, day placeholder 01"
2017-05-01,2017-05-17,2017-05-17,"AN ORDINANCE TO APPROVE AN INTERLOCAL AGREEMENT BETWEEN THE COPPERTON METRO TOWNSHIP, THE BOARD OF EDUCATION FOR THE JORDAN SCHOOL DISTRICT, AND THE GREATER SALT LAKE MUNICIPAL SERVICES DISTRICT TO TRANSFER THE BINGHAM CEMETERY TO THE COPPERTON METRO TOWNSHIP",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754000411_Ordinance%2017-05-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754000411_Ordinance_17-05-01.pdf,no,,,,none,ordinance,2017-05-01,,2025-07-31,orddoc,
2017-07-01,2017-07-01,2017-07-01,"AN ORDINANCE UPDATING AND CREATING A NEW CHAPTER 19.05 - COPPERTON METRO TOWNSHIP PLANNING COMMISSION AS AP ART OF THE COPPER TON MUNICIPAL CODE FOR THE OPERATION OF THE PLANNING COMMISSION PURSUANT TO UTAH CODE ANNOTATED 10-9A-3 - COPPERTON METRO TOWNSHIP PLANNING COMMISSION, ET AL",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-07-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-07-01.pdf,no,,,,none,ordinance,2017-07-01,,2018-06-25,ordinances,"date=YYYY-MM from instrument number, day placeholder 01"
2017-06-01,2017-07-14,2017-07-14,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1753998268_Resolution%2017-06-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1753998268_Resolution_17-06-01.pdf,no,,,,none,resolution,2017-06-01,,2025-07-31,resolutions,
2017-07-01,2017-07-19,2017-07-19,"AN ORDINANCE UPDATING AND CREATING A NEW CHAPTER 19.05 — COPPERTON METRO TOWNSHIP PLANNING COMMISSION AS A PART OF THE COPPERTON MUNICIPAL CODE FOR THE OPERATION OF THE PLANNING COMMISSION PURSUANT TO UTAH CODE ANNOTATED 10-9A-3 - COPPERTON METRO TOWNSHIP PLANNING COMMISSION, ET AL",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754000594_Ordinance%2017-07-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754000594_Ordinance_17-07-01.pdf,no,,,,none,ordinance,2017-07-01,,2025-07-31,orddoc,
2017-09-01,2017-09-20,2017-09-20,Ordinance 17-09-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-09-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-09-01.pdf,no,,,,none,ordinance,2017-09-01,,2019-02-04,ordinances,
2017-09-01,2017-09-20,2017-09-20,1754000818_Ordinance 17-09-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754000818_Ordinance%2017-09-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754000818_Ordinance_17-09-01.pdf,no,,,,none,ordinance,2017-09-01,,2025-07-31,orddoc,
2017-10-01,2017-10-01,2017-10-01,"A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPROVING THE LEVYING OF PROPERTY TAXES BY THE SALT LAKE VALLEY LAW ENFORCEMENT SERVICE AREA, APPROVING A 2018 PROPERTY TAX LEVY IN EXCESS OF THE CERTIFIED TAX RATE BY THE SALT LAKE VALLEY LAW ENFORCEMENT SERVICE AREA SOLELY FOR THE PURPOSES OF MA",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1753998475_Resolution%2017-10-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1753998475_Resolution_17-10-01.pdf,no,,,,none,resolution,2017-10-01,,2025-07-31,resolutions,"date=YYYY-MM from instrument number, day placeholder 01"
2017-10-01,2017-10-18,2017-10-18,1754001011_Ordinance 2017-10-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754001011_Ordinance%202017-10-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754001011_Ordinance_2017-10-01.pdf,no,,,,none,ordinance,2017-10-01,,2025-07-31,orddoc,
2017-12-03,2017-10-18,2017-10-18,1754002162_Ordinance 2017-12-03,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754002162_Ordinance%202017-12-03.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754002162_Ordinance_2017-12-03.pdf,no,,,,none,ordinance,2017-12-03,,2025-07-31,orddoc,
2017-11-01,2017-11-15,2017-11-15,AN ORDINANCE ENACTING BUSINESS LICENSE REQUIREMENTS FOR THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ordinance%2017-11-01.pdf,2026-07-14,text,pdftotext_layout,raw/Ordinance_17-11-01.pdf,no,,,,none,ordinance,2017-11-01,,2018-06-25,ordinances,
2017-11-01,2017-11-15,2017-11-15,AN ORDINANCE ENACTING BUSINESS LICENSE REQUIREMENTS FOR THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/orddoc/documents/1754001205_Ordinance%202017-11-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/orddoc__1754001205_Ordinance_2017-11-01.pdf,no,,,,none,ordinance,2017-11-01,,2025-07-31,orddoc,
2017-11-02,2017-11-15,2017-11-15,"AN ORDINANCE TO SUPPORT AND ENCOURAGE THE APPROVAL OF THE USE, REGULATION, AND STUDY OF CANNABIS FOR MEDICAL USES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/Ord%2017-11-02.pdf,2026-07-14,text,pdftotext_layout,raw/Ord_17-11-02.pdf,no,,,,none,ordinance,2017-11-02,Ordinance_17-11-02.pdf,2019-02-04,ordinances,
