prefix,subfolder,key,filename,size,last_modified,in_scope,scope_reason
copperton/,ADC,copperton/ADC/images/ordinance/1649794604_Ordinance 2022-03-02.jpg,1649794604_Ordinance 2022-03-02.jpg,47901,2022-04-12,no,not a pdf (.jpg)
copperton/,ADC,copperton/ADC/images/ordinance/1689717533_Screenshot 2023-07-18 155837.png,1689717533_Screenshot 2023-07-18 155837.png,61200,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689717900_Screenshot 2023-07-18 155837.png,1689717900_Screenshot 2023-07-18 155837.png,51003,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689718218_Screenshot 2023-07-18 155837.png,1689718218_Screenshot 2023-07-18 155837.png,38239,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689719217_Screenshot 2023-07-18 155837.png,1689719217_Screenshot 2023-07-18 155837.png,98140,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689719251_Screenshot 2023-07-18 155837.png,1689719251_Screenshot 2023-07-18 155837.png,15421,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689719427_Screenshot 2023-07-18 155837.png,1689719427_Screenshot 2023-07-18 155837.png,45157,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689719548_Screenshot 2023-07-18 155837.png,1689719548_Screenshot 2023-07-18 155837.png,37777,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689719763_Screenshot 2023-07-18 155837.png,1689719763_Screenshot 2023-07-18 155837.png,44458,2023-07-18,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689789260_Screenshot 2023-07-18 155837.png,1689789260_Screenshot 2023-07-18 155837.png,41039,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689789297_Screenshot 2023-07-18 155837.png,1689789297_Screenshot 2023-07-18 155837.png,24380,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689789333_Screenshot 2023-07-18 155837.png,1689789333_Screenshot 2023-07-18 155837.png,2532,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689789495_Screenshot 2023-07-18 155837.png,1689789495_Screenshot 2023-07-18 155837.png,9666,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689789554_Screenshot 2023-07-18 155837.png,1689789554_Screenshot 2023-07-18 155837.png,20658,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689791125_Screenshot 2023-07-18 155837.png,1689791125_Screenshot 2023-07-18 155837.png,12693,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689791165_Screenshot 2023-07-18 155837.png,1689791165_Screenshot 2023-07-18 155837.png,38955,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689791207_Screenshot 2023-07-18 155837.png,1689791207_Screenshot 2023-07-18 155837.png,6535,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689791243_Screenshot 2023-07-18 155837.png,1689791243_Screenshot 2023-07-18 155837.png,9563,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689791317_Screenshot 2023-07-18 155837.png,1689791317_Screenshot 2023-07-18 155837.png,27436,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689791610_Screenshot 2023-07-18 155837.png,1689791610_Screenshot 2023-07-18 155837.png,8294,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689791740_Screenshot 2023-07-18 155837.png,1689791740_Screenshot 2023-07-18 155837.png,5267,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689795830_Screenshot 2023-07-18 155837.png,1689795830_Screenshot 2023-07-18 155837.png,49949,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689795901_Screenshot 2023-07-18 155837.png,1689795901_Screenshot 2023-07-18 155837.png,9519,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689795985_Screenshot 2023-07-18 155837.png,1689795985_Screenshot 2023-07-18 155837.png,34113,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689796175_Screenshot 2023-07-18 155837.png,1689796175_Screenshot 2023-07-18 155837.png,12648,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689796266_Screenshot 2023-07-18 155837.png,1689796266_Screenshot 2023-07-18 155837.png,3450,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689796499_Screenshot 2023-07-18 155837.png,1689796499_Screenshot 2023-07-18 155837.png,51082,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689796535_Screenshot 2023-07-18 155837.png,1689796535_Screenshot 2023-07-18 155837.png,50348,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689796604_Screenshot 2023-07-18 155837.png,1689796604_Screenshot 2023-07-18 155837.png,26692,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689796683_Screenshot 2023-07-18 155837.png,1689796683_Screenshot 2023-07-18 155837.png,72609,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689796779_Screenshot 2023-07-18 155837.png,1689796779_Screenshot 2023-07-18 155837.png,70330,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689797297_Screenshot 2023-07-18 155837.png,1689797297_Screenshot 2023-07-18 155837.png,47646,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689797328_Screenshot 2023-07-18 155837.png,1689797328_Screenshot 2023-07-18 155837.png,43341,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689797366_Screenshot 2023-07-18 155837.png,1689797366_Screenshot 2023-07-18 155837.png,53466,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689798069_Screenshot 2023-07-18 155837.png,1689798069_Screenshot 2023-07-18 155837.png,49136,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689798135_Screenshot 2023-07-18 155837.png,1689798135_Screenshot 2023-07-18 155837.png,27662,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689798209_Screenshot 2023-07-18 155837.png,1689798209_Screenshot 2023-07-18 155837.png,40229,2023-07-19,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875233_Screenshot 2023-07-18 155837.png,1689875233_Screenshot 2023-07-18 155837.png,36376,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875269_Screenshot 2023-07-18 155837.png,1689875269_Screenshot 2023-07-18 155837.png,36814,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875343_Screenshot 2023-07-18 155837.png,1689875343_Screenshot 2023-07-18 155837.png,18418,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875378_Screenshot 2023-07-18 155837.png,1689875378_Screenshot 2023-07-18 155837.png,13610,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875563_Screenshot 2023-07-18 155837.png,1689875563_Screenshot 2023-07-18 155837.png,40422,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875596_Screenshot 2023-07-18 155837.png,1689875596_Screenshot 2023-07-18 155837.png,28685,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875642_Screenshot 2023-07-18 155837.png,1689875642_Screenshot 2023-07-18 155837.png,24493,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875694_Screenshot 2023-07-18 155837.png,1689875694_Screenshot 2023-07-18 155837.png,30900,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689875785_Screenshot 2023-07-18 155837.png,1689875785_Screenshot 2023-07-18 155837.png,20596,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689878197_Screenshot 2023-07-18 155837.png,1689878197_Screenshot 2023-07-18 155837.png,91311,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689878233_Screenshot 2023-07-18 155837.png,1689878233_Screenshot 2023-07-18 155837.png,33660,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689878298_Screenshot 2023-07-18 155837.png,1689878298_Screenshot 2023-07-18 155837.png,29044,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689878549_Screenshot 2023-07-18 155837.png,1689878549_Screenshot 2023-07-18 155837.png,29948,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689882640_Screenshot 2023-07-18 155837.png,1689882640_Screenshot 2023-07-18 155837.png,37316,2023-07-20,no,not a pdf (.png)
copperton/,ADC,copperton/ADC/images/ordinance/1689883007_Screenshot 2023-07-18 155837.png,1689883007_Screenshot 2023-07-18 155837.png,56969,2023-07-20,no,not a pdf (.png)
