video_id,channel,channel_id,upload_date,meeting_date,title,duration_sec,category,is_meeting,caption_type,minutes_match,video_url
fpy8_tgnR24,Nephi City,UCbTtTpWfekf00N_w-_houEw,20260506,2026-05-05,"Nephi CIty Council May 5, 2026",13038,council_meeting,true,asr,true,https://www.youtube.com/watch?v=fpy8_tgnR24
PeBTm7gpW7M,Nephi City,UCbTtTpWfekf00N_w-_houEw,20260520,2026-05-19,Nephi City Council 5-19-2026,3729,council_meeting,true,asr,true,https://www.youtube.com/watch?v=PeBTm7gpW7M
p3CSCiciucY,Nephi City,UCbTtTpWfekf00N_w-_houEw,20260603,2026-06-02,City Council Meeting 6/2/26,7957,council_meeting,true,asr,true,https://www.youtube.com/watch?v=p3CSCiciucY
Deoscu1ibyQ,Nephi City,UCbTtTpWfekf00N_w-_houEw,20260617,2026-06-16,"City Council June 16, 2026",2188,council_meeting,true,asr,false,https://www.youtube.com/watch?v=Deoscu1ibyQ
_6V__cJJ8XM,Nephi City,UCbTtTpWfekf00N_w-_houEw,,,Truth in Taxation Meeting,,council_meeting_scheduled,true,none,false,https://www.youtube.com/watch?v=_6V__cJJ8XM
DezD9bSuVvk,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20250723,,SharedSolar Nephi 4k,127,informational,false,,false,https://www.youtube.com/watch?v=DezD9bSuVvk
7vh54Vi-vdM,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20250723,,NetMetering Nephi 4k,279,informational,false,,false,https://www.youtube.com/watch?v=7vh54Vi-vdM
yWKpI3Prq9w,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20221215,,The Hive,86,informational,false,,false,https://www.youtube.com/watch?v=yWKpI3Prq9w
3M8q4Y9iebA,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20221202,,Nephi Public Library,25,informational,false,,false,https://www.youtube.com/watch?v=3M8q4Y9iebA
onARRYV8ru0,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20200923,,Ordinance 09-15-2020 & 09-15-2020A,148,informational,false,,false,https://www.youtube.com/watch?v=onARRYV8ru0
URNeWkg00mo,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20200320,,"Mayor Glade Nielson. Nephi City March 20, 2020",68,informational,false,,false,https://www.youtube.com/watch?v=URNeWkg00mo
hmRHbXSNLsI,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20181106,,Nephi City Citizens Academy 2018,1383,informational,false,,false,https://www.youtube.com/watch?v=hmRHbXSNLsI
moiPIW1k5LA,Nephi City,UCsX4gp2ARaP6cmTMYFeTiBg,20181010,,Nephi City PAR Tax,160,informational,false,,false,https://www.youtube.com/watch?v=moiPIW1k5LA
