ordinance_no,series,filename_date,s3_filename,size_bytes,s3_last_modified,s3_key,source_url,in_minutes_window,cited_in_motions
1997-01,general,1997-01-07,1704823626_01-07-1997 Ordinance 97-1.pdf,217780,2024-01-09T18:07:07.000Z,southjordan/ordinances/documents/1704823626_01-07-1997 Ordinance 97-1.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1704823626_01-07-1997%20Ordinance%2097-1.pdf,no,no
1997-03,general,1997-03-04,1706024292_03-04-1997 Ordinance 97-3.pdf,356310,2024-01-23T15:38:14.000Z,southjordan/ordinances/documents/1706024292_03-04-1997 Ordinance 97-3.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706024292_03-04-1997%20Ordinance%2097-3.pdf,no,no
1997-06,general,1997-04-15,1706895884_04-15-1997 Ordinance 97-6.pdf,148405,2024-02-02T17:44:46.000Z,southjordan/ordinances/documents/1706895884_04-15-1997 Ordinance 97-6.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706895884_04-15-1997%20Ordinance%2097-6.pdf,no,no
1997-12,general,1997-06-17,1705607769_06-17-1997 Ordinance 97-12.pdf,408859,2024-01-18T19:56:10.000Z,southjordan/ordinances/documents/1705607769_06-17-1997 Ordinance 97-12.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705607769_06-17-1997%20Ordinance%2097-12.pdf,no,no
1997-15,general,1997-09-02,1705689631_09-02-1997 Ordinance 97-15.pdf,1374013,2024-01-19T18:40:32.000Z,southjordan/ordinances/documents/1705689631_09-02-1997 Ordinance 97-15.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705689631_09-02-1997%20Ordinance%2097-15.pdf,no,no
1998-17,general,,1705105072_ORD 98-17.pdf,138971,2024-01-13T00:17:53.000Z,southjordan/ordinances/documents/1705105072_ORD 98-17.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705105072_ORD%2098-17.pdf,no,no
1999-09,general,,1705087458_ORD 1999-9.pdf,289948,2024-01-12T19:24:19.000Z,southjordan/ordinances/documents/1705087458_ORD 1999-9.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705087458_ORD%201999-9.pdf,no,no
1999-16,general,,1712767037_ORD 99-16.pdf,165117,2024-04-10T16:37:18.000Z,southjordan/ordinances/documents/1712767037_ORD 99-16.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1712767037_ORD%2099-16.pdf,no,no
1999-17,general,,1706296398_ORD 1999-17.pdf,669668,2024-01-26T19:13:20.000Z,southjordan/ordinances/documents/1706296398_ORD 1999-17.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706296398_ORD%201999-17.pdf,no,no
2000-07,general,,1706295986_2000-07.pdf,135573,2024-01-26T19:06:28.000Z,southjordan/ordinances/documents/1706295986_2000-07.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706295986_2000-07.pdf,no,no
2000-09,general,,1705607309_2000-09.pdf,91651,2024-01-18T19:48:30.000Z,southjordan/ordinances/documents/1705607309_2000-09.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705607309_2000-09.pdf,no,no
2000-10,general,,1705606943_2000-10.pdf,84832,2024-01-18T19:42:25.000Z,southjordan/ordinances/documents/1705606943_2000-10.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705606943_2000-10.pdf,no,no
2000-15,general,,1705602893_2000-15a.pdf,691021,2024-01-18T18:34:55.000Z,southjordan/ordinances/documents/1705602893_2000-15a.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705602893_2000-15a.pdf,no,no
2000-22,general,,1705689602_2000-22.pdf,240300,2024-01-19T18:40:04.000Z,southjordan/ordinances/documents/1705689602_2000-22.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705689602_2000-22.pdf,no,no
2000-28,general,,1706640802_2000-28.pdf,1295431,2024-01-30T18:53:24.000Z,southjordan/ordinances/documents/1706640802_2000-28.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706640802_2000-28.pdf,no,no
2001-11,general,,1704824166_ORD 2001-11.pdf,756002,2024-01-09T18:16:08.000Z,southjordan/ordinances/documents/1704824166_ORD 2001-11.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1704824166_ORD%202001-11.pdf,no,no
2001-14,general,,1706027820_ORD 2001-14.pdf,974634,2024-01-23T16:37:02.000Z,southjordan/ordinances/documents/1706027820_ORD 2001-14.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706027820_ORD%202001-14.pdf,no,no
2001-18,general,,1706027114_ORD 2001-18.pdf,2782840,2024-01-23T16:25:15.000Z,southjordan/ordinances/documents/1706027114_ORD 2001-18.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706027114_ORD%202001-18.pdf,no,no
2001-21,general,,1706023295_ORD 2001-21.pdf,594667,2024-01-23T15:21:36.000Z,southjordan/ordinances/documents/1706023295_ORD 2001-21.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706023295_ORD%202001-21.pdf,no,no
2001-22,general,,1706023360_ORD 2001-22.pdf,260862,2024-01-23T15:22:41.000Z,southjordan/ordinances/documents/1706023360_ORD 2001-22.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706023360_ORD%202001-22.pdf,no,no
2001-27,general,,1706638860_ORD 2001-27.pdf,2390301,2024-01-30T18:21:02.000Z,southjordan/ordinances/documents/1706638860_ORD 2001-27.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706638860_ORD%202001-27.pdf,no,no
2001-29,general,,1705605140_ORD 2001-29.pdf,180707,2024-01-18T19:12:21.000Z,southjordan/ordinances/documents/1705605140_ORD 2001-29.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705605140_ORD%202001-29.pdf,no,no
2001-32,general,,1706027134_ORD 2001-32.pdf,298944,2024-01-23T16:25:36.000Z,southjordan/ordinances/documents/1706027134_ORD 2001-32.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706027134_ORD%202001-32.pdf,no,no
2002-04,general,,1705603066_2002-04 w-signatures.pdf,2523756,2024-01-18T18:37:48.000Z,southjordan/ordinances/documents/1705603066_2002-04 w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705603066_2002-04%20w-signatures.pdf,no,no
2003-19,general,,1706295294_2003-19.pdf,434297,2024-01-26T18:54:56.000Z,southjordan/ordinances/documents/1706295294_2003-19.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706295294_2003-19.pdf,no,no
2003-25,general,,1706893443_2003-25.pdf,231623,2024-02-02T17:04:05.000Z,southjordan/ordinances/documents/1706893443_2003-25.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706893443_2003-25.pdf,no,no
2003-33,general,,1705101388_2003-33.pdf,429459,2024-01-12T23:16:29.000Z,southjordan/ordinances/documents/1705101388_2003-33.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705101388_2003-33.pdf,no,no
2004-04,general,,1705610973_2004-04 w-signatures.pdf,389229,2024-01-18T20:49:35.000Z,southjordan/ordinances/documents/1705610973_2004-04 w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705610973_2004-04%20w-signatures.pdf,no,no
2004-07,general,,1705608523_2004-07.Telecommunication Tax.pdf,293890,2024-01-18T20:08:44.000Z,southjordan/ordinances/documents/1705608523_2004-07.Telecommunication Tax.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705608523_2004-07.Telecommunication%20Tax.pdf,no,no
2004-21,general,,1706895808_2004-21 w-signatures.pdf,621218,2024-02-02T17:43:30.000Z,southjordan/ordinances/documents/1706895808_2004-21 w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706895808_2004-21%20w-signatures.pdf,no,no
2004-24,general,,1706296929_2004-24 w-signatures.pdf,328713,2024-01-26T19:22:11.000Z,southjordan/ordinances/documents/1706296929_2004-24 w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706296929_2004-24%20w-signatures.pdf,no,no
2005-14,general,,1706295009_2005-14 w-signatures.pdf,571952,2024-01-26T18:50:10.000Z,southjordan/ordinances/documents/1706295009_2005-14 w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706295009_2005-14%20w-signatures.pdf,no,no
2005-22,general,,1706630210_2005-22 w-signatures.pdf,848918,2024-01-30T15:56:51.000Z,southjordan/ordinances/documents/1706630210_2005-22 w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706630210_2005-22%20w-signatures.pdf,no,no
2006-05,general,,1706027172_ORD 2006-05.w-signatures.pdf,112753,2024-01-23T16:26:13.000Z,southjordan/ordinances/documents/1706027172_ORD 2006-05.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706027172_ORD%202006-05.w-signatures.pdf,no,no
2006-11,general,,1706028489_ORD 2006-11.w-signatures.pdf,749363,2024-01-23T16:48:10.000Z,southjordan/ordinances/documents/1706028489_ORD 2006-11.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706028489_ORD%202006-11.w-signatures.pdf,no,no
2006-18,general,,1706638928_ORD 2006-18.w-signatures.pdf,138088,2024-01-30T18:22:09.000Z,southjordan/ordinances/documents/1706638928_ORD 2006-18.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1706638928_ORD%202006-18.w-signatures.pdf,no,no
2006-20,general,,1705689267_ORD 2006-20.w-signatures.pdf,93057,2024-01-19T18:34:29.000Z,southjordan/ordinances/documents/1705689267_ORD 2006-20.w-signatures.pdf,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705689267_ORD%202006-20.w-signatures.pdf,no,no
