ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,series,stored_locally
2020-01,,2020-01-07,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING CITY CODE SECTION 17.16.010 (PLANNING COMMISSION) REGARDING THE RESIDENT REQUIREMENTS OF THE SOUTH JORDAN PLANNING COMMISSION",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710270356_Ordinance%202020-01%20Amending%20City%20Code%20Section%2017.16.010%20%28Planning%20Commission%20Requirements%29%20%282%29.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2020-01.pdf,yes,4-0 Pass,2020-01-07,6,high,general,yes
2020-02,,2020-01-07,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING CHAPTER 5 OF THE SOUTH JORDAN MUNCIPAL CODE, REGARDING BUSINESS LICENSE TRANSFERABILITY AND ALCOHOL BEVERAGE LICENSES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1705613643_Ordinance%202020-02%20Amending%20Chapter%205%20of%20the%20SJ%20Municipal%20Code%20%28Business%20License%20Transferability%20and%20Alcohol%20Beverage%20Licenses%29.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2020-02.pdf,no,4-0 Pass,2020-01-07,7,high,general,yes
2020-02-Z,,2020-02-04,"Rezone Ordinance 2020-02-Z, and to allow staff the same latitude as approved in the development agreement",,,na,motion-citation (derived from minutes; not independently corroborated),,yes,Unanimous Pass,2020-02-04,5,within_source,zoning,no
2020-03,,2020-09-15,Ordinance 2020-03,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710436697_Ordinance%202020-03%20-%20Signed.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2020-03.pdf,no,3-1 Pass,2020-09-15,5,high,general,yes
2020-06-Z,,2020-09-01,Zoning Ordinance 2020-06-Z,https://www.utah.gov/pmn/files/639009.pdf,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2020-09-01,5,within_source,zoning,no
2020-07,,2020-05-19,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING SECTION 17.112 OF THE SOUTH JORDAN CITY MUNICIPAL CODE TO MODIFY THE REGULATIONS FOR WIRELESS COMMUNICATION FACILITIES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710435230_Ordinance%202020-07%20Amending%20Chapter%2017.112%2C%20Wireless%20Communication%20Facilities.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2020-07.pdf,yes,,,,none,general,yes
2020-07-Z,,2020-09-15,Rezone Ordinance 2020-07-Z,https://www.utah.gov/pmn/files/646527.pdf,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2020-09-15,4,within_source,zoning,no
2020-08,,2020-05-05,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, RE-ADOPTING THE CITY’S CONSTRUCTION STANDARDS AND SPECIFICATIONS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710266141_Ordinance%202020-08%20Re-adopting%20Construction%20Standards%20%26%20Specifications.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2020-08.pdf,no,,,,none,general,yes
2020-10,,2020-09-15,"Ordinance 2020-10, with the amendment to keep the process of the Planning Commission approving anything over 1500 sq. ft",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1710269030_Ordinance%202020-10%20-%20Signed.pdf,2026-07-06,text,pdftotext-layout,raw/ordinances_archive/2020-10.pdf,no,4-0 Pass,2020-09-15,6,high,general,yes
2020-10-Z,,2020-08-18,zoning Ordinance 2020-10-Z,https://www.utah.gov/pmn/files/635107.pdf,,na,motion-citation (derived from minutes; not independently corroborated),,yes,Unanimous Pass,2020-08-18,2,within_source,zoning,no
