entity,plan_kind,plan_vintage,project_id,name,mode,improvement_type,jurisdiction,county,phase_or_year,cost,status,description,source_layer,source_url
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),9227,"US-6 & SR-198 Intersection, Spanish Fork",,Other,UDOT,,2012,375000,Design,This project will allow UDOT to preserve a right of way for future transportation projects. It allows the department to assist home and property owners before actual design or construction occurs.,MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),9994,"State Street, PG 200 S to AF 500 E, Phase I",,Capacity,UDOT,,2023,36209123.93,Construction,This project will widen US-89 to a 7 lane section from 220 S Pleasant Grove to 500 E American Fork. The lane configuration will be similar to the Pleasant Grove widening. The project will also add buffered bike lanes and improve the major intersections including 500 E and North County Blvd.,MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),11350,I-15; Payson Parkway Interchange,,Capacity,UDOT,,2029,95090358.37,Design,Upgrade Existing Interchange,MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),13074,"200 S Multimodal Improvements, Amercian Fork",,Enhancement,MAG,,2023,4715391,Design,"This project consists of constructing a portion of the trail system in American Fork.  The project starts at the intersecion of 200 South and Center Street and runs along the south side of 200 South to 500 West, then along the RR tracks to the Frontrunner station, then back to 200 South and west to 850 East.",MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),13086,Utah Lakeshore Trail Spring Creek Area,,Other,MAG,,2015,1100000,Design,Federal Funds Exchange Program,MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),13420,SR-194; Lehi 2100 N Freeway,,Capacity,UDOT,,2026,621317523.11,Construction,"TIF - Transportation Investment Fund
Widen Existing Facility",MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),13610,Cory Wride Freeway; Ranches Pkwy to MVC,,Capacity,UDOT,,2029,1011950000,Design,"TIF - Transportation Investment Fund
Widen Existing Facility",MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),14087,"Elk Ridge DR; SR 198 to 8000 S, Salem",,Other,MAG,,2023,36609103.73,Construction,Utah County is designing a new roadway between SR-198 on the South and SR-164 on the North at approximately 1600 West in Spanish Fork.  It is anticipated that the intersections at SR-198 and SR-164 will be signalized.  This new road will provide new capacity for residents in Spanish Fork and Salem City to access I-15. Design of the roadway has started with construction planned for the Fall of 2022.,MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),14497,"I-15; Orem 800S HOT Interchange, CPF",,Other,UDOT,,2016,491146.68,Design,This project  allows UDOT to preserve a right of way for future transportation projects. It allows the department to assist home and property owners before actual design or construction occurs.,MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),14557,North Provo I-15 Improvements,,Capacity,UDOT,,2018,1100000,Design,"TIF - Transportation Investment Fund
New Interchange on Existing Freeway",MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
mag_mpo,tip,MAG TIP (UDOT ePM snapshot 2026-07-01),14698,"Provo River Parkway, Phase I",,Other,UDOT,,2026,44781152.12,Design,Mountainland Association of Governments (MAG) and the Utah Department of Transportation (UDOT) are partnering to design and construct a trail segment in Provo Canyon that will connect the existing trail system from Vivian Park to the Deer Creek Trailhead.,MAG_TIP_Projects,https://services2.arcgis.com/EiGeaCDLpVDPqdJ5/arcgis/rest/services/MAG_TIP_Projects/FeatureServer/0
