year,election_type,office,district,contest,candidate,voting_method,round1_votes,round1_pct,final_votes,rank,is_winner
2019,municipal general,Council,At-Large,Nephi City Council,JUSTIN D. SEELY,plurality at-large (vote-for-3),501,30.64,501,1,True
2019,municipal general,Council,At-Large,Nephi City Council,LARRY O. OSTLER,plurality at-large (vote-for-3),500,30.58,500,2,True
2019,municipal general,Council,At-Large,Nephi City Council,NATHAN H. MEMMOTT,plurality at-large (vote-for-3),495,30.28,495,3,True
2019,municipal general,Council,At-Large,Nephi City Council,SARAH GOODE,plurality at-large (vote-for-3),139,8.5,139,4,False
2021,municipal general,Council,At-Large,Nephi City Council,SKIP F. WORWOOD,plurality at-large (vote-for-2),1162,37.58,1162,1,True
2021,municipal general,Council,At-Large,Nephi City Council,JERAMIE L. CALLAWAY,plurality at-large (vote-for-2),834,26.97,834,2,True
2021,municipal general,Council,At-Large,Nephi City Council,J.D. PARADY,plurality at-large (vote-for-2),708,22.9,708,3,False
2021,municipal general,Council,At-Large,Nephi City Council,L. NYLE ROBINSON,plurality at-large (vote-for-2),388,12.55,388,4,False
2021,municipal general,Mayor,,Nephi City Mayor,JUSTIN D. SEELY,plurality,965,58.91,965,1,True
2021,municipal general,Mayor,,Nephi City Mayor,GLADE R. NIELSON,plurality,673,41.09,673,2,False
2023,municipal primary,Council,At-Large,Nephi City Council,TRAVIS L. WORWOOD,plurality at-large (vote-for-3),733,17.39,733,1,True
2023,municipal primary,Council,At-Large,Nephi City Council,J.D. PARADY,plurality at-large (vote-for-3),672,15.95,672,2,True
2023,municipal primary,Council,At-Large,Nephi City Council,SHARI COWAN,plurality at-large (vote-for-3),652,15.47,652,3,True
2023,municipal primary,Council,At-Large,Nephi City Council,LARRY OSTLER,plurality at-large (vote-for-3),583,13.83,583,4,True
2023,municipal primary,Council,At-Large,Nephi City Council,JOHN BRADLEY,plurality at-large (vote-for-3),484,11.49,484,5,True
2023,municipal primary,Council,At-Large,Nephi City Council,BART STANLEY MILLER,plurality at-large (vote-for-3),449,10.65,449,6,True
2023,municipal primary,Council,At-Large,Nephi City Council,KOLYER K. ANDERSEN,plurality at-large (vote-for-3),281,6.67,281,7,False
2023,municipal primary,Council,At-Large,Nephi City Council,CAROLYN L. FORD,plurality at-large (vote-for-3),200,4.75,200,8,False
2023,municipal primary,Council,At-Large,Nephi City Council,VANESSA GOATES,plurality at-large (vote-for-3),160,3.8,160,9,False
2023,municipal general,Council,At-Large,Nephi City Council,TRAVIS L WORWOOD,plurality at-large (vote-for-3),895,20.54,895,1,True
2023,municipal general,Council,At-Large,Nephi City Council,SHARI COWAN,plurality at-large (vote-for-3),812,18.64,812,2,True
2023,municipal general,Council,At-Large,Nephi City Council,J.D. PARADY,plurality at-large (vote-for-3),764,17.54,764,3,True
2023,municipal general,Council,At-Large,Nephi City Council,LARRY OSTLER,plurality at-large (vote-for-3),693,15.91,693,4,False
2023,municipal general,Council,At-Large,Nephi City Council,JOHN BRADLEY,plurality at-large (vote-for-3),621,14.25,621,5,False
2023,municipal general,Council,At-Large,Nephi City Council,BART STANLEY MILLER,plurality at-large (vote-for-3),572,13.13,572,6,False
2025,municipal primary,Council,At-Large,Nephi City Council,TATE T. DOUGLAS,plurality at-large (vote-for-2),614,26.95,614,1,True
2025,municipal primary,Council,At-Large,Nephi City Council,JERAMIE L. CALLAWAY,plurality at-large (vote-for-2),575,25.24,575,2,True
2025,municipal primary,Council,At-Large,Nephi City Council,SKIP F. WORWOOD,plurality at-large (vote-for-2),570,25.02,570,3,True
2025,municipal primary,Council,At-Large,Nephi City Council,BART STANLEY MILLER,plurality at-large (vote-for-2),371,16.29,371,4,True
2025,municipal primary,Council,At-Large,Nephi City Council,SCOTT L. JACKSON,plurality at-large (vote-for-2),148,6.5,148,5,False
2025,municipal general,Council,At-Large,Nephi City Council,TATE T. DOUGLAS,plurality at-large (vote-for-2),860,31.3,860,1,True
2025,municipal general,Council,At-Large,Nephi City Council,JERAMIE L. CALLAWAY,plurality at-large (vote-for-2),674,24.53,674,2,True
2025,municipal general,Council,At-Large,Nephi City Council,SKIP F. WORWOOD,plurality at-large (vote-for-2),636,23.14,636,3,False
2025,municipal general,Council,At-Large,Nephi City Council,BART STANLEY MILLER,plurality at-large (vote-for-2),578,21.03,578,4,False
2025,municipal general,Mayor,,Nephi City Mayor,JUSTIN D. SEELY,plurality,1298,100.0,1298,1,True
