year,election_type,office,district,contest,precinct,candidate,votes
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #3,TRAVIS L WORWOOD,110
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #3,JOHN BRADLEY,109
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #3,SHARI COWAN,94
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #3,J.D. PARADY,70
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #3,LARRY OSTLER,70
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #3,BART STANLEY MILLER,51
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #4,TRAVIS L WORWOOD,211
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #4,J.D. PARADY,190
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #4,SHARI COWAN,187
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #4,LARRY OSTLER,183
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #4,BART STANLEY MILLER,143
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #4,JOHN BRADLEY,131
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #5,SHARI COWAN,243
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #5,TRAVIS L WORWOOD,226
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #5,LARRY OSTLER,223
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #5,J.D. PARADY,216
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #5,BART STANLEY MILLER,135
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #5,JOHN BRADLEY,111
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #6,TRAVIS L WORWOOD,147
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #6,SHARI COWAN,133
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #6,J.D. PARADY,125
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #6,BART STANLEY MILLER,83
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #6,JOHN BRADLEY,80
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #6,LARRY OSTLER,78
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #7,TRAVIS L WORWOOD,201
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #7,JOHN BRADLEY,190
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #7,J.D. PARADY,163
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #7,BART STANLEY MILLER,160
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #7,SHARI COWAN,155
2023,municipal general,Council,At-Large,Nephi City Council,Nephi #7,LARRY OSTLER,139
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #3,JERAMIE L. CALLAWAY,101
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #3,TATE T. DOUGLAS,77
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #3,SKIP F. WORWOOD,44
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #3,BART STANLEY MILLER,40
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #3,SCOTT L. JACKSON,16
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #4,TATE T. DOUGLAS,154
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #4,SKIP F. WORWOOD,151
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #4,JERAMIE L. CALLAWAY,139
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #4,BART STANLEY MILLER,84
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #4,SCOTT L. JACKSON,34
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #5,SKIP F. WORWOOD,203
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #5,TATE T. DOUGLAS,179
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #5,JERAMIE L. CALLAWAY,132
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #5,BART STANLEY MILLER,80
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #5,SCOTT L. JACKSON,31
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #6,TATE T. DOUGLAS,98
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #6,SKIP F. WORWOOD,70
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #6,JERAMIE L. CALLAWAY,61
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #6,BART STANLEY MILLER,44
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #6,SCOTT L. JACKSON,35
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #7,JERAMIE L. CALLAWAY,142
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #7,BART STANLEY MILLER,123
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #7,TATE T. DOUGLAS,106
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #7,SKIP F. WORWOOD,102
2025,municipal primary,Council,At-Large,Nephi City Council,12Nephi #7,SCOTT L. JACKSON,32
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #3,JERAMIE L. CALLAWAY,126
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #3,TATE T. DOUGLAS,93
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #3,BART STANLEY MILLER,64
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #3,SKIP F. WORWOOD,49
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #4,TATE T. DOUGLAS,230
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #4,SKIP F. WORWOOD,155
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #4,JERAMIE L. CALLAWAY,151
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #4,BART STANLEY MILLER,130
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #5,TATE T. DOUGLAS,249
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #5,SKIP F. WORWOOD,216
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #5,BART STANLEY MILLER,137
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #5,JERAMIE L. CALLAWAY,130
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #6,TATE T. DOUGLAS,136
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #6,JERAMIE L. CALLAWAY,102
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #6,SKIP F. WORWOOD,85
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #6,BART STANLEY MILLER,80
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #7,BART STANLEY MILLER,167
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #7,JERAMIE L. CALLAWAY,165
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #7,TATE T. DOUGLAS,152
2025,municipal general,Council,At-Large,Nephi City Council,12Nephi #7,SKIP F. WORWOOD,131
2025,municipal general,Mayor,,Nephi City Mayor,12Nephi #3,JUSTIN D. SEELY,159
2025,municipal general,Mayor,,Nephi City Mayor,12Nephi #4,JUSTIN D. SEELY,308
2025,municipal general,Mayor,,Nephi City Mayor,12Nephi #5,JUSTIN D. SEELY,332
2025,municipal general,Mayor,,Nephi City Mayor,12Nephi #6,JUSTIN D. SEELY,204
2025,municipal general,Mayor,,Nephi City Mayor,12Nephi #7,JUSTIN D. SEELY,295
