city,district_id,plan_id,effective_start,effective_end,geometry_ref,adopted_by,source_url,confidence,note
magna,District 1,plan_2022,2022-04-26,,geo/districts.geojson,Resolution 22-04-01 (2022 Redistricting Map — Map 9),"meeting_minutes/minutes/2022/2022-04-26_council_100.md (Resolution 22-04-01 'ADOPTING A NEW MAGNA METRO TOWNSHIP COUNCIL DISTRICT MAP' / Map 9, adopted 2022-04-26, passed 3-1 with Council Member Pierce Nay)",high,"CURRENT post-2020-census boundaries. Resolution 22-04-01 (2022 Redistricting Map — Map 9) adopted 2022-04-26 on a 3-1 roll (Hull mover / Prokopis second; VOTING Chair Peay Aye; Pierce Nay). geometry_ref = geo/districts.geojson — a PRECINCT-DERIVED, MIXED-VINTAGE map (Magna has NO official district GIS layer): D2/D4 are on the current 2025 lines (high); D1/D3/D5 are still derived from 2019 (pre-2022) returns because the 2023 D1/D3/D5 cycle was cancelled and 2025 ran only D2/D4 — see the precinct layer + geo/CLAUDE.md."
magna,District 1,plan_pre2022,2017-01-01,2022-04-26,,prior plan (founding pre-2022 boundaries),,low,"Prior-plan (founding pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, low). In force for the 2016/2017/2019/2021 elections. effective_start = the 2017 incorporation/data floor."
magna,District 2,plan_2022,2022-04-26,,geo/districts.geojson,Resolution 22-04-01 (2022 Redistricting Map — Map 9),"meeting_minutes/minutes/2022/2022-04-26_council_100.md (Resolution 22-04-01 'ADOPTING A NEW MAGNA METRO TOWNSHIP COUNCIL DISTRICT MAP' / Map 9, adopted 2022-04-26, passed 3-1 with Council Member Pierce Nay)",high,"CURRENT post-2020-census boundaries. Resolution 22-04-01 (2022 Redistricting Map — Map 9) adopted 2022-04-26 on a 3-1 roll (Hull mover / Prokopis second; VOTING Chair Peay Aye; Pierce Nay). geometry_ref = geo/districts.geojson — a PRECINCT-DERIVED, MIXED-VINTAGE map (Magna has NO official district GIS layer): D2/D4 are on the current 2025 lines (high); D1/D3/D5 are still derived from 2019 (pre-2022) returns because the 2023 D1/D3/D5 cycle was cancelled and 2025 ran only D2/D4 — see the precinct layer + geo/CLAUDE.md."
magna,District 2,plan_pre2022,2017-01-01,2022-04-26,,prior plan (founding pre-2022 boundaries),,low,"Prior-plan (founding pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, low). In force for the 2016/2017/2019/2021 elections. effective_start = the 2017 incorporation/data floor."
magna,District 3,plan_2022,2022-04-26,,geo/districts.geojson,Resolution 22-04-01 (2022 Redistricting Map — Map 9),"meeting_minutes/minutes/2022/2022-04-26_council_100.md (Resolution 22-04-01 'ADOPTING A NEW MAGNA METRO TOWNSHIP COUNCIL DISTRICT MAP' / Map 9, adopted 2022-04-26, passed 3-1 with Council Member Pierce Nay)",high,"CURRENT post-2020-census boundaries. Resolution 22-04-01 (2022 Redistricting Map — Map 9) adopted 2022-04-26 on a 3-1 roll (Hull mover / Prokopis second; VOTING Chair Peay Aye; Pierce Nay). geometry_ref = geo/districts.geojson — a PRECINCT-DERIVED, MIXED-VINTAGE map (Magna has NO official district GIS layer): D2/D4 are on the current 2025 lines (high); D1/D3/D5 are still derived from 2019 (pre-2022) returns because the 2023 D1/D3/D5 cycle was cancelled and 2025 ran only D2/D4 — see the precinct layer + geo/CLAUDE.md."
magna,District 3,plan_pre2022,2017-01-01,2022-04-26,,prior plan (founding pre-2022 boundaries),,low,"Prior-plan (founding pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, low). In force for the 2016/2017/2019/2021 elections. effective_start = the 2017 incorporation/data floor."
magna,District 4,plan_2022,2022-04-26,,geo/districts.geojson,Resolution 22-04-01 (2022 Redistricting Map — Map 9),"meeting_minutes/minutes/2022/2022-04-26_council_100.md (Resolution 22-04-01 'ADOPTING A NEW MAGNA METRO TOWNSHIP COUNCIL DISTRICT MAP' / Map 9, adopted 2022-04-26, passed 3-1 with Council Member Pierce Nay)",high,"CURRENT post-2020-census boundaries. Resolution 22-04-01 (2022 Redistricting Map — Map 9) adopted 2022-04-26 on a 3-1 roll (Hull mover / Prokopis second; VOTING Chair Peay Aye; Pierce Nay). geometry_ref = geo/districts.geojson — a PRECINCT-DERIVED, MIXED-VINTAGE map (Magna has NO official district GIS layer): D2/D4 are on the current 2025 lines (high); D1/D3/D5 are still derived from 2019 (pre-2022) returns because the 2023 D1/D3/D5 cycle was cancelled and 2025 ran only D2/D4 — see the precinct layer + geo/CLAUDE.md."
magna,District 4,plan_pre2022,2017-01-01,2022-04-26,,prior plan (founding pre-2022 boundaries),,low,"Prior-plan (founding pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, low). In force for the 2016/2017/2019/2021 elections. effective_start = the 2017 incorporation/data floor."
magna,District 5,plan_2022,2022-04-26,,geo/districts.geojson,Resolution 22-04-01 (2022 Redistricting Map — Map 9),"meeting_minutes/minutes/2022/2022-04-26_council_100.md (Resolution 22-04-01 'ADOPTING A NEW MAGNA METRO TOWNSHIP COUNCIL DISTRICT MAP' / Map 9, adopted 2022-04-26, passed 3-1 with Council Member Pierce Nay)",high,"CURRENT post-2020-census boundaries. Resolution 22-04-01 (2022 Redistricting Map — Map 9) adopted 2022-04-26 on a 3-1 roll (Hull mover / Prokopis second; VOTING Chair Peay Aye; Pierce Nay). geometry_ref = geo/districts.geojson — a PRECINCT-DERIVED, MIXED-VINTAGE map (Magna has NO official district GIS layer): D2/D4 are on the current 2025 lines (high); D1/D3/D5 are still derived from 2019 (pre-2022) returns because the 2023 D1/D3/D5 cycle was cancelled and 2025 ran only D2/D4 — see the precinct layer + geo/CLAUDE.md."
magna,District 5,plan_pre2022,2017-01-01,2022-04-26,,prior plan (founding pre-2022 boundaries),,low,"Prior-plan (founding pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, low). In force for the 2016/2017/2019/2021 elections. effective_start = the 2017 incorporation/data floor."
